row_label_raw,row_label_full,col_0,Số cuối nămTriệu đồng,Số đầu nămTriệu đồng,numeric__Số cuối nămTriệu đồng,numeric__Số đầu nămTriệu đồng
Các khoản phải trả nội bộ,Các khoản phải trả nội bộ,Các khoản phải trả nội bộ,37.481,214.449,37481.0,214449.0
Quỹ khen thưởng và phúc lợi,Quỹ khen thưởng và phúc lợi,Quỹ khen thưởng và phúc lợi,30.442,43.151,30442.0,43151.0
Các khoản phải trả công nhân viên,Các khoản phải trả công nhân viên,Các khoản phải trả công nhân viên,7.039,171.298,7039.0,171298.0
Các khoản phải trả bên ngoài,Các khoản phải trả bên ngoài,Các khoản phải trả bên ngoài,772.779,339.327,772779.0,339327.0
Các khoản chờ thanh toán,Các khoản chờ thanh toán,Các khoản chờ thanh toán,561.457,149.217,561457.0,149217.0
Các khoản phải trả khách hàng,Các khoản phải trả khách hàng,Các khoản phải trả khách hàng,169.472,39.077,169472.0,39077.0
Thuế và các khoản phải nộp Nhà nước,Thuế và các khoản phải nộp Nhà nước,Thuế và các khoản phải nộp Nhà nước,17.388,113.657,17388.0,113657.0
Doanh thu chờ phân bổ,Doanh thu chờ phân bổ,Doanh thu chờ phân bổ,14.053,20.933,14053.0,20933.0
Tiền thu được từ các khoản nợ đã bán,Tiền thu được từ các khoản nợ đã bán,Tiền thu được từ các khoản nợ đã bán,9.685,15.719,9685.0,15719.0
Cổ tức phải trả,Cổ tức phải trả,Cổ tức phải trả,724,724,724.0,724.0
Các khoản phải trả khác,Các khoản phải trả khác,Các khoản phải trả khác,6.631,8.595,6631.0,8595.0
"Thừa quỹ, tài sản thừa chờ xử lý","Thừa quỹ, tài sản thừa chờ xử lý","Thừa quỹ, tài sản thừa chờ xử lý",1.005,1.156,1005.0,1156.0
Các khoản phải trả khác,Các khoản phải trả khác,Các khoản phải trả khác,5.626,7.439,5626.0,7439.0
,,,816.891,562.371,816891.0,562371.0
