row_label_raw,row_label_full,Bên liên quan,Các giao dịch,Phải thu/(phải trả),Phải thu/(phải trả)_1,numeric__Các giao dịch,numeric__Phải thu/(phải trả),numeric__Phải thu/(phải trả)_1
Bên liên quan,Bên liên quan,Bên liên quan,Các giao dịch,Số cuối nămTriệu đồng,Số đầu nămTriệu đồng,,,
Cổ đông lớn và các bên liên quan với cổ đông lớn (tiếp theo),Cổ đông lớn và các bên liên quan với cổ đông lớn (tiếp theo),Cổ đông lớn và các bên liên quan với cổ đông lớn (tiếp theo),Cổ đông lớn và các bên liên quan với cổ đông lớn (tiếp theo),Cổ đông lớn và các bên liên quan với cổ đông lớn (tiếp theo),Cổ đông lớn và các bên liên quan với cổ đông lớn (tiếp theo),,,
Công ty Tài chínhQuốc tế,Cổ đông lớn và các bên liên quan với cổ đông lớn (tiếp theo) > Công ty Tài chínhQuốc tế,Công ty Tài chínhQuốc tế,Đi vay,-,(835.666),,,-835666.0
Công ty Tài chínhQuốc tế,Cổ đông lớn và các bên liên quan với cổ đông lớn (tiếp theo) > Công ty Tài chínhQuốc tế,Công ty Tài chínhQuốc tế,Lãi dự chi tiền vay,-,(3.522),,,-3522.0
Công ty Tài chínhQuốc tế,Cổ đông lớn và các bên liên quan với cổ đông lớn (tiếp theo) > Công ty Tài chínhQuốc tế,Công ty Tài chínhQuốc tế,Vốn góp tại Ngân hàng,(771.599),(571.555),,-771599.0,-571555.0
Các công ty liênquan của Tập đoànGeleximco - Công tyCP,Cổ đông lớn và các bên liên quan với cổ đông lớn (tiếp theo) > Các công ty liênquan của Tập đoànGeleximco - Công tyCP,Các công ty liênquan của Tập đoànGeleximco - Công tyCP,Tiền gửi,(504.122),(186.825),,-504122.0,-186825.0
Các công ty liênquan của Tập đoànGeleximco - Công tyCP,Cổ đông lớn và các bên liên quan với cổ đông lớn (tiếp theo) > Các công ty liênquan của Tập đoànGeleximco - Công tyCP,Các công ty liênquan của Tập đoànGeleximco - Công tyCP,Lãi dự chi tiền gửi,(377),(113),,-377.0,-113.0
Các công ty liênquan của Tập đoànGeleximco - Công tyCP,Cổ đông lớn và các bên liên quan với cổ đông lớn (tiếp theo) > Các công ty liênquan của Tập đoànGeleximco - Công tyCP,Các công ty liênquan của Tập đoànGeleximco - Công tyCP,Góp vốn đầu tư,200.000,200.000,,200000.0,200000.0
Các công ty liênquan của Tập đoànGeleximco - Công tyCP,Cổ đông lớn và các bên liên quan với cổ đông lớn (tiếp theo) > Các công ty liênquan của Tập đoànGeleximco - Công tyCP,Các công ty liênquan của Tập đoànGeleximco - Công tyCP,Lãi phải thu từ góp vốnđầu tư,2.514,944,,2514.0,944.0
Các bên liên quan khác,Các bên liên quan khác,Các bên liên quan khác,Các bên liên quan khác,Các bên liên quan khác,Các bên liên quan khác,,,
Hội đồng Quản trị,Các bên liên quan khác > Hội đồng Quản trị,Hội đồng Quản trị,Tiền gửi,(187.937),(490.798),,-187937.0,-490798.0
Hội đồng Quản trị,Các bên liên quan khác > Hội đồng Quản trị,Hội đồng Quản trị,Lãi dự chi tiền gửi,(63),(1.923),,-63.0,-1923.0
Ban Điều hành,Các bên liên quan khác > Ban Điều hành,Ban Điều hành,Tiền gửi,(13.003),(5.573),,-13003.0,-5573.0
Ban Điều hành,Các bên liên quan khác > Ban Điều hành,Ban Điều hành,Lãi dự chi tiền gửi,(247),(151),,-247.0,-151.0
Ban Kiểm soát,Các bên liên quan khác > Ban Kiểm soát,Ban Kiểm soát,Tiền gửi,(10.111),(1.539),,-10111.0,-1539.0
Ban Kiểm soát,Các bên liên quan khác > Ban Kiểm soát,Ban Kiểm soát,Lãi dự chi tiền gửi,(148),(23),,-148.0,-23.0
