row_label_raw,row_label_full,col_0,Vốn cổ phần,Thăng dư vốn cổ phần,Cổ phiếu quỹ,Quỹ đầu tư Lợi nhuận sau thuế phát triển,chưa phân phối,Tổng cộng,numeric__Vốn cổ phần,numeric__Thăng dư vốn cổ phần,numeric__Cổ phiếu quỹ,numeric__Quỹ đầu tư Lợi nhuận sau thuế phát triển,numeric__chưa phân phối,numeric__Tổng cộng
Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,,,,,,
Số đầu năm,Năm trước > Số đầu năm,Số đầu năm,3.815.899.110.000,70.790.410.045,(902.752.100),519.682.709.128,755.606.590.816,5.161.076.067.889,3815899110000.0,70790410045.0,-902752100.0,519682709128.0,755606590816.0,5161076067889.0
Cổ tức công bố,Năm trước > Cổ tức công bố,Cổ tức công bố,-,-,-,-,(457.850.293.200),(457.850.293.200),,,,,-457850293200.0,-457850293200.0
Lợi nhuận thuần trong năm,Năm trước > Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,740.363.195.812,740.363.195.812,,,,,740363195812.0,740363195812.0
Phân phối lợi nhuận,Năm trước > Phân phối lợi nhuận,Phân phối lợi nhuận,-,-,-,96.202.000.000,(183.742.000.000),(87.540.000.000),,,,96202000000.0,-183742000000.0,-87540000000.0
Số cuối năm,Năm trước > Số cuối năm,Số cuối năm,3.815.899.110.000,70.790.410.045,(902.752.100),615.884.709.128,854.377.493.428,5.356.048.970.501,3815899110000.0,70790410045.0,-902752100.0,615884709128.0,854377493428.0,5356048970501.0
Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,,,,,,
Số đầu năm,Năm nay > Số đầu năm,Số đầu năm,3.815.899.110.000,70.790.410.045,(902.752.100),615.884.709.128,854.377.493.428,5.356.048.970.501,3815899110000.0,70790410045.0,-902752100.0,615884709128.0,854377493428.0,5356048970501.0
Cổ tức công bố (*),Năm nay > Cổ tức công bố (*),Cổ tức công bố (*),-,-,-,-,(457.850.293.200),(457.850.293.200),,,,,-457850293200.0,-457850293200.0
Lợi nhuận thuần trong năm,Năm nay > Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,607.731.616.946,607.731.616.946,,,,,607731616946.0,607731616946.0
Phân phối lợi nhuận (**),Năm nay > Phân phối lợi nhuận (**),Phân phối lợi nhuận (**),-,-,-,154.328.000.000,(276.583.000.000),(122.255.000.000),,,,154328000000.0,-276583000000.0,-122255000000.0
Số cuối năm,Năm nay > Số cuối năm,Số cuối năm,3.815.899.110.000,70.790.410.045,(902.752.100),770.212.709.128,727.675.817.174,5.383.675.294.247,3815899110000.0,70790410045.0,-902752100.0,770212709128.0,727675817174.0,5383675294247.0
