row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,Nội dung nghiệp vụ,Số cuối năm,VND Số đầu năm,numeric__Mối quan hệ,numeric__Nội dung nghiệp vụ,numeric__Số cuối năm,numeric__VND Số đầu năm
Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,,,,
Công ty Cổ phần Xi Măng Vicem Hoàng Mai,Phải trả người bán ngắn hạn > Công ty Cổ phần Xi Măng Vicem Hoàng Mai,Công ty Cổ phần Xi Măng Vicem Hoàng Mai,Đơn vị thành viên trong cùng Tổng Công ty,Mua clinker,(95.084.005.486),(3.037.223.794),,,-95084005486.0,-3037223794.0
Công ty Cổ phần Logistics Vicem,Phải trả người bán ngắn hạn > Công ty Cổ phần Logistics Vicem,Công ty Cổ phần Logistics Vicem,Đơn vị thành viên trong cùng Tổng Công ty,Chi phí vận chuyển,(95.689.799.234),(108.881.047.143),,,-95689799234.0,-108881047143.0
Tổng Công ty Xi măng Việt Nam,Phải trả người bán ngắn hạn > Tổng Công ty Xi măng Việt Nam,Tổng Công ty Xi măng Việt Nam,Công ty mẹ,Phí tư vấn,(75.943.265.206),(74.136.376.902),,,-75943265206.0,-74136376902.0
Công ty TNHH MTV Xi măng Hạ Long,Phải trả người bán ngắn hạn > Công ty TNHH MTV Xi măng Hạ Long,Công ty TNHH MTV Xi măng Hạ Long,Đơn vị thành viên trong cùng Tổng Công ty,Phí gia công,(63.131.968.500),(14.789.403.915),,,-63131968500.0,-14789403915.0
Công ty Cổ phần Vicem Thạch cao Xi măng,Phải trả người bán ngắn hạn > Công ty Cổ phần Vicem Thạch cao Xi măng,Công ty Cổ phần Vicem Thạch cao Xi măng,Đơn vị thành viên trong cùng Tổng Công ty,Mua thạch cao,(11.668.677.504),,,,-11668677504.0,
Công ty Cổ phần Bao bì Hà Tiên,Phải trả người bán ngắn hạn > Công ty Cổ phần Bao bì Hà Tiên,Công ty Cổ phần Bao bì Hà Tiên,Đơn vị thành viên trong cùng Tổng Công ty,Mua nguyên vật liệu,(3.480.604.600),(4.783.572.845),,,-3480604600.0,-4783572845.0
Công ty Cổ phần Vicem Vật liệu xây dựng Đà Nẵng,Phải trả người bán ngắn hạn > Công ty Cổ phần Vicem Vật liệu xây dựng Đà Nẵng,Công ty Cổ phần Vicem Vật liệu xây dựng Đà Nẵng,Đơn vị thành viên trong cùng Tổng Công ty,Mua vỏ bao,(3.330.016.690),(4.618.611.756),,,-3330016690.0,-4618611756.0
Công ty Cổ phần Thương mại Dịch vụ Vận tải Xi măng Hải Phòng,Phải trả người bán ngắn hạn > Công ty Cổ phần Thương mại Dịch vụ Vận tải Xi măng Hải Phòng,Công ty Cổ phần Thương mại Dịch vụ Vận tải Xi măng Hải Phòng,Đơn vị thành viên trong cùng Tổng Công ty,Chi phí vận chuyển,(1.130.943.468),(2.092.522.509),,,-1130943468.0,-2092522509.0
Công ty Tư vấn Đầu tư Phát triển Xi măng,Phải trả người bán ngắn hạn > Công ty Tư vấn Đầu tư Phát triển Xi măng,Công ty Tư vấn Đầu tư Phát triển Xi măng,Đơn vị thành viên trong cùng Tổng Công ty,Phí tư vấn,(988.579.789),(39.965.500),,,-988579789.0,-39965500.0
