row_label_raw,row_label_full,Ông Lưu Đình Cường,Tổng Giám đốc,col_2,numeric__Tổng Giám đốc,numeric__col_2
Ông Phạm Đình Nhật Cường,Ông Phạm Đình Nhật Cường,Ông Phạm Đình Nhật Cường,Phó Tổng Giám đốc,,,
Ông Nguyễn Thanh Phúc,Ông Nguyễn Thanh Phúc,Ông Nguyễn Thanh Phúc,Phó Tổng Giám đốc,,,
Ông Phạm Kiến Phương,Ông Phạm Kiến Phương,Ông Phạm Kiến Phương,Phó Tổng Giám đốc,bổ nhiệm ngày 10 tháng 3 năm 2021,,
