row_label_raw,row_label_full,STT,Chỉ tiêu,Thuyết minh,31/12/2020Triệu VND,31/12/2019Triệu VND(trình bày lại),numeric__Chỉ tiêu,numeric__Thuyết minh,numeric__31/12/2020Triệu VND,numeric__31/12/2019Triệu VND(trình bày lại)
A,A,A,TÀI SẢN,,,,,,,
I,A > I,I,"Tiền mặt, vàng bạc, đá quý",4,15.095.394,13.778.358,,4.0,15095394.0,13778358.0
II,A > II,II,Tiền gửi tại Ngân hàng Nhà nước (“NHNN”),5,33.139.373,34.684.091,,5.0,33139373.0,34684091.0
III,A > III,III,Tiền gửi và cho vay các tổ chức tín dụng khác,6,267.969.645,249.470.372,,6.0,267969645.0,249470372.0
1,A > 1,1,Tiền gửi tại các tổ chức tín dụng khác,,204.713.783,190.100.329,,,204713783.0,190100329.0
2,A > 2,2,Cho vay các tổ chức tín dụng khác,,64.255.862,62.370.043,,,64255862.0,62370043.0
3,A > 3,3,Dự phòng rủi ro,,(1.000.000),(3.000.000),,,-1000000.0,-3000000.0
IV,A > IV,IV,Chứng khoán kinh doanh,7,1.954.061,1.801.126,,7.0,1954061.0,1801126.0
1,A > 1,1,Chứng khoán kinh doanh,,1.991.861,1.889.628,,,1991861.0,1889628.0
2,A > 2,2,Dự phòng rủi ro chứng khoán kinh doanh,,(37.800),(88.502),,,-37800.0,-88502.0
V,A > V,V,Các công cụ tài chính phải sinh và các tài sản tài chính khác,8,-,98.312,,8.0,,98312.0
VI,A > VI,VI,Cho vay khách hàng,,820.545.467,724.473.254,,,820545467.0,724473254.0
1,A > 1,1,Cho vay khách hàng,9,839.788.261,734.706.891,,9.0,839788261.0,734706891.0
2,A > 2,2,Dự phòng rủi ro cho vay khách hàng,10,(19.242.794),(10.233.637),,10.0,-19242794.0,-10233637.0
VIII,A > VIII,VIII,Chứng khoán đầu tư,11,156.931.097,167.529.689,,11.0,156931097.0,167529689.0
1,A > 1,1,Chứng khoán đầu tư sẵn sàng để bán,,42.148.831,35.699.090,,,42148831.0,35699090.0
2,A > 2,2,Chứng khoán đầu tư giữ đến ngày đáo hạn,,115.382.544,132.271.302,,,115382544.0,132271302.0
3,A > 3,3,Dự phòng rủi ro chứng khoán đầu tư,,(600.278),(440.703),,,-600278.0,-440703.0
IX,A > IX,IX,"Góp vốn, đầu tư dài hạn",,2.239.006,2.464.493,,,2239006.0,2464493.0
2,A > 2,2,Vốn góp liên doanh,12(a),714.935,940.807,,,714935.0,940807.0
3,A > 3,3,Đầu tư vào công ty liên kết,12(b),11.248,10.863,,,11248.0,10863.0
4,A > 4,4,Đầu tư dài hạn khác,12(c),1.587.823,1.587.823,,,1587823.0,1587823.0
5,A > 5,5,Dự phòng giảm giá đầu tư dài hạn,12(c),(75.000),(75.000),,,-75000.0,-75000.0
X,A > X,X,Tài sản cố định,,8.539.362,6.706.503,,,8539362.0,6706503.0
1,A > 1,1,Tài sản cố định hữu hình,13,5.411.139,4.445.709,,13.0,5411139.0,4445709.0
a,A > a,a,Nguyên giá tài sản cố định,,12.866.189,11.162.170,,,12866189.0,11162170.0
b,A > b,b,Hao mòn tài sản cố định,,(7.455.050),(6.716.461),,,-7455050.0,-6716461.0
3,A > 3,3,Tài sản cố định vô hình,14,3.128.223,2.260.794,,14.0,3128223.0,2260794.0
a,A > a,a,Nguyên giá tài sản cố định,,4.211.880,3.050.669,,,4211880.0,3050669.0
b,A > b,b,Hao mòn tài sản cố định,,(1.083.657),(789.875),,,-1083657.0,-789875.0
XII,A > XII,XII,Tài sản Có khác,,19.816.687,21.807.494,,,19816687.0,21807494.0
1,A > 1,1,Các khoản phải thu,15(a),6.668.595,8.830.390,,,6668595.0,8830390.0
2,A > 2,2,"Các khoản lãi, phí phải thu",15(b),7.206.125,8.064.808,,,7206125.0,8064808.0
3,A > 3,3,Tài sản thuế thu nhập doanh nghiệp hoãn lại,15(c),909.263,405.543,,,909263.0,405543.0
4,A > 4,4,Tài sản Có khác,15(d),5.036.638,4.510.592,,,5036638.0,4510592.0
5,A > 5,5,Các khoản dự phòng rủi ro cho các tài sản Có nội bảng khác,15(d),(3.934),(3.839),,,-3934.0,-3839.0
,,,TỔNG TÀI SẢN CÓ,,1.326.230.092,1.222.813.692,,,1326230092.0,1222813692.0
