row_label_raw,row_label_full,Năm kết thúc ngày 31 tháng 12 năm 2020:,Năm kết thúc ngày 31 tháng 12 năm 2020:_1,Dịch vụ tài chính ngân hàng Triệu VND,Dịch vụ tài chính phi ngân hàng Triệu VND,Chứng khoán Triệu VND,Khác Triệu VND,Loại trừ Triệu VND,Tổng cộng Triệu VND,numeric__Năm kết thúc ngày 31 tháng 12 năm 2020:_1,numeric__Dịch vụ tài chính ngân hàng Triệu VND,numeric__Dịch vụ tài chính phi ngân hàng Triệu VND,numeric__Chứng khoán Triệu VND,numeric__Khác Triệu VND,numeric__Loại trừ Triệu VND,numeric__Tổng cộng Triệu VND
1,1,1,Thu nhập lãi và các khoản thu nhập tương tự,157.054.516,400.398,271.951,20.193,(88.541.924),69.205.134,,157054516.0,400398.0,271951.0,20193.0,-88541924.0,69205134.0
2,2,2,Chi phí lãi và các chi phí tương tự,(121.217.494),(152.921),(89.668),(7.647),88.548.071,(32.919.659),,-121217494.0,-152921.0,-89668.0,-7647.0,88548071.0,-32919659.0
I,I,I,Thu nhập lãi thuần,35.837.022,247.477,182.283,12.546,6.147,36.285.475,,35837022.0,247477.0,182283.0,12546.0,6147.0,36285475.0
3,3,3,Thu nhập từ hoạt động dịch vụ,10.301.436,42.567,300.344,229.369,(285.553),10.588.163,,10301436.0,42567.0,300344.0,229369.0,-285553.0,10588163.0
4,4,4,Chi phí hoạt động dịch vụ,(3.977.860),(964),(54.541),(92.940),145.459,(3.980.846),,-3977860.0,-964.0,-54541.0,-92940.0,145459.0,-3980846.0
II,II,II,Lãi/(lỗ) thuần từ hoạt động dịch vụ,6.323.576,41.603,245.803,136.429,(140.094),6.607.317,,6323576.0,41603.0,245803.0,136429.0,-140094.0,6607317.0
III,III,III,Lãi/(lỗ) thuần từ hoạt động kinh doanh ngoại hối,3.908.963,(2.564),-,-,-,3.906.399,,3908963.0,-2564.0,,,,3906399.0
IV,IV,IV,(Lỗ)/Lãi thuần từ mua bán chứng khoán kinh doanh,(34.812),-,42.753,-,(6.131),1.810,,-34812.0,,42753.0,,-6131.0,1810.0
IV,IV,IV,Lỗ thuần từ mua bán chứng khoán đầu tư,-,-,(98),-,-,(98),,,,-98.0,,,-98.0
5,5,5,Thu nhập từ hoạt động khác,2.535.589,8.120,403,602,-,2.544.714,,2535589.0,8120.0,403.0,602.0,,2544714.0
6,6,6,Chi phí hoạt động khác,(744.422),(12),(21),(6),-,(744.461),,-744422.0,-12.0,-21.0,-6.0,,-744461.0
VI,VI,VI,Lãi thuần từ hoạt động khác,1.791.167,8.108,382,596,-,1.800.253,,1791167.0,8108.0,382.0,596.0,,1800253.0
VII,VII,VII,"Thu nhập từ góp vốn, mua cổ phần",447.110,-,14.275,-,-,461.385,,447110.0,,14275.0,,,461385.0
,,,Tổng thu nhập hoạt động,48.273.026,294.624,485.398,149.571,(140.078),49.062.541,,48273026.0,294624.0,485398.0,149571.0,-140078.0,49062541.0
VIII,VIII,VIII,Chi phí hoạt động,(15.776.505),(135.226),(216.421),(54.613),144.515,(16.038.250),,-15776505.0,-135226.0,-216421.0,-54613.0,144515.0,-16038250.0
IX,IX,IX,Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng,32.496.521,159.398,268.977,94.958,4.437,33.024.291,,32496521.0,159398.0,268977.0,94958.0,4437.0,33024291.0
X,X,X,Chi phí dự phòng rủi ro tín dụng,(9.934.124),(40.606),-,-,-,(9.974.730),,-9934124.0,-40606.0,,,,-9974730.0
XI,XI,XI,Tổng lợi nhuận trước thuế,22.562.397,118.792,268.977,94.958,4.437,23.049.561,,22562397.0,118792.0,268977.0,94958.0,4437.0,23049561.0
7,7,7,Chi phí thuế TNDN hiện hành,(4.992.527),(24.737),(52.315),(11.489),-,(5.081.068),,-4992527.0,-24737.0,-52315.0,-11489.0,,-5081068.0
8,8,8,Chi phí thuế TNDN hoãn lại,502.392,305,1.328,-,-,504.025,,502392.0,305.0,1328.0,,,504025.0
XII,XII,XII,Chi phí thuế TNDN,(4.490.135),(24.432),(50.987),(11.489),-,(4.577.043),,-4490135.0,-24432.0,-50987.0,-11489.0,,-4577043.0
XIII,XIII,XIII,Lợi nhuận sau thuế,18.072.262,94.360,217.990,83.469,4.437,18.472.518,,18072262.0,94360.0,217990.0,83469.0,4437.0,18472518.0
