row_label_raw,row_label_full,STT,Chỉ tiêu,2020Triệu VND,2019Triệu VND,numeric__Chỉ tiêu,numeric__2020Triệu VND,numeric__2019Triệu VND
,,,LUỦ CHUYỀN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ,LUỦ CHUYỀN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ,LUỦ CHUYỀN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ,,,
01,01,01,Mua sắm tài sản cố định,(3.001.902),(1.005.065),,-3001902.0,-1005065.0
02,02,02,"Tiền thu từ thanh lý, nhượng bán tài sản cố định",10.569,11.589,,10569.0,11589.0
03,03,03,"Tiền chi cho thanh lý, nhượng bán tài sản cố định",(3.053),(6.315),,-3053.0,-6315.0
04,04,04,"Tiền thu đầu tư, góp vốn vào các đơn vị khác",605.274,95.773,,605274.0,95773.0
05,05,05,"Tiền thu cổ tức và lợi nhuận được chia từ các khoản đầu tư, góp vốn dài hạn",83.959,154.582,,83959.0,154582.0
06,06,06,Tiền thu từ cổ tức đã có quyết định từ năm trước,-,42.989,,,42989.0
II,II,II,Lưu chuyển tiền thuần cho hoạt động đầu tư,(2.305.153),(706.447),,-2305153.0,-706447.0
,,,LUỦ CHUYỀN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,LUỦ CHUYỀN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,LUỦ CHUYỀN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,,,
01,01,01,Tăng vốn cổ phần từ phát hành cổ phiếu,-,1.111.088,,,1111088.0
02,02,02,Thặng dư vốn cổ phần từ phát hành cổ phiếu,-,4.995.389,,,4995389.0
03,03,03,"Cổ tức đã trả cho cổ đông, lợi nhuận đã chia",(2.986.115),(2.219.483),,-2986115.0,-2219483.0
III,III,III,Lưu chuyển tiền thuần (cho)/từ hoạt động tài chính,(2.986.115),3.886.994,,-2986115.0,3886994.0
IV,IV,IV,Lưu chuyển tiền thuần trong năm,20.312.167,28.256.379,,20312167.0,28256379.0
V,V,V,Tiền và các khoản tương đương tiền tại thời điểm đầu năm,272.270.535,244.014.156,,272270535.0,244014156.0
VII,VII,VII,Tiền và các khoản tương đương tiền tại thời điểm cuối năm (Thuyết minh 36),292.582.702,272.270.535,,292582702.0,272270535.0
