row_label_raw,row_label_full,col_0,31/12/2020Triệu VND,31/12/2019Triệu VND(trình bày lại),numeric__31/12/2020Triệu VND,numeric__31/12/2019Triệu VND(trình bày lại)
Các khoản phải thu nội bộ,Các khoản phải thu nội bộ,Các khoản phải thu nội bộ,1.653.804,1.595.353,1653804.0,1595353.0
Các khoản phải thu bên ngoài (i),Các khoản phải thu bên ngoài (i),Các khoản phải thu bên ngoài (i),5.014.791,7.235.037,5014791.0,7235037.0
,,,6.668.595,8.830.390,6668595.0,8830390.0
(i) Các khoản phải thu bên ngoài,(i) Các khoản phải thu bên ngoài,(i) Các khoản phải thu bên ngoài,(i) Các khoản phải thu bên ngoài,(i) Các khoản phải thu bên ngoài,,
,,,31/12/2020Triệu VND,31/12/2019Triệu VND(trình bày lại),,
Tạm ứng mua sắm tài sản cố định,(i) Các khoản phải thu bên ngoài > Tạm ứng mua sắm tài sản cố định,Tạm ứng mua sắm tài sản cố định,800.898,1.088.039,800898.0,1088039.0
Phải thu từ ngân sách Nhà nước về hỗ trợ lãi suất,(i) Các khoản phải thu bên ngoài > Phải thu từ ngân sách Nhà nước về hỗ trợ lãi suất,Phải thu từ ngân sách Nhà nước về hỗ trợ lãi suất,325.088,311.981,325088.0,311981.0
Thuế thu nhập doanh nghiệp nộp thừa (Thuyết minh 38),(i) Các khoản phải thu bên ngoài > Thuế thu nhập doanh nghiệp nộp thừa (Thuyết minh 38),Thuế thu nhập doanh nghiệp nộp thừa (Thuyết minh 38),1.182,60,1182.0,60.0
Thuế giá trị gia tăng được khấu trừ (Thuyết minh 38),(i) Các khoản phải thu bên ngoài > Thuế giá trị gia tăng được khấu trừ (Thuyết minh 38),Thuế giá trị gia tăng được khấu trừ (Thuyết minh 38),14.251,31.812,14251.0,31812.0
Tạm ứng thuế khác (Thuyết minh 38),(i) Các khoản phải thu bên ngoài > Tạm ứng thuế khác (Thuyết minh 38),Tạm ứng thuế khác (Thuyết minh 38),230,2,230.0,2.0
Chi phí xây dựng cơ bản dở dang (*),(i) Các khoản phải thu bên ngoài > Chi phí xây dựng cơ bản dở dang (*),Chi phí xây dựng cơ bản dở dang (*),455.357,794.212,455357.0,794212.0
Các khoản phải thu khác,(i) Các khoản phải thu bên ngoài > Các khoản phải thu khác,Các khoản phải thu khác,3.417.785,5.008.931,3417785.0,5008931.0
,,,5.014.791,7.235.037,5014791.0,7235037.0
