row_label_raw,row_label_full,col_0,2019Triệu VND(trình bày lại),2019Triệu VND(theo báo cáotrước đây),Chênh lệchTriệu VND,numeric__2019Triệu VND(trình bày lại),numeric__2019Triệu VND(theo báo cáotrước đây),numeric__Chênh lệchTriệu VND
Thu nhập lãi và các khoản thu nhập tương tự,Thu nhập lãi và các khoản thu nhập tương tự,Thu nhập lãi và các khoản thu nhập tương tự,67.665.496,67.724.190,(58.694),67665496.0,67724190.0,-58694.0
Chi phí lãi và các chi phí tương tự,Chi phí lãi và các chi phí tương tự,Chi phí lãi và các chi phí tương tự,(33.127.768),(33.146.840),19.072,-33127768.0,-33146840.0,19072.0
Thu nhập lãi thuần,Thu nhập lãi thuần,Thu nhập lãi thuần,34.537.728,34.577.350,(39.622),34537728.0,34577350.0,-39622.0
Thu nhập từ hoạt động dịch vụ,Thu nhập từ hoạt động dịch vụ,Thu nhập từ hoạt động dịch vụ,9.005.109,9.002.507,2.602,9005109.0,9002507.0,2602.0
Lãi thuần từ hoạt động dịch vụ,Lãi thuần từ hoạt động dịch vụ,Lãi thuần từ hoạt động dịch vụ,4.309.446,4.306.844,2.602,4309446.0,4306844.0,2602.0
Thu nhập từ hoạt động khác,Thu nhập từ hoạt động khác,Thu nhập từ hoạt động khác,3.427.795,3.427.765,30,3427795.0,3427765.0,30.0
Lãi thuần từ hoạt động khác,Lãi thuần từ hoạt động khác,Lãi thuần từ hoạt động khác,3.069.825,3.069.795,30,3069825.0,3069795.0,30.0
Chi phí hoạt động,Chi phí hoạt động,Chi phí hoạt động,(15.874.542),(15.817.575),(56.967),-15874542.0,-15817575.0,-56967.0
Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng,Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng,Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng,29.818.849,29.912.806,(93.957),29818849.0,29912806.0,-93957.0
Chi phí dự phòng rủi ro tín dụng,Chi phí dự phòng rủi ro tín dụng,Chi phí dự phòng rủi ro tín dụng,(6.607.278),(6.790.429),183.151,-6607278.0,-6790429.0,183151.0
TỔNG LỢI NHUẬN TRƯỚC THUẾ,TỔNG LỢI NHUẬN TRƯỚC THUẾ,TỔNG LỢI NHUẬN TRƯỚC THUẾ,23.211.571,23.122.377,89.194,23211571.0,23122377.0,89194.0
Chi phí thuế thu nhập doanh nghiệp hiện hành,Chi phí thuế thu nhập doanh nghiệp hiện hành,Chi phí thuế thu nhập doanh nghiệp hiện hành,(5.010.302),(4.992.464),(17.838),-5010302.0,-4992464.0,-17838.0
Chi phí thuế thu nhập doanh nghiệp,Chi phí thuế thu nhập doanh nghiệp,Chi phí thuế thu nhập doanh nghiệp,(4.614.227),(4.596.389),(17.838),-4614227.0,-4596389.0,-17838.0
LỢI NHUẬN SAU THUẾ,LỢI NHUẬN SAU THUẾ,LỢI NHUẬN SAU THUẾ,18.597.344,18.525.988,71.356,18597344.0,18525988.0,71356.0
