row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcTriệu VND","Máy móc,thiết bịTriệu VND","Phươngtiện vận tải,truyền đãnTriệu VND",Tài sảncó định hữuhình khácTriệu VND,Tổng cộngTriệu VND,"numeric__Nhà cửa,vật kiến trúcTriệu VND","numeric__Máy móc,thiết bịTriệu VND","numeric__Phươngtiện vận tải,truyền đãnTriệu VND",numeric__Tài sảncó định hữuhình khácTriệu VND,numeric__Tổng cộngTriệu VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Số dư đầu năm(trình bày lại),Nguyên giá > Số dư đầu năm(trình bày lại),Số dư đầu năm(trình bày lại),4.528.872,4.152.078,986.640,1.494.580,11.162.170,4528872.0,4152078.0,986640.0,1494580.0,11162170.0
Tăng trong năm- Mua mới,Nguyên giá > Tăng trong năm- Mua mới,Tăng trong năm- Mua mới,1.004.906,443.539,166.034,235.519,1.849.998,1004906.0,443539.0,166034.0,235519.0,1849998.0
Tăng trong năm- Mua mới,Nguyên giá > Tăng trong năm- Mua mới,Tăng trong năm- Mua mới,1.004.906,443.539,165.879,229.245,1.843.569,1004906.0,443539.0,165879.0,229245.0,1843569.0
- Tăng khác,Nguyên giá > - Tăng khác,- Tăng khác,-,-,155,6.274,6.429,,,155.0,6274.0,6429.0
"Giảm trong năm- Thanh lý, nhượng bán","Nguyên giá > Giảm trong năm- Thanh lý, nhượng bán","Giảm trong năm- Thanh lý, nhượng bán",(19.397),(87.754),(23.134),(15.694),(145.979),-19397.0,-87754.0,-23134.0,-15694.0,-145979.0
"Giảm trong năm- Thanh lý, nhượng bán","Nguyên giá > Giảm trong năm- Thanh lý, nhượng bán","Giảm trong năm- Thanh lý, nhượng bán",(9.805),(86.734),(23.117),(15.689),(135.345),-9805.0,-86734.0,-23117.0,-15689.0,-135345.0
- Giảm khác,Nguyên giá > - Giảm khác,- Giảm khác,(9.592),(1.020),(17),(5),(10.634),-9592.0,-1020.0,-17.0,-5.0,-10634.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,5.514.381,4.507.863,1.129.540,1.714.405,12.866.189,5514381.0,4507863.0,1129540.0,1714405.0,12866189.0
Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,,,,,
Số dư đầu năm(trình bày lại),Hao mòn lũy kế > Số dư đầu năm(trình bày lại),Số dư đầu năm(trình bày lại),1.313.615,3.683.351,667.593,1.051.902,6.716.461,1313615.0,3683351.0,667593.0,1051902.0,6716461.0
Tăng trong năm- Khấu hao,Hao mòn lũy kế > Tăng trong năm- Khấu hao,Tăng trong năm- Khấu hao,219.735,370.123,89.048,196.889,875.795,219735.0,370123.0,89048.0,196889.0,875795.0
Tăng trong năm- Khấu hao,Hao mòn lũy kế > Tăng trong năm- Khấu hao,Tăng trong năm- Khấu hao,218.752,370.026,89.048,196.735,874.561,218752.0,370026.0,89048.0,196735.0,874561.0
- Tăng khác,Hao mòn lũy kế > - Tăng khác,- Tăng khác,983,97,-,154,1.234,983.0,97.0,,154.0,1234.0
"Giảm trong năm- Thanh lý, nhượng bán","Hao mòn lũy kế > Giảm trong năm- Thanh lý, nhượng bán","Giảm trong năm- Thanh lý, nhượng bán",(8.773),(86.738),(23.121),(18.574),(137.206),-8773.0,-86738.0,-23121.0,-18574.0,-137206.0
"Giảm trong năm- Thanh lý, nhượng bán","Hao mòn lũy kế > Giảm trong năm- Thanh lý, nhượng bán","Giảm trong năm- Thanh lý, nhượng bán",(8.773),(86.734),(23.117),(15.595),(134.219),-8773.0,-86734.0,-23117.0,-15595.0,-134219.0
- Giảm khác,Hao mòn lũy kế > - Giảm khác,- Giảm khác,-,(4),(4),(2.979),(2.987),,-4.0,-4.0,-2979.0,-2987.0
Số dư cuối năm,Hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,1.524.577,3.966.736,733.520,1.230.217,7.455.050,1524577.0,3966736.0,733520.0,1230217.0,7455050.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Số dư đầu năm(trình bày lại),Giá trị còn lại > Số dư đầu năm(trình bày lại),Số dư đầu năm(trình bày lại),3.215.257,468.727,319.047,442.678,4.445.709,3215257.0,468727.0,319047.0,442678.0,4445709.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,3.989.804,541.127,396.020,484.188,5.411.139,3989804.0,541127.0,396020.0,484188.0,5411139.0
