row_label_raw,row_label_full,col_0,col_1,Quá hạn,Không chịu lãi,Dưới 1 tháng,Từ 1 đến 3 tháng,Từ trên 3 tháng đến 6 tháng,Từ trên 6 tháng đến 12 tháng,Từ trên 1 năm đến 5 năm,Trên 5 năm,Tổng cộng,numeric__col_1,numeric__Quá hạn,numeric__Không chịu lãi,numeric__Dưới 1 tháng,numeric__Từ 1 đến 3 tháng,numeric__Từ trên 3 tháng đến 6 tháng,numeric__Từ trên 6 tháng đến 12 tháng,numeric__Từ trên 1 năm đến 5 năm,numeric__Trên 5 năm,numeric__Tổng cộng
,,,,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,,,,,,,
,,,Tài sản,,,,,,,,,,,,,,,,,,,
I,I,I,"Tiền mặt, vàng bạc, đá quý",-,15.095.394,-,-,-,-,-,-,15.095.394,,,15095394.0,,,,,,,15095394.0
II,II,II,Tiền gửi tại NHNN,-,-,33.139.373,-,-,-,-,-,33.139.373,,,,33139373.0,,,,,,33139373.0
III,III,III,Tiền gửi và cho vay các tố chức tín dụng khác – gộp,-,-,229.082.421,17.963.269,3.478.910,18.445.045,-,-,268.969.645,,,,229082421.0,17963269.0,3478910.0,18445045.0,,,268969645.0
IV,IV,IV,Chứng khoán kinh doanh – gộp,-,326.070,1.665.791,-,-,-,-,-,1.991.861,,,326070.0,1665791.0,,,,,,1991861.0
VI,VI,VI,Cho vay khách hàng – gộp,12.519.728,-,154.301.126,273.642.180,214.699.585,86.390.965,90.625.451,7.609.226,839.788.261,,12519728.0,,154301126.0,273642180.0,214699585.0,86390965.0,90625451.0,7609226.0,839788261.0
VII,VII,VII,Chứng khoán đầu tư – gộp,-,8.190,3.519.446,11.681.908,19.340.454,24.331.181,89.695.026,8.955.170,157.531.375,,,8190.0,3519446.0,11681908.0,19340454.0,24331181.0,89695026.0,8955170.0,157531375.0
VIII,VIII,VIII,"Góp vốn, đầu tư dài hạn – gộp",-,2.314.006,-,-,-,-,-,-,2.314.006,,,2314006.0,,,,,,,2314006.0
IX,IX,IX,Tài sản cố định,-,8.539.362,-,-,-,-,-,-,8.539.362,,,8539362.0,,,,,,,8539362.0
X,X,X,Tài sản Có khác – gộp,-,19.820.621,-,-,-,-,-,-,19.820.621,,,19820621.0,,,,,,,19820621.0
,,,Tổng tài sản,12.519.728,46.103.643,421.708.157,303.287.357,237.518.949,129.167.191,180.320.477,16.564.396,1.347.189.898,,12519728.0,46103643.0,421708157.0,303287357.0,237518949.0,129167191.0,180320477.0,16564396.0,1347189898.0
,,,Nợ phải trả,,,,,,,,,,,,,,,,,,,
I,I,I,Các khoản nợ Chính phủ và NHNN và tiền gửi và vay các TCTD khác,-,-,140.856.471,2.924.433,525.548,454.376,-,-,144.760.828,,,,140856471.0,2924433.0,525548.0,454376.0,,,144760828.0
II,II,II,Tiền gửi của khách hàng,-,131.705,571.052.061,184.105.481,108.632.517,163.566.727,4.605.486,19.590,1.032.113.567,,,131705.0,571052061.0,184105481.0,108632517.0,163566727.0,4605486.0,19590.0,1032113567.0
III,III,III,Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,-,52.031,-,-,-,-,-,-,52.031,,,52031.0,,,,,,,52031.0
IV,IV,IV,"Vốn tài trợ, ủy thác dấu tư, cho vay mà TCTD chịu rủi ro",-,-,-,-,-,-,14.679,-,14.679,,,,,,,,14679.0,,14679.0
V,V,V,Phát hành giấy tờ có giá,-,-,69.205,-,-,10.907.198,8.898.794,1.365.000,21.240.197,,,,69205.0,,,10907198.0,8898794.0,1365000.0,21240197.0
VI,VI,VI,Các khoản nợ phải trả khác,-,33.047.617,837.727,68.467,-,-,-,-,33.953.811,,,33047617.0,837727.0,68467.0,,,,,33953811.0
,,,Tổng nợ phải trả,-,33.231.353,712.815.464,187.098.381,109.158.065,174.928.301,13.518.959,1.384.590,1.232.135.113,,,33231353.0,712815464.0,187098381.0,109158065.0,174928301.0,13518959.0,1384590.0,1232135113.0
,,,Mức chênh nhạy cảm với lãi suất nội bảng,12.519.728,12.872.290,(291.107.307),116.188.976,128.360.884,(45.761.110),166.801.518,15.179.806,115.054.785,,12519728.0,12872290.0,-291107307.0,116188976.0,128360884.0,-45761110.0,166801518.0,15179806.0,115054785.0
