row_label_raw,row_label_full,col_0,31/12/2019Triệu VND(trình bày lại),31/12/2019Triệu VND(theo báo cáotrước đây),Chênh lệchTriệu VND,numeric__31/12/2019Triệu VND(trình bày lại),numeric__31/12/2019Triệu VND(theo báo cáotrước đây),numeric__Chênh lệchTriệu VND
Cho vay khách hàng,Cho vay khách hàng,Cho vay khách hàng,724.473.254,724.290.102,183.152,724473254.0,724290102.0,183152.0
Cho vay khách hàng,Cho vay khách hàng,Cho vay khách hàng,734.706.891,734.706.891,-,734706891.0,734706891.0,
Dự phòng rủi ro cho vay khách hàng,Dự phòng rủi ro cho vay khách hàng,Dự phòng rủi ro cho vay khách hàng,(10.233.637),(10.416.789),183.152,-10233637.0,-10416789.0,183152.0
Tài sản cố định,Tài sản cố định,Tài sản cố định,6.706.503,6.710.443,(3.940),6706503.0,6710443.0,-3940.0
Tài sản cố định hữu hình,Tài sản cố định hữu hình,Tài sản cố định hữu hình,4.445.709,4.449.649,(3.940),4445709.0,4449649.0,-3940.0
Nguyên giá tài sản cố định,Nguyên giá tài sản cố định,Nguyên giá tài sản cố định,11.162.170,11.161.239,931,11162170.0,11161239.0,931.0
Hao mòn tài sản cố định,Hao mòn tài sản cố định,Hao mòn tài sản cố định,(6.716.461),(6.711.590),(4.871),-6716461.0,-6711590.0,-4871.0
Tài sản Có khác,Tài sản Có khác,Tài sản Có khác,21.807.494,21.891.872,(84.378),21807494.0,21891872.0,-84378.0
Các khoản phải thu,Các khoản phải thu,Các khoản phải thu,8.830.390,8.829.375,1.015,8830390.0,8829375.0,1015.0
"Các khoản lãi, phí phải thu","Các khoản lãi, phí phải thu","Các khoản lãi, phí phải thu",8.064.808,8.150.156,(85.348),8064808.0,8150156.0,-85348.0
Các khoản dự phòng rủi ro cho các tài sảnCó nội bảng khác,Các khoản dự phòng rủi ro cho các tài sảnCó nội bảng khác,Các khoản dự phòng rủi ro cho các tài sảnCó nội bảng khác,(3.839),(3.794),(45),-3839.0,-3794.0,-45.0
Tổng ảnh hưởng,Tổng ảnh hưởng,Tổng ảnh hưởng,,,94.834,,,94834.0
