row_label_raw,row_label_full,col_0,Quyền sử dụng đất Triệu VND,Bản quyền và bằng sáng chế Triệu VND,Tài sản cố định vô hình khác Triệu VND,Tổng cộng Triệu VND,numeric__Quyền sử dụng đất Triệu VND,numeric__Bản quyền và bằng sáng chế Triệu VND,numeric__Tài sản cố định vô hình khác Triệu VND,numeric__Tổng cộng Triệu VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,2.180.059,827.249,43.361,3.050.669,2180059.0,827249.0,43361.0,3050669.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,322.602,837.084,2.484,1.162.170,322602.0,837084.0,2484.0,1162170.0
- Mua mới,Nguyên giá > - Mua mới,- Mua mới,318.765,837.084,2.484,1.158.333,318765.0,837084.0,2484.0,1158333.0
- Tăng khác,Nguyên giá > - Tăng khác,- Tăng khác,3.837,-,-,3.837,3837.0,,,3837.0
Giảm khác trong năm,Nguyên giá > Giảm khác trong năm,Giảm khác trong năm,-,(302),(657),(959),,-302.0,-657.0,-959.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,2.502.661,1.664.031,45.188,4.211.880,2502661.0,1664031.0,45188.0,4211880.0
Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,,,,
Số dư đầu năm,Hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,89.468,675.614,24.793,789.875,89468.0,675614.0,24793.0,789875.0
Khẩu hao trong năm,Hao mòn lũy kế > Khẩu hao trong năm,Khẩu hao trong năm,15.017,276.937,1.984,293.938,15017.0,276937.0,1984.0,293938.0
Giảm khác trong năm,Hao mòn lũy kế > Giảm khác trong năm,Giảm khác trong năm,-,-,(156),(156),,,-156.0,-156.0
Số dư cuối năm,Hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,104.485,952.551,26.621,1.083.657,104485.0,952551.0,26621.0,1083657.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,2.090.591,151.635,18.568,2.260.794,2090591.0,151635.0,18568.0,2260794.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,2.398.176,711.480,18.567,3.128.223,2398176.0,711480.0,18567.0,3128223.0
