row_label_raw,row_label_full,col_0,Vốn điều lệ,Thặng dư vốn cổ phần,Vốn khác,Quỹ của tổ chức tín dụng,Quỹ của tổ chức tín dụng_1,Quỹ của tổ chức tín dụng_2,Quỹ của tổ chức tín dụng_3,Chênh lệch tỷ giá hối doái,Chênh lệch đánh giá lại tài sản,Lợi nhuận chưa phân phối,Lợi ích của cổ đông không kiểm soát,Tổng cộng,numeric__Vốn điều lệ,numeric__Thặng dư vốn cổ phần,numeric__Vốn khác,numeric__Quỹ của tổ chức tín dụng,numeric__Quỹ của tổ chức tín dụng_1,numeric__Quỹ của tổ chức tín dụng_2,numeric__Quỹ của tổ chức tín dụng_3,numeric__Chênh lệch tỷ giá hối doái,numeric__Chênh lệch đánh giá lại tài sản,numeric__Lợi nhuận chưa phân phối,numeric__Lợi ích của cổ đông không kiểm soát,numeric__Tổng cộng
,,,Triệu VND,Triệu VND,Triệu VND,Quỹ dự trữ bổ sung vốn điều lệ Triệu VND,Quỹ dự phòng tài chính Triệu VND,Quỹ đầu tư phát triển Triệu VND,Tổng cộng Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,,,,,,,,,
Số dư tại ngày 1/1/2020(trình bày lại),Số dư tại ngày 1/1/2020(trình bày lại),Số dư tại ngày 1/1/2020(trình bày lại),37.088.774,4.995.389,344.658,4.041.013,8.074.467,70.661,12.186.141,16.361,113.011,26.126.544,83.459,80.954.337,37088774.0,4995389.0,344658.0,4041013.0,8074467.0,70661.0,12186141.0,16361.0,113011.0,26126544.0,83459.0,80954337.0
Lợi nhuận thuấn trong năm,Lợi nhuận thuấn trong năm,Lợi nhuận thuấn trong năm,-,-,-,-,-,-,-,-,-,18.451.311,21.207,18.472.518,,,,,,,,,,18451311.0,21207.0,18472518.0
Tạm trích các quỹ dự trữ bắt buộc (“DTBB”) trong năm 2020,Tạm trích các quỹ dự trữ bắt buộc (“DTBB”) trong năm 2020,Tạm trích các quỹ dự trữ bắt buộc (“DTBB”) trong năm 2020,-,-,-,902.187,1.804.375,-,2.706.562,-,-,(2.706.562),-,-,,,,902187.0,1804375.0,,2706562.0,,,-2706562.0,,
"Tạm trích quỹ khen thưởng, phúc lợi (“KTPL”) trong năm 2020","Tạm trích quỹ khen thưởng, phúc lợi (“KTPL”) trong năm 2020","Tạm trích quỹ khen thưởng, phúc lợi (“KTPL”) trong năm 2020",-,-,-,-,-,-,-,-,-,(1.859.105),-,(1.859.105),,,,,,,,,,-1859105.0,,-1859105.0
Điều chỉnh trích lập các quỹ DTBB và quỹ KTPL theo Nghị quyết của Đại hội đồng cổ đông Ngân hàng,Điều chỉnh trích lập các quỹ DTBB và quỹ KTPL theo Nghị quyết của Đại hội đồng cổ đông Ngân hàng,Điều chỉnh trích lập các quỹ DTBB và quỹ KTPL theo Nghị quyết của Đại hội đồng cổ đông Ngân hàng,-,-,-,(8),(15),-,(23),-,-,(360.322),-,(360.345),,,,-8.0,-15.0,,-23.0,,,-360322.0,,-360345.0
Điều chỉnh theo Nghị quyết của Công ty con,Điều chỉnh theo Nghị quyết của Công ty con,Điều chỉnh theo Nghị quyết của Công ty con,-,-,-,(68),4.070,-,4.002,-,-,(18.837),(591),(15.426),,,,-68.0,4070.0,,4002.0,,,-18837.0,-591.0,-15426.0
Chia cổ tức cho cổ đông năm 2019 (Thuyết minh 23),Chia cổ tức cho cổ đông năm 2019 (Thuyết minh 23),Chia cổ tức cho cổ đông năm 2019 (Thuyết minh 23),-,-,-,-,-,-,-,-,-,(2.967.102),-,(2.967.102),,,,,,,,,,-2967102.0,,-2967102.0
Trả cổ tức theo Nghị quyết của Công ty con,Trả cổ tức theo Nghị quyết của Công ty con,Trả cổ tức theo Nghị quyết của Công ty con,-,-,-,-,-,-,-,-,-,-,(19.013),(19.013),,,,,,,,,,,-19013.0,-19013.0
Sử dụng quỹ trong năm,Sử dụng quỹ trong năm,Sử dụng quỹ trong năm,-,-,-,-,(11.903),-,(11.903),-,-,-,-,(11.903),,,,,-11903.0,,-11903.0,,,,,-11903.0
Trích các quỹ của các công ty con,Trích các quỹ của các công ty con,Trích các quỹ của các công ty con,-,-,-,18.039,22.985,-,41.024,-,-,(53.326),-,(12.302),,,,18039.0,22985.0,,41024.0,,,-53326.0,,-12302.0
Chênh lệch tỷ giá,Chênh lệch tỷ giá,Chênh lệch tỷ giá,-,-,-,-,-,-,-,(11.258),-,-,(38),(11.296),,,,,,,,-11258.0,,,-38.0,-11296.0
Dánh giá lại tài sản,Dánh giá lại tài sản,Dánh giá lại tài sản,-,-,-,-,-,-,-,-,(113.011),-,-,(113.011),,,,,,,,,-113011.0,,,-113011.0
"Điều chỉnh công ty liên doanh, liên kết theo phương pháp vốn chủ sở hữu","Điều chỉnh công ty liên doanh, liên kết theo phương pháp vốn chủ sở hữu","Điều chỉnh công ty liên doanh, liên kết theo phương pháp vốn chủ sở hữu",-,-,-,-,-,-,-,-,-,2.361,-,2.361,,,,,,,,,,2361.0,,2361.0
Biến động khác,Biến động khác,Biến động khác,-,-,-,-,-,-,-,-,-,35.266,-,35.266,,,,,,,,,,35266.0,,35266.0
Số dư tại ngày 31/12/2020,Số dư tại ngày 31/12/2020,Số dư tại ngày 31/12/2020,37.088.774,4.995.389,344.658,4.961.163,9.893.979,70.661,14.925.803,5.103,-,36.650.228,85.024,94.094.979,37088774.0,4995389.0,344658.0,4961163.0,9893979.0,70661.0,14925803.0,5103.0,,36650228.0,85024.0,94094979.0
