row_label_raw,row_label_full,STT,Chi tiêu,Thuyết minh,2020Triệu VND,2019Triệu VND(trình bày lại),numeric__Chi tiêu,numeric__Thuyết minh,numeric__2020Triệu VND,numeric__2019Triệu VND(trình bày lại)
1,1,1,Thu nhập lãi và các khoản thu nhập tương tự,24,69.205.134,67.665.496,,24.0,69205134.0,67665496.0
2,2,2,Chi phí lãi và các chi phí tương tự,25,(32.919.659),(33.127.768),,25.0,-32919659.0,-33127768.0
I,I,I,Thu nhập lãi thuần,,36.285.475,34.537.728,,,36285475.0,34537728.0
3,3,3,Thu nhập từ hoạt động dịch vụ,26,10.588.163,9.005.109,,26.0,10588163.0,9005109.0
4,4,4,Chi phí hoạt động dịch vụ,26,(3.980.846),(4.695.663),,26.0,-3980846.0,-4695663.0
II,II,II,Lãi thuần từ hoạt động dịch vụ,26,6.607.317,4.309.446,,26.0,6607317.0,4309446.0
III,III,III,Lãi thuần từ hoạt động kinh doanh ngoại hối,27,3.906.399,3.378.274,,27.0,3906399.0,3378274.0
IV,IV,IV,Lãi thuần từ mua bán chứng khoán kinh doanh,28,1.810,145.982,,28.0,1810.0,145982.0
V,V,V,(Lỗ)/lãi thuần từ mua bán chứng khoán đầu tư,29,(98),7.040,,29.0,-98.0,7040.0
5,5,5,Thu nhập từ hoạt động khác,30,2.544.714,3.427.795,,30.0,2544714.0,3427795.0
6,6,6,Chi phí hoạt động khác,30,(744.461),(357.970),,30.0,-744461.0,-357970.0
VI,VI,VI,Lãi thuần từ hoạt động khác,30,1.800.253,3.069.825,,30.0,1800253.0,3069825.0
VII,VII,VII,"Thu nhập từ góp vốn, mua cổ phần",31,461.385,245.096,,31.0,461385.0,245096.0
VII,VII,VII,TỔNG THU NHẬP HOẠT ĐỘNG,,49.062.541,45.693.391,,,49062541.0,45693391.0
VIII,VIII,VIII,CHI PHÍ HOẠT ĐỘNG,32,(16.038.250),(15.874.542),,32.0,-16038250.0,-15874542.0
IX,IX,IX,Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng,,33.024.291,29.818.849,,,33024291.0,29818849.0
X,X,X,Chi phí dự phòng rủi ro tín dụng,33,(9.974.730),(6.607.278),,33.0,-9974730.0,-6607278.0
XI,XI,XI,TỔNG LỢI NHUẬN TRƯỚC THUẾ(MANG SANG TRANG SAU),,23.049.561,23.211.571,,,23049561.0,23211571.0
