row_label_raw,row_label_full,col_0,Chưa quá hạn và chưa bị giảm giá Triệu VND,Đã quá hạn nhưng chưa bị giảm giá Triệu VND,Đã bị giảm giá và trích lập dự phòng Triệu VND,Tổng cộng,numeric__Chưa quá hạn và chưa bị giảm giá Triệu VND,numeric__Đã quá hạn nhưng chưa bị giảm giá Triệu VND,numeric__Đã bị giảm giá và trích lập dự phòng Triệu VND,numeric__Tổng cộng
,,,Chưa quá hạn và chưa bị giảm giá Triệu VND,Đã quá hạn nhưng chưa bị giảm giá Triệu VND,Đã bị giảm giá và trích lập dự phòng Triệu VND,Triệu VND,,,,
Tiền gửi tại NHNN,Tiền gửi tại NHNN,Tiền gửi tại NHNN,33.139.373,-,-,33.139.373,33139373.0,,,33139373.0
Tiền gửi và cho vay các tổ chức tín dụng khác – gộp,Tiền gửi và cho vay các tổ chức tín dụng khác – gộp,Tiền gửi và cho vay các tổ chức tín dụng khác – gộp,267.969.645,-,1.000.000,268.969.645,267969645.0,,1000000.0,268969645.0
Tiền gửi tại các tổ chức tín dụng khác,Tiền gửi tại các tổ chức tín dụng khác,Tiền gửi tại các tổ chức tín dụng khác,204.713.783,-,-,204.713.783,204713783.0,,,204713783.0
Cho vay các tổ chức tín dụng khác,Cho vay các tổ chức tín dụng khác,Cho vay các tổ chức tín dụng khác,63.255.862,-,1.000.000,64.255.862,63255862.0,,1000000.0,64255862.0
Chứng khoán kinh doanh,Chứng khoán kinh doanh,Chứng khoán kinh doanh,1.665.791,-,-,1.665.791,1665791.0,,,1665791.0
Cho vay khách hàng – gộp,Cho vay khách hàng – gộp,Cho vay khách hàng – gộp,810.702.036,10.803.072,18.283.153,839.788.261,810702036.0,10803072.0,18283153.0,839788261.0
Chứng khoán đầu tư – gộp,Chứng khoán đầu tư – gộp,Chứng khoán đầu tư – gộp,157.523.185,-,-,157.523.185,157523185.0,,,157523185.0
Chứng khoán đầu tư sẵn sàng để bán,Chứng khoán đầu tư sẵn sàng để bán,Chứng khoán đầu tư sẵn sàng để bán,42.140.641,-,-,42.140.641,42140641.0,,,42140641.0
Chứng khoán đầu tư giữ đến ngày đáo hạn,Chứng khoán đầu tư giữ đến ngày đáo hạn,Chứng khoán đầu tư giữ đến ngày đáo hạn,115.382.544,-,-,115.382.544,115382544.0,,,115382544.0
Tài sản Có khác,Tài sản Có khác,Tài sản Có khác,13.897.605,-,3.934,13.901.539,13897605.0,,3934.0,13901539.0
,,,1.284.897.635,10.803.072,19.287.087,1.314.987.794,1284897635.0,10803072.0,19287087.0,1314987794.0
