row_label_raw,row_label_full,Năm kết thúc ngày 31 tháng 12 năm 2020:,Năm kết thúc ngày 31 tháng 12 năm 2020:_1,Miền Bắc (*) > Triệu VND,Miền Trung và Tây Nguyên > Triệu VND,Miền Nam > Triệu VND,Nước ngoài > Triệu VND,Loại trừ > Triệu VND,Tổng cộng > Triệu VND,numeric__Năm kết thúc ngày 31 tháng 12 năm 2020:_1,numeric__Miền Bắc (*) > Triệu VND,numeric__Miền Trung và Tây Nguyên > Triệu VND,numeric__Miền Nam > Triệu VND,numeric__Nước ngoài > Triệu VND,numeric__Loại trừ > Triệu VND,numeric__Tổng cộng > Triệu VND
1,1,1,Thu nhập lãi và các khoản thu nhập tương tự,93.561.834,16.509.703,47.598.660,76.861,(88.541.924),69.205.134,,93561834.0,16509703.0,47598660.0,76861.0,-88541924.0,69205134.0
2,2,2,Chi phí lãi và các chi phí tương tự,(78.134.685),(11.245.574),(32.081.595),(5.876),88.548.071,(32.919.659),,-78134685.0,-11245574.0,-32081595.0,-5876.0,88548071.0,-32919659.0
I,I,I,Thu nhập lãi thuần,15.427.149,5.264.129,15.517.065,70.985,6.147,36.285.475,,15427149.0,5264129.0,15517065.0,70985.0,6147.0,36285475.0
3,3,3,Thu nhập từ hoạt động dịch vụ,7.189.794,679.034,2.928.411,76.477,(285.553),10.588.163,,7189794.0,679034.0,2928411.0,76477.0,-285553.0,10588163.0
4,4,4,Chi phí hoạt động dịch vụ,(3.970.123),(33.886),(99.106),(23.190),145.459,(3.980.846),,-3970123.0,-33886.0,-99106.0,-23190.0,145459.0,-3980846.0
II,II,II,Lãi/(lỗ) thuần từ hoạt động dịch vụ,3.219.671,645.148,2.829.305,53.287,(140.094),6.607.317,,3219671.0,645148.0,2829305.0,53287.0,-140094.0,6607317.0
III,III,III,Lãi thuần từ hoạt động kinh doanh ngoại hồi,2.533.901,156.766,1.214.879,853,-,3.906.399,,2533901.0,156766.0,1214879.0,853.0,,3906399.0
IV,IV,IV,Lãi/(lỗ) thuần từ mua bán chứng khoán kinh doanh,7.941,-,-,-,(6.131),1.810,,7941.0,,,,-6131.0,1810.0
V,V,V,Lỗ thuần từ mua bán chứng khoán đầu tư,(98),-,-,-,-,(98),,-98.0,,,,,-98.0
5,5,5,Thu nhập từ hoạt động khác,1.159.082,500.291,884.050,1.291,-,2.544.714,,1159082.0,500291.0,884050.0,1291.0,,2544714.0
6,6,6,Chi phí hoạt động khác,(365.632),(127.133),(251.696),-,-,(744.461),,-365632.0,-127133.0,-251696.0,,,-744461.0
VI,VI,VI,Lãi thuần từ hoạt động khác,793.450,373.158,632.354,1.291,-,1.800.253,,793450.0,373158.0,632354.0,1291.0,,1800253.0
VII,VII,VII,"Thu nhập từ góp vốn, mua cố phần",461.385,-,-,-,-,461.385,,461385.0,,,,,461385.0
,,,Tổng thu nhập hoạt động,22.443.399,6.439.201,20.193.603,126.416,(140.078),49.062.541,,22443399.0,6439201.0,20193603.0,126416.0,-140078.0,49062541.0
VIII,VIII,VIII,Chi phí hoạt động,(10.949.821),(1.378.082),(3.775.168),(79.694),144.515,(16.038.250),,-10949821.0,-1378082.0,-3775168.0,-79694.0,144515.0,-16038250.0
IX,IX,IX,Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng,11.493.578,5.061.119,16.418.435,46.722,4.437,33.024.291,,11493578.0,5061119.0,16418435.0,46722.0,4437.0,33024291.0
X,X,X,Chi phí dự phòng rủi ro tín dụng,(7.697.793),(792.057),(1.482.438),(2.442),-,(9.974.730),,-7697793.0,-792057.0,-1482438.0,-2442.0,,-9974730.0
XI,XI,XI,Tổng lợi nhuận trước thuế,3.795.785,4.269.062,14.935.997,44.280,4.437,23.049.561,,3795785.0,4269062.0,14935997.0,44280.0,4437.0,23049561.0
7,7,7,Chi phí thuế TNDN hiện hành,(1.232.984),(853.812),(2.986.561),(7.711),-,(5.081.068),,-1232984.0,-853812.0,-2986561.0,-7711.0,,-5081068.0
8,8,8,Chi phí thuế TNDN hoãn lại,503.720,-,-,305,-,504.025,,503720.0,,,305.0,,504025.0
XII,XII,XII,Chi phí thuế TNDN,(729.264),(853.812),(2.986.561),(7.406),-,(4.577.043),,-729264.0,-853812.0,-2986561.0,-7406.0,,-4577043.0
XIII,XIII,XIII,Lợi nhuận sau thuế,3.066.521,3.415.250,11.949.436,36.874,4.437,18.472.518,,3066521.0,3415250.0,11949436.0,36874.0,4437.0,18472518.0
