row_label_raw,row_label_full,3.1. Tiền gửi tại các TCTD khác,31/12/2020,01/01/2020,numeric__31/12/2020,numeric__01/01/2020
Tiền gửi không kỳ hạn,Tiền gửi không kỳ hạn,Tiền gửi không kỳ hạn,1.714.569,6.259.489,1714569.0,6259489.0
Bằng VND,Bằng VND,Bằng VND,1.436.647,5.966.568,1436647.0,5966568.0
Bằng ngoại hồi,Bằng ngoại hồi,Bằng ngoại hồi,277.922,292.921,277922.0,292921.0
Tiền gửi có kỳ hạn,Tiền gửi có kỳ hạn,Tiền gửi có kỳ hạn,10.299.707,8.130.948,10299707.0,8130948.0
Bằng VND,Bằng VND,Bằng VND,6.304.272,6.115.158,6304272.0,6115158.0
Bằng ngoại hồi,Bằng ngoại hồi,Bằng ngoại hồi,3.995.435,2.015.790,3995435.0,2015790.0
Cộng,Cộng,Cộng,12.014.276,14.390.437,12014276.0,14390437.0
3.2. Cho vay các tổ chức tin dụng khác,3.2. Cho vay các tổ chức tin dụng khác,3.2. Cho vay các tổ chức tin dụng khác,31/12/2020,01/01/2020,,
Cho vay ngắn hạn (*),3.2. Cho vay các tổ chức tin dụng khác > Cho vay ngắn hạn (*),Cho vay ngắn hạn (*),100.000,884.208,100000.0,884208.0
Bằng VND,3.2. Cho vay các tổ chức tin dụng khác > Bằng VND,Bằng VND,100.000,640.923,100000.0,640923.0
Bằng ngoại hồi,3.2. Cho vay các tổ chức tin dụng khác > Bằng ngoại hồi,Bằng ngoại hồi,-,243.285,,243285.0
Dự phòng rủi ro cho vay các TCTD khác,Dự phòng rủi ro cho vay các TCTD khác,Dự phòng rủi ro cho vay các TCTD khác,-,-,,
Cộng,Dự phòng rủi ro cho vay các TCTD khác > Cộng,Cộng,100.000,884.208,100000.0,884208.0
Tổng tiền gửi và cho vay các TCTD khác,Dự phòng rủi ro cho vay các TCTD khác > Tổng tiền gửi và cho vay các TCTD khác,Tổng tiền gửi và cho vay các TCTD khác,12.114.276,15.274.645,12114276.0,15274645.0
