row_label_raw,row_label_full,Loại tài sản đảm bảo,Giá trị đến > 31/12/2020,Giá trị đến > 01/01/2020,numeric__Giá trị đến > 31/12/2020,numeric__Giá trị đến > 01/01/2020
Bất động sản,Bất động sản,Bất động sản,59.777.853,47.819.673,59777853.0,47819673.0
Bảo lãnh,Bảo lãnh,Bảo lãnh,11.000,11.000,11000.0,11000.0
Chứng khoán của doanh nghiệp,Chứng khoán của doanh nghiệp,Chứng khoán của doanh nghiệp,23.633.869,17.461.778,23633869.0,17461778.0
"Hàng hóa, nguyên liệu, nhiên liệu, vật liệu","Hàng hóa, nguyên liệu, nhiên liệu, vật liệu","Hàng hóa, nguyên liệu, nhiên liệu, vật liệu",5.587.437,5.506.025,5587437.0,5506025.0
Máy móc thiết bị chuyển dùng,Máy móc thiết bị chuyển dùng,Máy móc thiết bị chuyển dùng,1.841.255,1.786.526,1841255.0,1786526.0
Phương tiện vận tải,Phương tiện vận tải,Phương tiện vận tải,5.595.084,7.897.034,5595084.0,7897034.0
"Số dư tiền gửi, Số Tiết kiệm bằng VND tại TCTD","Số dư tiền gửi, Số Tiết kiệm bằng VND tại TCTD","Số dư tiền gửi, Số Tiết kiệm bằng VND tại TCTD",145.955,280.633,145955.0,280633.0
"Số dư tiền gửi, kỳ phiếu, chứng chỉ tiền gói bằng VND tại NCB","Số dư tiền gửi, kỳ phiếu, chứng chỉ tiền gói bằng VND tại NCB","Số dư tiền gửi, kỳ phiếu, chứng chỉ tiền gói bằng VND tại NCB",3.582.907,3.966.275,3582907.0,3966275.0
Số dư tiền gửi ngoại tệ tại NCB,Số dư tiền gửi ngoại tệ tại NCB,Số dư tiền gửi ngoại tệ tại NCB,2.239.424,2.131.134,2239424.0,2131134.0
Loại khác,Loại khác,Loại khác,111.185.187,55.051.941,111185187.0,55051941.0
Tổng,Tổng,Tổng,213.599.971,141.912.019,213599971.0,141912019.0
