row_label_raw,row_label_full,Khoản mục,Quyền sử dụng đấtcó thời hạn,Phần mềm máy vítính,TSCĐ vô hìnhkhác,Tổng cộng,numeric__Quyền sử dụng đấtcó thời hạn,numeric__Phần mềm máy vítính,numeric__TSCĐ vô hìnhkhác,numeric__Tổng cộng
Nguyên giá TSCĐ vô hình,Nguyên giá TSCĐ vô hình,Nguyên giá TSCĐ vô hình,,,,,,,,
Số dư đầu năm,Nguyên giá TSCĐ vô hình > Số dư đầu năm,Số dư đầu năm,381.138,59.304,54.682,495.124,381138.0,59304.0,54682.0,495124.0
- Mua trong năm,Nguyên giá TSCĐ vô hình > - Mua trong năm,- Mua trong năm,-,10.251,-,10.251,,10251.0,,10251.0
- Thanh lý nhượng bán,Nguyên giá TSCĐ vô hình > - Thanh lý nhượng bán,- Thanh lý nhượng bán,(1.220),(100),-,(1.320),-1220.0,-100.0,,-1320.0
Số dư cuối năm,Nguyên giá TSCĐ vô hình > Số dư cuối năm,Số dư cuối năm,379.918,69.455,54.682,504.055,379918.0,69455.0,54682.0,504055.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,231,33.011,23.893,57.135,231.0,33011.0,23893.0,57135.0
- Khấu hao trong năm,Giá trị hao mòn lũy kế > - Khấu hao trong năm,- Khấu hao trong năm,11,6.824,7.799,14.634,11.0,6824.0,7799.0,14634.0
- Thanh lý nhượng bán,Giá trị hao mòn lũy kế > - Thanh lý nhượng bán,- Thanh lý nhượng bán,(242),(80),-,(322),-242.0,-80.0,,-322.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,-,39.755,31.692,71.447,,39755.0,31692.0,71447.0
Giá trị còn lại của TSCĐ vô hình,Giá trị còn lại của TSCĐ vô hình,Giá trị còn lại của TSCĐ vô hình,,,,,,,,
Số dư đầu năm,Giá trị còn lại của TSCĐ vô hình > Số dư đầu năm,Số dư đầu năm,380.907,26.293,30.789,437.989,380907.0,26293.0,30789.0,437989.0
Số dư cuối năm,Giá trị còn lại của TSCĐ vô hình > Số dư cuối năm,Số dư cuối năm,379.918,29.700,22.990,432.608,379918.0,29700.0,22990.0,432608.0
