row_label_raw,row_label_full,Công ty phát hành > Cty TNHH 1 thành viên quản lý tài sản của các TCTD Việt Nam (VAMC),Ngày đáo hạn > Năm 2023 > Năm 2024 > Năm 2025 > Năm 2026 > Năm 2021 > Năm 2022 > Năm 2023 > Năm 2024 > Năm 2025,Lãi suất > 0%/năm,Số lượng trái phiếu > 18 mã > 10 mã > 111 mã > 29 mã > 8 mã > 9 mã > 23 mã > 8 mã > 33 mã,Giá trị đầu tư > 486.384 > 19.596 > 2.854.537 > 874.195 > 110.301 > 646.992 > 485.934 > 262.441 > 94.989,numeric__Ngày đáo hạn > Năm 2023 > Năm 2024 > Năm 2025 > Năm 2026 > Năm 2021 > Năm 2022 > Năm 2023 > Năm 2024 > Năm 2025,numeric__Lãi suất > 0%/năm,numeric__Số lượng trái phiếu > 18 mã > 10 mã > 111 mã > 29 mã > 8 mã > 9 mã > 23 mã > 8 mã > 33 mã,numeric__Giá trị đầu tư > 486.384 > 19.596 > 2.854.537 > 874.195 > 110.301 > 646.992 > 485.934 > 262.441 > 94.989
Tổng cộng,Tổng cộng,Tổng cộng,Tổng cộng,Tổng cộng,Tổng cộng,5.866.923,,,,5866923.0
"7. Góp vốn, đầu tư dài hạn","7. Góp vốn, đầu tư dài hạn","7. Góp vốn, đầu tư dài hạn","7. Góp vốn, đầu tư dài hạn","7. Góp vốn, đầu tư dài hạn","7. Góp vốn, đầu tư dài hạn","7. Góp vốn, đầu tư dài hạn",,,,
,,,,,31/12/2020,01/01/2020,,,,
- Phân tích giá trị đầu tư theo loại hình đầu tư,- Phân tích giá trị đầu tư theo loại hình đầu tư,- Phân tích giá trị đầu tư theo loại hình đầu tư,- Phân tích giá trị đầu tư theo loại hình đầu tư,- Phân tích giá trị đầu tư theo loại hình đầu tư,- Phân tích giá trị đầu tư theo loại hình đầu tư,- Phân tích giá trị đầu tư theo loại hình đầu tư,,,,
Đầu tư vào công ty con,- Phân tích giá trị đầu tư theo loại hình đầu tư > Đầu tư vào công ty con,Đầu tư vào công ty con,Đầu tư vào công ty con,Đầu tư vào công ty con,200.000,50.000,,,200000.0,50000.0
Các khoản đầu tư dài hạn khác,- Phân tích giá trị đầu tư theo loại hình đầu tư > Các khoản đầu tư dài hạn khác,Các khoản đầu tư dài hạn khác,Các khoản đầu tư dài hạn khác,Các khoản đầu tư dài hạn khác,719.600,719.600,,,719600.0,719600.0
Dự phòng giảm giá đầu tư dài hạn,- Phân tích giá trị đầu tư theo loại hình đầu tư > Dự phòng giảm giá đầu tư dài hạn,Dự phòng giảm giá đầu tư dài hạn,Dự phòng giảm giá đầu tư dài hạn,Dự phòng giảm giá đầu tư dài hạn,(64.918),(64.918),,,-64918.0,-64918.0
Tổng cộng,- Phân tích giá trị đầu tư theo loại hình đầu tư > Tổng cộng,Tổng cộng,Tổng cộng,Tổng cộng,854.682,704.682,,,854682.0,704682.0
