row_label_raw,row_label_full,Khoản mục,Quyền sử dụng đất có thời hạn,Phần mềm máy vi tính,TSCĐ vô hình khác,Tổng cộng,numeric__Quyền sử dụng đất có thời hạn,numeric__Phần mềm máy vi tính,numeric__TSCĐ vô hình khác,numeric__Tổng cộng
Nguyên giá TSCĐ vô hình,Nguyên giá TSCĐ vô hình,Nguyên giá TSCĐ vô hình,,,,,,,,
Số dư đầu năm,Nguyên giá TSCĐ vô hình > Số dư đầu năm,Số dư đầu năm,381.138,57.759,54.682,493.579,381138.0,57759.0,54682.0,493579.0
- Mua trong năm,Nguyên giá TSCĐ vô hình > - Mua trong năm,- Mua trong năm,-,1.545,-,1.545,,1545.0,,1545.0
Số dư cuối năm,Nguyên giá TSCĐ vô hình > Số dư cuối năm,Số dư cuối năm,381.138,59.304,54.682,495.124,381138.0,59304.0,54682.0,495124.0
Giá trị hao món lũy kế,Giá trị hao món lũy kế,Giá trị hao món lũy kế,,,,,,,,
Số dư đầu năm,Giá trị hao món lũy kế > Số dư đầu năm,Số dư đầu năm,207,26.308,16.033,42.548,207.0,26308.0,16033.0,42548.0
- Khấu hao trong năm,Giá trị hao món lũy kế > - Khấu hao trong năm,- Khấu hao trong năm,24,6.703,7.860,14.587,24.0,6703.0,7860.0,14587.0
Số dư cuối năm,Giá trị hao món lũy kế > Số dư cuối năm,Số dư cuối năm,231,33.011,23.893,57.135,231.0,33011.0,23893.0,57135.0
Giá trị còn lại của TSCĐ vô hình,Giá trị còn lại của TSCĐ vô hình,Giá trị còn lại của TSCĐ vô hình,,,,,,,,
Số dư đầu năm,Giá trị còn lại của TSCĐ vô hình > Số dư đầu năm,Số dư đầu năm,380.931,31.451,38.649,451.031,380931.0,31451.0,38649.0,451031.0
Số dư cuối năm,Giá trị còn lại của TSCĐ vô hình > Số dư cuối năm,Số dư cuối năm,380.907,26.293,30.789,437.989,380907.0,26293.0,30789.0,437989.0
