row_label_raw,row_label_full,10. Tài sản có khác,10. Tài sản có khác_1,10. Tài sản có khác_2,numeric__10. Tài sản có khác_1,numeric__10. Tài sản có khác_2
,,,31/12/2020,01/01/2020,,
1. Chi phí xây dựng cơ bản dở dang,1. Chi phí xây dựng cơ bản dở dang,1. Chi phí xây dựng cơ bản dở dang,12.168,5.785,12168.0,5785.0
2. Các khoản phải thu,2. Các khoản phải thu,2. Các khoản phải thu,18.635.253,5.648.883,18635253.0,5648883.0
"3. Các khoản lãi, phí phải thu","3. Các khoản lãi, phí phải thu","3. Các khoản lãi, phí phải thu",1.806.302,3.151.544,1806302.0,3151544.0
4. Tài sản có khác,4. Tài sản có khác,4. Tài sản có khác,888.765,3.781.996,888765.0,3781996.0
5. Các khoản dự phòng rủi ro cho các tài sản có nội bảng khác,5. Các khoản dự phòng rủi ro cho các tài sản có nội bảng khác,5. Các khoản dự phòng rủi ro cho các tài sản có nội bảng khác,(200.000),(200.000),-200000.0,-200000.0
Tổng cộng,Tổng cộng,Tổng cộng,21.142.488,12.388.208,21142488.0,12388208.0
10.1 Chi phí xây dựng cơ bản dở dang,10.1 Chi phí xây dựng cơ bản dở dang,10.1 Chi phí xây dựng cơ bản dở dang,31/12/2020,01/01/2020,,
- Tòa nhà NCB Kiên Giang,10.1 Chi phí xây dựng cơ bản dở dang > - Tòa nhà NCB Kiên Giang,- Tòa nhà NCB Kiên Giang,1.919,1.919,1919.0,1919.0
- Mua sầm TSCĐ khác,10.1 Chi phí xây dựng cơ bản dở dang > - Mua sầm TSCĐ khác,- Mua sầm TSCĐ khác,10.249,3.866,10249.0,3866.0
Cộng,10.1 Chi phí xây dựng cơ bản dở dang > Cộng,Cộng,12.168,5.785,12168.0,5785.0
10.2 Các khoản phải thu,10.2 Các khoản phải thu,10.2 Các khoản phải thu,31/12/2020,01/01/2020,,
- Các khoản phải thu nội bộ,10.2 Các khoản phải thu > - Các khoản phải thu nội bộ,- Các khoản phải thu nội bộ,3.494.064,30.876,3494064.0,30876.0
- Các khoản phải thu bên ngoài,10.2 Các khoản phải thu > - Các khoản phải thu bên ngoài,- Các khoản phải thu bên ngoài,15.141.189,5.618.007,15141189.0,5618007.0
Phải thu từ hoạt động bán nợ,10.2 Các khoản phải thu > Phải thu từ hoạt động bán nợ,Phải thu từ hoạt động bán nợ,13.628.707,4.212.385,13628707.0,4212385.0
Phải thu các cả nhân,10.2 Các khoản phải thu > Phải thu các cả nhân,Phải thu các cả nhân,569.805,754.625,569805.0,754625.0
Phải thu các khoản ký quỹ,10.2 Các khoản phải thu > Phải thu các khoản ký quỹ,Phải thu các khoản ký quỹ,150.333,2.282,150333.0,2282.0
Các khoản phải thu bên ngoài khác,10.2 Các khoản phải thu > Các khoản phải thu bên ngoài khác,Các khoản phải thu bên ngoài khác,792.344,648.715,792344.0,648715.0
Cộng,10.2 Các khoản phải thu > Cộng,Cộng,18.635.253,5.648.883,18635253.0,5648883.0
11.3 Dự phòng rủi ro cho các tài sản có khác,11.3 Dự phòng rủi ro cho các tài sản có khác,11.3 Dự phòng rủi ro cho các tài sản có khác,31/12/2020,01/01/2020,,
- Dự phòng giảm giá hàng tồn kho,- Dự phòng giảm giá hàng tồn kho,- Dự phòng giảm giá hàng tồn kho,-,-,,
- Dự phòng rủi ro khác (nếu nội dung kinh tế phù hợp),- Dự phòng rủi ro khác (nếu nội dung kinh tế phù hợp),- Dự phòng rủi ro khác (nếu nội dung kinh tế phù hợp),-,-,,
(Chi tiết theo tính trọng yếu từng loại dự phòng rủi ro),(Chi tiết theo tính trọng yếu từng loại dự phòng rủi ro),(Chi tiết theo tính trọng yếu từng loại dự phòng rủi ro),-,-,,
Cộng,Cộng,Cộng,-,-,,
10.3 Tài sản có khác,10.3 Tài sản có khác,10.3 Tài sản có khác,31/12/2020,01/01/2020,,
- Tài sản khác,10.3 Tài sản có khác > - Tài sản khác,- Tài sản khác,5.177,9.398,5177.0,9398.0
- Chi phí chờ phân bổ,10.3 Tài sản có khác > - Chi phí chờ phân bổ,- Chi phí chờ phân bổ,311.492,3.729.509,311492.0,3729509.0
- Tài sản gân nợ chờ xử lý,10.3 Tài sản có khác > - Tài sản gân nợ chờ xử lý,- Tài sản gân nợ chờ xử lý,572.096,43.089,572096.0,43089.0
Cộng,10.3 Tài sản có khác > Cộng,Cộng,888.765,3.781.996,888765.0,3781996.0
10.4 Dự phòng rủi ro cho các tài sản Có nội bảng khác,10.4 Dự phòng rủi ro cho các tài sản Có nội bảng khác,10.4 Dự phòng rủi ro cho các tài sản Có nội bảng khác,31/12/2020,01/01/2020,,
- Dự phòng rủi ro các khoản nợ phải thu khó đòi,10.4 Dự phòng rủi ro cho các tài sản Có nội bảng khác > - Dự phòng rủi ro các khoản nợ phải thu khó đòi,- Dự phòng rủi ro các khoản nợ phải thu khó đòi,(200.000),(200.000),-200000.0,-200000.0
Cộng,10.4 Dự phòng rủi ro cho các tài sản Có nội bảng khác > Cộng,Cộng,(200.000),(200.000),-200000.0,-200000.0
