row_label_raw,row_label_full,Chỉ tiêu,31/12/2020,01/01/2020,numeric__31/12/2020,numeric__01/01/2020
Bảo lãnh vay vốn,Bảo lãnh vay vốn,Bảo lãnh vay vốn,,,,
Cam kết giao dịch ngoại hồi,Bảo lãnh vay vốn > Cam kết giao dịch ngoại hồi,Cam kết giao dịch ngoại hồi,6.628.265,9.291.170,6628265.0,9291170.0
Cam kết mua ngoại tệ,Bảo lãnh vay vốn > Cam kết mua ngoại tệ,Cam kết mua ngoại tệ,115.475,,115475.0,
Cam kết bán ngoại tệ,Bảo lãnh vay vốn > Cam kết bán ngoại tệ,Cam kết bán ngoại tệ,854.515,115.850,854515.0,115850.0
Cam kết giao dịch hoàn đối,Bảo lãnh vay vốn > Cam kết giao dịch hoàn đối,Cam kết giao dịch hoàn đối,5.658.275,9.175.320,5658275.0,9175320.0
Cam kết trong nghiệp vụ L/C,Bảo lãnh vay vốn > Cam kết trong nghiệp vụ L/C,Cam kết trong nghiệp vụ L/C,158.347,145.719,158347.0,145719.0
Cam kết thanh toán trong nghiệp vụ L/C,Bảo lãnh vay vốn > Cam kết thanh toán trong nghiệp vụ L/C,Cam kết thanh toán trong nghiệp vụ L/C,158.347,145.719,158347.0,145719.0
Các bảo lãnh khác,Bảo lãnh vay vốn > Các bảo lãnh khác,Các bảo lãnh khác,1.976.388,2.411.802,1976388.0,2411802.0
Bảo lãnh thanh toán,Bảo lãnh vay vốn > Bảo lãnh thanh toán,Bảo lãnh thanh toán,79.097,469.787,79097.0,469787.0
Bảo lãnh thực hiện hợp đồng,Bảo lãnh vay vốn > Bảo lãnh thực hiện hợp đồng,Bảo lãnh thực hiện hợp đồng,525.356,555.643,525356.0,555643.0
Bảo lãnh dự thầu,Bảo lãnh vay vốn > Bảo lãnh dự thầu,Bảo lãnh dự thầu,93.201,96.389,93201.0,96389.0
Cam kết bảo lãnh khác,Bảo lãnh vay vốn > Cam kết bảo lãnh khác,Cam kết bảo lãnh khác,1.278.734,1.289.983,1278734.0,1289983.0
Các cam kết khác,Bảo lãnh vay vốn > Các cam kết khác,Các cam kết khác,112.898,205.000,112898.0,205000.0
Tổng cộng,Bảo lãnh vay vốn > Tổng cộng,Tổng cộng,8.875.898,12.053.691,8875898.0,12053691.0
