row_label_raw,row_label_full,Năm tài chính kết thúc ngày 31 tháng 12 năm 2020,Năm tài chính kết thúc ngày 31 tháng 12 năm 2020_1,Năm tài chính kết thúc ngày 31 tháng 12 năm 2020_2,Đơn vị tính: Triệu đồng Việt Nam,Đơn vị tính: Triệu đồng Việt Nam_1,numeric__Năm tài chính kết thúc ngày 31 tháng 12 năm 2020_1,numeric__Năm tài chính kết thúc ngày 31 tháng 12 năm 2020_2,numeric__Đơn vị tính: Triệu đồng Việt Nam,numeric__Đơn vị tính: Triệu đồng Việt Nam_1
Giáo dục và đào tạo,Giáo dục và đào tạo,Giáo dục và đào tạo,Giáo dục và đào tạo,Giáo dục và đào tạo,65,137,,,65.0,137.0
Y tế và hoạt động trợ giúp xã hội,Y tế và hoạt động trợ giúp xã hội,Y tế và hoạt động trợ giúp xã hội,Y tế và hoạt động trợ giúp xã hội,Y tế và hoạt động trợ giúp xã hội,35.107,42.249,,,35107.0,42249.0
Hoạt động dịch vụ khác,Hoạt động dịch vụ khác,Hoạt động dịch vụ khác,Hoạt động dịch vụ khác,Hoạt động dịch vụ khác,7.362.168,3.245.550,,,7362168.0,3245550.0
Sản xuất sản phẩm vất chất và dịch vụ tiêu dùng của hồ gia đình,Sản xuất sản phẩm vất chất và dịch vụ tiêu dùng của hồ gia đình,Sản xuất sản phẩm vất chất và dịch vụ tiêu dùng của hồ gia đình,Sản xuất sản phẩm vất chất và dịch vụ tiêu dùng của hồ gia đình,Sản xuất sản phẩm vất chất và dịch vụ tiêu dùng của hồ gia đình,9.244.302,10.341.212,,,9244302.0,10341212.0
Tổng cộng,Tổng cộng,Tổng cộng,Tổng cộng,Tổng cộng,40.313.272,37.910.603,,,40313272.0,37910603.0
5. Đối với sự thay đổi (tăng/giảm) của Dự phòng rủi ro tín dụng,5. Đối với sự thay đổi (tăng/giảm) của Dự phòng rủi ro tín dụng,5. Đối với sự thay đổi (tăng/giảm) của Dự phòng rủi ro tín dụng,5. Đối với sự thay đổi (tăng/giảm) của Dự phòng rủi ro tín dụng,5. Đối với sự thay đổi (tăng/giảm) của Dự phòng rủi ro tín dụng,5. Đối với sự thay đổi (tăng/giảm) của Dự phòng rủi ro tín dụng,5. Đối với sự thay đổi (tăng/giảm) của Dự phòng rủi ro tín dụng,,,,
Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Dự phòng chung,Dự phòng cụ thể,,,,
Số dư đầu năm,Năm nay > Số dư đầu năm,Số dư đầu năm,Số dư đầu năm,Số dư đầu năm,278.910,148.266,,,278910.0,148266.0
Dự phòng rủi ro trích lập / (hoàn nhập) trong năm,Năm nay > Dự phòng rủi ro trích lập / (hoàn nhập) trong năm,Dự phòng rủi ro trích lập / (hoàn nhập) trong năm,Dự phòng rủi ro trích lập / (hoàn nhập) trong năm,Dự phòng rủi ro trích lập / (hoàn nhập) trong năm,16.705,33.805,,,16705.0,33805.0
Sử dụng dự phòng rủi ro tín dụng trong năm,Năm nay > Sử dụng dự phòng rủi ro tín dụng trong năm,Sử dụng dự phòng rủi ro tín dụng trong năm,Sử dụng dự phòng rủi ro tín dụng trong năm,Sử dụng dự phòng rủi ro tín dụng trong năm,-,(19.381),,,,-19381.0
Số dư cuối năm,Năm nay > Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,295.615,162.690,,,295615.0,162690.0
Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Dự phòng chung,Dự phòng cụ thể,,,,
Số dư đầu năm,Năm trước > Số dư đầu năm,Số dư đầu năm,Số dư đầu năm,Số dư đầu năm,267.297,125.285,,,267297.0,125285.0
Dự phòng rủi ro trích lập / (hoàn nhập) trong năm,Năm trước > Dự phòng rủi ro trích lập / (hoàn nhập) trong năm,Dự phòng rủi ro trích lập / (hoàn nhập) trong năm,Dự phòng rủi ro trích lập / (hoàn nhập) trong năm,Dự phòng rủi ro trích lập / (hoàn nhập) trong năm,11.613,61.185,,,11613.0,61185.0
Sử dụng dự phòng rủi ro tín dụng trong năm,Năm trước > Sử dụng dự phòng rủi ro tín dụng trong năm,Sử dụng dự phòng rủi ro tín dụng trong năm,Sử dụng dự phòng rủi ro tín dụng trong năm,Sử dụng dự phòng rủi ro tín dụng trong năm,-,(38.204),,,,-38204.0
Số dư cuối năm,Năm trước > Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,278.910,148.266,,,278910.0,148266.0
Chi tiết số dư dự phòng cuối năm,Chi tiết số dư dự phòng cuối năm,Chi tiết số dư dự phòng cuối năm,Chi tiết số dư dự phòng cuối năm,Chi tiết số dư dự phòng cuối năm,31/12/2020,01/01/2020,,,,
Dự phòng chung tín dụng khác đối với các TCTD trong nước,Dự phòng chung tín dụng khác đối với các TCTD trong nước,Dự phòng chung tín dụng khác đối với các TCTD trong nước,Dự phòng chung tín dụng khác đối với các TCTD trong nước,Dự phòng chung tín dụng khác đối với các TCTD trong nước,-,-,,,,
Dự phòng rủi ro cho vay khách hàng,Dự phòng chung tín dụng khác đối với các TCTD trong nước > Dự phòng rủi ro cho vay khách hàng,Dự phòng rủi ro cho vay khách hàng,Dự phòng rủi ro cho vay khách hàng,Dự phòng rủi ro cho vay khách hàng,458.305,427.176,,,458305.0,427176.0
+ Dự phòng chung,Dự phòng chung tín dụng khác đối với các TCTD trong nước > + Dự phòng chung,+ Dự phòng chung,+ Dự phòng chung,+ Dự phòng chung,295.615,278.910,,,295615.0,278910.0
+ Dự phòng cụ thể,Dự phòng chung tín dụng khác đối với các TCTD trong nước > + Dự phòng cụ thể,+ Dự phòng cụ thể,+ Dự phòng cụ thể,+ Dự phòng cụ thể,162.690,148.266,,,162690.0,148266.0
Cộng,Dự phòng chung tín dụng khác đối với các TCTD trong nước > Cộng,Cộng,Cộng,Cộng,458.305,427.176,,,458305.0,427176.0
6. Chứng khoán đầu tư,6. Chứng khoán đầu tư,6. Chứng khoán đầu tư,6. Chứng khoán đầu tư,6. Chứng khoán đầu tư,31/12/2020,01/01/2020,,,,
6.1. Chứng khoán đầu tư sẵn sàng để bán,6.1. Chứng khoán đầu tư sẵn sàng để bán,6.1. Chứng khoán đầu tư sẵn sàng để bán,6.1. Chứng khoán đầu tư sẵn sàng để bán,6.1. Chứng khoán đầu tư sẵn sàng để bán,6.1. Chứng khoán đầu tư sẵn sàng để bán,6.1. Chứng khoán đầu tư sẵn sàng để bán,,,,
a. Chứng khoán Nợ,6.1. Chứng khoán đầu tư sẵn sàng để bán > a. Chứng khoán Nợ,a. Chứng khoán Nợ,a. Chứng khoán Nợ,a. Chứng khoán Nợ,7.656.115,6.913.703,,,7656115.0,6913703.0
- Trải phiếu Chính phủ,6.1. Chứng khoán đầu tư sẵn sàng để bán > - Trải phiếu Chính phủ,- Trải phiếu Chính phủ,- Trải phiếu Chính phủ,- Trải phiếu Chính phủ,7.028.515,5.697.451,,,7028515.0,5697451.0
- Chứng khoán do các TCTD khác trong nước phát hành,6.1. Chứng khoán đầu tư sẵn sàng để bán > - Chứng khoán do các TCTD khác trong nước phát hành,- Chứng khoán do các TCTD khác trong nước phát hành,- Chứng khoán do các TCTD khác trong nước phát hành,- Chứng khoán do các TCTD khác trong nước phát hành,627.600,1.216.252,,,627600.0,1216252.0
Cộng,6.1. Chứng khoán đầu tư sẵn sàng để bán > Cộng,Cộng,Cộng,Cộng,7.656.115,6.913.703,,,7656115.0,6913703.0
6.2. Chứng khoán đầu tư giữ đến ngày đáo hạn,6.2. Chứng khoán đầu tư giữ đến ngày đáo hạn,6.2. Chứng khoán đầu tư giữ đến ngày đáo hạn,6.2. Chứng khoán đầu tư giữ đến ngày đáo hạn,6.2. Chứng khoán đầu tư giữ đến ngày đáo hạn,6.2. Chứng khoán đầu tư giữ đến ngày đáo hạn,6.2. Chứng khoán đầu tư giữ đến ngày đáo hạn,,,,
- Chứng khoán Nợ do các TCKT trong nước phát hành (*),6.2. Chứng khoán đầu tư giữ đến ngày đáo hạn > - Chứng khoán Nợ do các TCKT trong nước phát hành (*),- Chứng khoán Nợ do các TCKT trong nước phát hành (*),- Chứng khoán Nợ do các TCKT trong nước phát hành (*),- Chứng khoán Nợ do các TCKT trong nước phát hành (*),5.866.923,6.366.102,,,5866923.0,6366102.0
6.3. Dự phòng rủi ro chứng khoán đầu tư giữ đến ngày đáo hạn,6.2. Chứng khoán đầu tư giữ đến ngày đáo hạn > 6.3. Dự phòng rủi ro chứng khoán đầu tư giữ đến ngày đáo hạn,6.3. Dự phòng rủi ro chứng khoán đầu tư giữ đến ngày đáo hạn,6.3. Dự phòng rủi ro chứng khoán đầu tư giữ đến ngày đáo hạn,6.3. Dự phòng rủi ro chứng khoán đầu tư giữ đến ngày đáo hạn,(227.518),(84.287),,,-227518.0,-84287.0
Cộng,6.2. Chứng khoán đầu tư giữ đến ngày đáo hạn > Cộng,Cộng,Cộng,Cộng,5.639.405,6.281.815,,,5639405.0,6281815.0
Tổng cộng,6.2. Chứng khoán đầu tư giữ đến ngày đáo hạn > Tổng cộng,Tổng cộng,Tổng cộng,Tổng cộng,13.295.520,13.195.518,,,13295520.0,13195518.0
(*) Khoản đầu tư vào trải phiếu của các công ty sau:,(*) Khoản đầu tư vào trải phiếu của các công ty sau:,(*) Khoản đầu tư vào trải phiếu của các công ty sau:,(*) Khoản đầu tư vào trải phiếu của các công ty sau:,(*) Khoản đầu tư vào trải phiếu của các công ty sau:,(*) Khoản đầu tư vào trải phiếu của các công ty sau:,(*) Khoản đầu tư vào trải phiếu của các công ty sau:,,,,
Cộng ty phát hành,Cộng ty phát hành,Cộng ty phát hành,Ngày đáo hạn,Lãi suất,Số lượng trái phiếu,Giá trị đầu tư,,,,
Cộng ty TNHH MTV Mua bán nợ Việt Nam ( tên cũ Công ty Mua bán nợ và tài sản tồn động của doanh nghiệp) - DATC,Cộng ty phát hành > Cộng ty TNHH MTV Mua bán nợ Việt Nam ( tên cũ Công ty Mua bán nợ và tài sản tồn động của doanh nghiệp) - DATC,Cộng ty TNHH MTV Mua bán nợ Việt Nam ( tên cũ Công ty Mua bán nợ và tài sản tồn động của doanh nghiệp) - DATC,Năm 2023,8.9%/năm,31.554,31.554,,,31554.0,31554.0
