row_label_raw,row_label_full,col_0,Hoạt động huy động và tin dụng,Hoạt động kinh doanh tiền tệ và đầu tư chứng khoán,Hoạt động khác,Tổng cộng toàn ngân hàng,numeric__Hoạt động huy động và tin dụng,numeric__Hoạt động kinh doanh tiền tệ và đầu tư chứng khoán,numeric__Hoạt động khác,numeric__Tổng cộng toàn ngân hàng
Thu nhập,Thu nhập,Thu nhập,5.432.126,1.359.832,170.799,6.962.757,5432126.0,1359832.0,170799.0,6962757.0
Chi phí,Chi phí,Chi phí,4.574.247,657.109,106.293,5.337.649,4574247.0,657109.0,106293.0,5337649.0
Thu nhập thuần,Thu nhập thuần,Thu nhập thuần,857.879,702.723,64.506,1.625.108,857879.0,702723.0,64506.0,1625108.0
Tải sản bộ phận,Tải sản bộ phận,Tải sản bộ phận,51.969.243,14.150.202,-,66.119.445,51969243.0,14150202.0,,66119445.0
Tải sản không phân bổ,Tải sản không phân bổ,Tải sản không phân bổ,,,,23.592.515,,,,23592515.0
Tổng tài sản,Tổng tài sản,Tổng tài sản,,,,89.711.960,,,,89711960.0
Nợ phải trả bộ phận,Nợ phải trả bộ phận,Nợ phải trả bộ phận,83.419.419,-,-,83.419.419,83419419.0,,,83419419.0
Nợ phải trả không phân bổ,Nợ phải trả không phân bổ,Nợ phải trả không phân bổ,,,,2.031.107,,,,2031107.0
Tổng nợ phải trả,Tổng nợ phải trả,Tổng nợ phải trả,,,,85.450.526,,,,85450526.0
