row_label_raw,row_label_full,Cell line,Qut han,Khanq chiu lat,Dcn 1 that,T4 01 ddn 03 thang,T4 03 ddn 06 thang,T4 06 ddn 12 thang,T4 1 dcn 5 aam,Trea 5 aam,Tong,numeric__Qut han,numeric__Khanq chiu lat,numeric__Dcn 1 that,numeric__T4 01 ddn 03 thang,numeric__T4 03 ddn 06 thang,numeric__T4 06 ddn 12 thang,numeric__T4 1 dcn 5 aam,numeric__Trea 5 aam,numeric__Tong
Tcn msl. vinge bac. da guy,Tcn msl. vinge bac. da guy,Tcn msl. vinge bac. da guy,-,231.724,-,-,-,-,-,-,231.724,,231724.0,,,,,,,231724.0
Tcn gxt for rgaan hingh Nha nucic,Tcn gxt for rgaan hingh Nha nucic,Tcn gxt for rgaan hingh Nha nucic,-,-,494.362,-,-,-,-,-,494.362,,,494362.0,,,,,,494362.0
Tcn. vinge gxt lat etho vay cie TCCTI khatc (*),Tcn. vinge gxt lat etho vay cie TCCTI khatc (*),Tcn. vinge gxt lat etho vay cie TCCTI khatc (*),-,-,14.876.695,397.950,-,-,-,-,15.274.645,,,14876695.0,397950.0,,,,,15274645.0
Cic cing cu tai etihh pblui sain va cee tei sian tai etihh khic (*),Cic cing cu tai etihh pblui sain va cee tei sian tai etihh khic (*),Cic cing cu tai etihh pblui sain va cee tei sian tai etihh khic (*),-,-,26.786,2.322,9.223,5.594,-,-,43.925,,,26786.0,2322.0,9223.0,5594.0,,,43925.0
Cho vay khach hing (*),Cho vay khach hing (*),Cho vay khach hing (*),3.067.535,-,8.370.567,22.620.190,2.020.508,1.200.101,495.974,135.728,37.910.603,3067535.0,,8370567.0,22620190.0,2020508.0,1200101.0,495974.0,135728.0,37910603.0
Hoea dunge manu no,Hoea dunge manu no,Hoea dunge manu no,-,-,-,-,-,-,-,-,-,,,,,,,,,
Chiang khouan dau lu (*),Hoea dunge manu no > Chiang khouan dau lu (*),Chiang khouan dau lu (*),-,105.703,778.870,200.000,1.067.021,1.273.290,6.194.736,3.660.185,13.279.805,,105703.0,778870.0,200000.0,1067021.0,1273290.0,6194736.0,3660185.0,13279805.0
"Gop yon, dau lu dat han (*)","Hoea dunge manu no > Gop yon, dau lu dat han (*)","Gop yon, dau lu dat han (*)",-,-,-,-,-,-,-,588.620,588.620,,,,,,,,588620.0,588620.0
Tal san co dinh va Bih dong san dau lu,Hoea dunge manu no > Tal san co dinh va Bih dong san dau lu,Tal san co dinh va Bih dong san dau lu,-,-,-,-,-,-,-,588.620,588.620,,,,,,,,588620.0,588620.0
Tal san co dinh va Bih dong san dau lu,Hoea dunge manu no > Tal san co dinh va Bih dong san dau lu,Tal san co dinh va Bih dong san dau lu,-,-,-,-,-,-,-,116.477,116.477,,,,,,,,116477.0,116477.0
Ny pahl taa,Hoea dunge manu no > Ny pahl taa,Ny pahl taa,-,-,11.341.679,1.072.418,-,-,-,-,12.414.097,,,11341679.0,1072418.0,,,,,12414097.0
Tien gxt cua va vay tn NHNN va case TCCTI khatc,Hoea dunge manu no > Tien gxt cua va vay tn NHNN va case TCCTI khatc,Tien gxt cua va vay tn NHNN va case TCCTI khatc,-,-,12.228.362,11.277.186,18.549.716,11.773.115,5.284.953,-,59.113.332,,,12228362.0,11277186.0,18549716.0,11773115.0,5284953.0,,59113332.0
Tcn gwt cua khach bhang,Hoea dunge manu no > Tcn gwt cua khach bhang,Tcn gwt cua khach bhang,-,-,-,-,-,-,-,116.477,116.477,,,,,,,,116477.0,116477.0
Tien gwt cua khach bhang,Hoea dunge manu no > Tien gwt cua khach bhang,Tien gwt cua khach bhang,-,-,12.228.362,11.277.186,18.549.716,11.773.115,5.284.953,-,59.113.332,,,12228362.0,11277186.0,18549716.0,11773115.0,5284953.0,,59113332.0
Pital lahn grid lo to cita,Hoea dunge manu no > Pital lahn grid lo to cita,Pital lahn grid lo to cita,-,-,145.653,150.189,303.411,237.281,858.126,1.009.530,2.704.190,,,145653.0,150189.0,303411.0,237281.0,858126.0,1009530.0,2704190.0
Cic khouan no khac,Hoea dunge manu no > Cic khouan no khac,Cic khouan no khac,-,-,274.557,390.267,513.403,233.851,201.288,-,1.750.517,,,274557.0,390267.0,513403.0,233851.0,201288.0,,1750517.0
Tong Ny pahl ta,Hoea dunge manu no > Tong Ny pahl ta,Tong Ny pahl ta,-,137.151,23.990.251,12.890.060,19.366.530,12.244.247,6.344.367,1.126.007,76.098.613,,137151.0,23990251.0,12890060.0,19366530.0,12244247.0,6344367.0,1126007.0,76098613.0
"Mice chenk ltech nhay cim vot lat saat nhi, mgogl bhang","Hoea dunge manu no > Mice chenk ltech nhay cim vot lat saat nhi, mgogl bhang","Mice chenk ltech nhay cim vot lat saat nhi, mgogl bhang",3.067.535,12.158.829,713.841,10.540.212,(16.069.401),(9.718.990),349.002,4.041.851,7.845.415,3067535.0,12158829.0,713841.0,10540212.0,-16069401.0,-9718990.0,349002.0,4041851.0,7845415.0
"Mice chenkh ltech nhay cim vot lat saat nhi, mgogl bhang","Hoea dunge manu no > Mice chenkh ltech nhay cim vot lat saat nhi, mgogl bhang","Mice chenkh ltech nhay cim vot lat saat nhi, mgogl bhang",3.067.535,14.921.350,713.856,10.540.212,(16.069.401),(9.718.990),349.002,4.041.851,7.845.415,3067535.0,14921350.0,713856.0,10540212.0,-16069401.0,-9718990.0,349002.0,4041851.0,7845415.0
