row_label_raw,row_label_full,Chỉ tiêu,Số dư đầu kỳ,Phát sinh trong kỳ > Số phải nộp,Phát sinh trong kỳ > Số đã nộp,Số dư cuối kỳ,numeric__Số dư đầu kỳ,numeric__Phát sinh trong kỳ > Số phải nộp,numeric__Phát sinh trong kỳ > Số đã nộp,numeric__Số dư cuối kỳ
1. Thuế GTGT,1. Thuế GTGT,1. Thuế GTGT,(713),37.207,35.044,1.450,-713.0,37207.0,35044.0,1450.0
2. Thuế TNDN,2. Thuế TNDN,2. Thuế TNDN,1.005,2.224,1.944,1.285,1005.0,2224.0,1944.0,1285.0
3. Các loại thuê khác,3. Các loại thuê khác,3. Các loại thuê khác,1.783,23.129,22.428,2.484,1783.0,23129.0,22428.0,2484.0
Tổng cộng,Tổng cộng,Tổng cộng,2.075,62.560,59.416,5.219,2075.0,62560.0,59416.0,5219.0
