row_label_raw,row_label_full,"1. Tiền mặt, vàng bạc, đá quý","1. Tiền mặt, vàng bạc, đá quý_1","1. Tiền mặt, vàng bạc, đá quý_2","numeric__1. Tiền mặt, vàng bạc, đá quý_1","numeric__1. Tiền mặt, vàng bạc, đá quý_2"
,,,31/12/2020,01/01/2020,,
Tiền mặt bằng VND,Tiền mặt bằng VND,Tiền mặt bằng VND,257.225,193.314,257225.0,193314.0
Tiền mặt bằng ngoại tệ,Tiền mặt bằng ngoại tệ,Tiền mặt bằng ngoại tệ,40.336,38.410,40336.0,38410.0
"Kim loại quý, đá quý khác","Kim loại quý, đá quý khác","Kim loại quý, đá quý khác",,,,
Tổng cộng,"Kim loại quý, đá quý khác > Tổng cộng",Tổng cộng,297.561,231.724,297561.0,231724.0
2. Tiền gửi tại Ngân hàng Nhà nước,2. Tiền gửi tại Ngân hàng Nhà nước,2. Tiền gửi tại Ngân hàng Nhà nước,2. Tiền gửi tại Ngân hàng Nhà nước,2. Tiền gửi tại Ngân hàng Nhà nước,,
,,,31/12/2020,01/01/2020,,
Tiền gửi thanh toán tại Ngân hàng Nhà nước,2. Tiền gửi tại Ngân hàng Nhà nước > Tiền gửi thanh toán tại Ngân hàng Nhà nước,Tiền gửi thanh toán tại Ngân hàng Nhà nước,1.550.785,494.362,1550785.0,494362.0
Bằng VND,2. Tiền gửi tại Ngân hàng Nhà nước > Bằng VND,Bằng VND,1.354.372,252.185,1354372.0,252185.0
Bằng ngoại hối,2. Tiền gửi tại Ngân hàng Nhà nước > Bằng ngoại hối,Bằng ngoại hối,196.413,242.177,196413.0,242177.0
Tổng cộng,2. Tiền gửi tại Ngân hàng Nhà nước > Tổng cộng,Tổng cộng,1.550.785,494.362,1550785.0,494362.0
