row_label_raw,row_label_full,11. Tiền gửi và vay các TCTD khác,11. Tiền gửi và vay các TCTD khác_1,11. Tiền gửi và vay các TCTD khác_2,numeric__11. Tiền gửi và vay các TCTD khác_1,numeric__11. Tiền gửi và vay các TCTD khác_2
11.1. Tiền gửi của các TCTD khác,11.1. Tiền gửi của các TCTD khác,11.1. Tiền gửi của các TCTD khác,31/12/2020,01/01/2020,,
a. Tiền gửi không kỳ hạn,11.1. Tiền gửi của các TCTD khác > a. Tiền gửi không kỳ hạn,a. Tiền gửi không kỳ hạn,827.466,5.824.474,827466.0,5824474.0
- Bằng VND,11.1. Tiền gửi của các TCTD khác > - Bằng VND,- Bằng VND,827.394,5.824.409,827394.0,5824409.0
- Bằng ngoại hối,11.1. Tiền gửi của các TCTD khác > - Bằng ngoại hối,- Bằng ngoại hối,72,65,72.0,65.0
b. Tiền gửi có kỳ hạn,11.1. Tiền gửi của các TCTD khác > b. Tiền gửi có kỳ hạn,b. Tiền gửi có kỳ hạn,8.199.707,5.755.815,8199707.0,5755815.0
- Bằng VND,11.1. Tiền gửi của các TCTD khác > - Bằng VND,- Bằng VND,4.204.272,3.740.025,4204272.0,3740025.0
- Bằng ngoại hối,11.1. Tiền gửi của các TCTD khác > - Bằng ngoại hối,- Bằng ngoại hối,3.995.435,2.015.790,3995435.0,2015790.0
Cộng,11.1. Tiền gửi của các TCTD khác > Cộng,Cộng,9.027.173,11.580.289,9027173.0,11580289.0
11.2. Vay các TCTD khác,11.2. Vay các TCTD khác,11.2. Vay các TCTD khác,31/12/2020,01/01/2020,,
- Bằng VND,11.2. Vay các TCTD khác > - Bằng VND,- Bằng VND,-,242.973,,242973.0
- Bằng ngoại hối,11.2. Vay các TCTD khác > - Bằng ngoại hối,- Bằng ngoại hối,-,590.835,,590835.0
Cộng,11.2. Vay các TCTD khác > Cộng,Cộng,-,833.808,,833808.0
Tổng cộng tiền gửi và vay các TCTD khác,11.2. Vay các TCTD khác > Tổng cộng tiền gửi và vay các TCTD khác,Tổng cộng tiền gửi và vay các TCTD khác,9.027.173,12.414.097,9027173.0,12414097.0
12. Tiền gửi của khách hàng,12. Tiền gửi của khách hàng,12. Tiền gửi của khách hàng,,,,
- Thuyết minh theo loại tiền gửi,- Thuyết minh theo loại tiền gửi,- Thuyết minh theo loại tiền gửi,31/12/2020,01/01/2020,,
Tiền gửi không kỳ hạn,- Thuyết minh theo loại tiền gửi > Tiền gửi không kỳ hạn,Tiền gửi không kỳ hạn,6.197.877,4.735.070,6197877.0,4735070.0
- Bằng VND,- Thuyết minh theo loại tiền gửi > - Bằng VND,- Bằng VND,6.108.638,4.609.143,6108638.0,4609143.0
- Bằng ngoại hối,- Thuyết minh theo loại tiền gửi > - Bằng ngoại hối,- Bằng ngoại hối,89.239,125.927,89239.0,125927.0
Tiền gửi có kỳ hạn,- Thuyết minh theo loại tiền gửi > Tiền gửi có kỳ hạn,Tiền gửi có kỳ hạn,65.791.700,54.186.767,65791700.0,54186767.0
- Bằng VND,- Thuyết minh theo loại tiền gửi > - Bằng VND,- Bằng VND,63.351.421,51.859.690,63351421.0,51859690.0
- Bằng ngoại hối,- Thuyết minh theo loại tiền gửi > - Bằng ngoại hối,- Bằng ngoại hối,2.440.279,2.327.077,2440279.0,2327077.0
Tiền gửi vốn chuyên dùng,- Thuyết minh theo loại tiền gửi > Tiền gửi vốn chuyên dùng,Tiền gửi vốn chuyên dùng,8.908,11.024,8908.0,11024.0
Tiền gửi kỳ quỹ,- Thuyết minh theo loại tiền gửi > Tiền gửi kỳ quỹ,Tiền gửi kỳ quỹ,195.475,180.471,195475.0,180471.0
- Bằng VND,- Thuyết minh theo loại tiền gửi > - Bằng VND,- Bằng VND,195.451,180.464,195451.0,180464.0
- Bằng ngoại hối,- Thuyết minh theo loại tiền gửi > - Bằng ngoại hối,- Bằng ngoại hối,24,7,24.0,7.0
Tổng cộng,- Thuyết minh theo loại tiền gửi > Tổng cộng,Tổng cộng,72.193.960,59.113.332,72193960.0,59113332.0
"- Thuyết minh theo đối tượng khách hàng, loại hình doanh nghiệp","- Thuyết minh theo đối tượng khách hàng, loại hình doanh nghiệp","- Thuyết minh theo đối tượng khách hàng, loại hình doanh nghiệp",31/12/2020,01/01/2020,,
Tiền gửi của TCKT,"- Thuyết minh theo đối tượng khách hàng, loại hình doanh nghiệp > Tiền gửi của TCKT",Tiền gửi của TCKT,9.696.418,8.134.578,9696418.0,8134578.0
Doanh nghiệp nhà nước,"- Thuyết minh theo đối tượng khách hàng, loại hình doanh nghiệp > Doanh nghiệp nhà nước",Doanh nghiệp nhà nước,2.108.698,2.538.936,2108698.0,2538936.0
"Công ty CP, TNHH, Hợp danh","- Thuyết minh theo đối tượng khách hàng, loại hình doanh nghiệp > Công ty CP, TNHH, Hợp danh","Công ty CP, TNHH, Hợp danh",5.260.046,4.712.405,5260046.0,4712405.0
Doanh nghiệp tư nhân,"- Thuyết minh theo đối tượng khách hàng, loại hình doanh nghiệp > Doanh nghiệp tư nhân",Doanh nghiệp tư nhân,1.187,1.046,1187.0,1046.0
"Công ty chứng khoán, bảo hiểm, tài chính","- Thuyết minh theo đối tượng khách hàng, loại hình doanh nghiệp > Công ty chứng khoán, bảo hiểm, tài chính","Công ty chứng khoán, bảo hiểm, tài chính",920.211,241.308,920211.0,241308.0
"Kinh tế cả thể, Kinh tế tập thể","- Thuyết minh theo đối tượng khách hàng, loại hình doanh nghiệp > Kinh tế cả thể, Kinh tế tập thể","Kinh tế cả thể, Kinh tế tập thể",1.195.631,398.383,1195631.0,398383.0
Doanh nghiệp có vốn đầu tư nước ngoài,"- Thuyết minh theo đối tượng khách hàng, loại hình doanh nghiệp > Doanh nghiệp có vốn đầu tư nước ngoài",Doanh nghiệp có vốn đầu tư nước ngoài,210.645,242.500,210645.0,242500.0
Tiền gửi của cả nhân,"- Thuyết minh theo đối tượng khách hàng, loại hình doanh nghiệp > Tiền gửi của cả nhân",Tiền gửi của cả nhân,62.497.542,50.978.754,62497542.0,50978754.0
Tổng cộng,"- Thuyết minh theo đối tượng khách hàng, loại hình doanh nghiệp > Tổng cộng",Tổng cộng,72.193.960,59.113.332,72193960.0,59113332.0
