row_label_raw,row_label_full,Họ và tên,Chức danh,Năm 2024,Năm 2023,numeric__Chức danh,numeric__Năm 2024,numeric__Năm 2023
Họ và tên,Họ và tên,Họ và tên,Chức danh,VND,VND,,,
Ông Nguyễn Khải Hoàn,Họ và tên > Ông Nguyễn Khải Hoàn,Ông Nguyễn Khải Hoàn,Chủ tịch HĐQT,240.000.000,240.000.000,,240000000.0,240000000.0
Bà Đình Thị Nhật Hạnh,Họ và tên > Bà Đình Thị Nhật Hạnh,Bà Đình Thị Nhật Hạnh,Phó chủ tịch HĐQT Tổng giám đốc,583.300.000,604.800.000,,583300000.0,604800000.0
Ông Võ Công Sơn,Họ và tên > Ông Võ Công Sơn,Ông Võ Công Sơn,Thành viên HĐQT (miễn nhiệm ngày 15/09/2023),-,562.300.000,,,562300000.0
Ông Phùng Quang Hải,Họ và tên > Ông Phùng Quang Hải,Ông Phùng Quang Hải,Thành viên HĐQT (miễn nhiệm ngày 15/04/2024); Phó Tổng giám đốc (miễn nhiệm ngày 15/03/2024),145.323.810,656.000.000,,145323810.0,656000000.0
Bà Phạm Thị Minh Phụ,Họ và tên > Bà Phạm Thị Minh Phụ,Bà Phạm Thị Minh Phụ,Thành viên HĐQT Phó Tổng giám đốc,486.121.717,547.038.431,,486121717.0,547038431.0
Ông Trần Mạnh Toàn,Họ và tên > Ông Trần Mạnh Toàn,Ông Trần Mạnh Toàn,Thành viên HĐQT độc lập,120.000.000,120.000.000,,120000000.0,120000000.0
Bà Phạm Thị Hòa,Họ và tên > Bà Phạm Thị Hòa,Bà Phạm Thị Hòa,Thành viên HĐQT độc lập,120.000.000,120.000.000,,120000000.0,120000000.0
Ông Trần Văn Thành,Họ và tên > Ông Trần Văn Thành,Ông Trần Văn Thành,Phó Tổng giám đốc (miễn nhiệm ngày 18/01/2023),-,128.730.000,,,128730000.0
Bà Lê Thị Như Ca,Họ và tên > Bà Lê Thị Như Ca,Bà Lê Thị Như Ca,Phó Tổng giám đốc (miễn nhiệm ngày 28/04/2023),-,325.541.075,,,325541075.0
Bà Dương Thanh Thương,Họ và tên > Bà Dương Thanh Thương,Bà Dương Thanh Thương,Phó Tổng giám đốc (Miễn nhiệm ngày 16/03/2023),-,214.439.957,,,214439957.0
Ông Trần Văn Đường,Họ và tên > Ông Trần Văn Đường,Ông Trần Văn Đường,Phó Tổng giám đốc (Bổ nhiệm ngày 16/12/2024),65.150.000,-,,65150000.0,
Cộng,Họ và tên > Cộng,Cộng,,1.759.895.527,3.518.849.463,,1759895527.0,3518849463.0
