row_label_raw,row_label_full,col_0,ITEMS,Codes,Notes,31/12/2024,01/01/2024,numeric__ITEMS,numeric__Codes,numeric__Notes,numeric__31/12/2024,numeric__01/01/2024
A -,A -,A -,CURRENT ASSETS,100,,"1,725,428,473,633","1,859,789,319,830",,100.0,,,
I.,I.,I.,Cash and cash equivalents,110,,"106,980,526,613","50,140,229,335",,110.0,,,
1.,1.,1.,Cash,111,5,"106,980,526,613","50,140,229,335",,111.0,5.0,,
II.,II.,II.,Short-term financial investments,130,,"21,143,123,288","20,000,000,000",,130.0,,,
1.,1.,1.,Invesments held to maturity,135,6,"21,143,123,288","20,000,000,000",,135.0,6.0,,
II.,II.,II.,Short-term receivables,130,,"1,455,839,834,453","1,552,204,070,102",,130.0,,,
1.,1.,1.,Short-term trade receivable,131,7,"202,613,227,368","242,599,494,181",,131.0,7.0,,
2.,2.,2.,Short-term prepayment to suppliers,132,8,"297,975,537,324","301,336,210,931",,132.0,8.0,,
3.,3.,3.,Other short-term receivables,136,9,"955,251,069,761","1,008,268,364,990",,136.0,9.0,,
III.,III.,III.,Inventories,140,10,"124,917,035,965","210,627,541,427",,140.0,10.0,,
1.,1.,1.,Inventories,141,,"124,917,035,965","210,627,541,427",,141.0,,,
IV.,IV.,IV.,Other current assets,150,,"16,547,953,314","26,817,478,966",,150.0,,,
1.,1.,1.,Short-term prepaid expenses,151,11,"6,014,859,094","1,554,472,931",,151.0,11.0,,
2.,2.,2.,Value added tax deductibles,152,,"9,321,518,600","25,263,006,035",,152.0,,,
3.,3.,3.,Other receivables from State Budget,153,16,"1,211,575,620",-,,153.0,16.0,,
B -,B -,B -,NON-CURRENT ASSETS,200,,"4,864,973,979,460","4,530,401,248,430",,200.0,,,
I.,I.,I.,Long-term receivables,210,,"4,601,866,329,350","4,288,313,723,310",,210.0,,,
1.,1.,1.,Long-term loan receivables,215,,-,"490,000,000,000",,215.0,,,
2.,2.,2.,Other long-term receivables,216,9,"4,601,866,329,350","3,798,313,723,310",,216.0,9.0,,
II.,II.,II.,Fixed assets,220,,"556,263,875","648,970,737",,220.0,,,
1.,1.,1.,Tangible fixed assets,221,12,"491,548,723","447,455,585",,221.0,12.0,,
,,,- Cost,222,,"4,550,328,026","4,098,015,063",,222.0,,,
,,,- Accumulated depreciation,223,,"(4,058,779,303)","(3,650,559,478)",,223.0,,,
2.,2.,2.,Intangible fixed assets,227,,"64,715,152","201,515,152",,227.0,,,
,,,- Cost,228,,"575,365,500","575,365,500",,228.0,,,
,,,- Accumulated amortization,229,,"(510,650,348)","(373,850,348)",,229.0,,,
III.,III.,III.,Long-term assets in progress,240,,"3,065,483,849","821,780,144",,240.0,,,
1.,1.,1.,Long-term work in progress,241,,"2,115,483,849","821,780,144",,241.0,,,
2.,2.,2.,Construction in progress,242,,"950,000,000",-,,242.0,,,
IV.,IV.,IV.,Long-term financial investments,250,,"212,000,000,000","212,000,000,000",,250.0,,,
1.,1.,1.,Investments in subsidiaries,251,13,"212,000,000,000","212,000,000,000",,251.0,13.0,,
V.,V.,V.,Other long-term assets,260,,"47,485,902,386","28,616,774,239",,260.0,,,
1.,1.,1.,Long-term prepaid expenses,261,11,"47,485,902,386","28,616,774,239",,261.0,11.0,,
,,,TOTAL ASSETS,270,,"6,590,402,453,093","6,390,190,568,260",,270.0,,,
