row_label_raw,row_label_full,col_0,01/01/2024,Payable during the year,Paid during the year,31/12/2024,numeric__01/01/2024,numeric__Payable during the year,numeric__Paid during the year,numeric__31/12/2024
,,,VND,VND,VND,VND,,,,
Value added tax,Value added tax,Value added tax,"19,576,788,863",-,"20,788,364,483","(1,211,575,620)",,,,
Corporate income tax,Corporate income tax,Corporate income tax,"2,782,290,405","15,485,596,216","5,501,324,571","12,766,562,050",,,,
Personal income tax,Personal income tax,Personal income tax,"3,337,217,520","13,169,735,820","12,873,182,514","3,633,770,826",,,,
Other taxes and fees,Other taxes and fees,Other taxes and fees,-,"6,762,634,661","6,762,634,661",-,,,,
Total,Total,Total,"25,696,296,788","35,417,966,697","45,925,506,229","15,188,757,256",,,,
