row_label_raw,row_label_full,col_0,Year 2024,Year 2023,numeric__Year 2024,numeric__Year 2023
,,,VND,VND,,
Khai Minh Land Real Estate JSC (at the time when it was still a related party),Khai Minh Land Real Estate JSC (at the time when it was still a related party),Khai Minh Land Real Estate JSC (at the time when it was still a related party),Khai Minh Land Real Estate JSC (at the time when it was still a related party),Khai Minh Land Real Estate JSC (at the time when it was still a related party),,
- Transfer money of business cooperation,- Transfer money of business cooperation,- Transfer money of business cooperation,"3,600,000,000","400,000,000,000",,
- Receive money back from business cooperation,- Receive money back from business cooperation,- Receive money back from business cooperation,-,"90,000,000,000",,
- Collect interest from business cooperation contract,- Collect interest from business cooperation contract,- Collect interest from business cooperation contract,"105,161,181,824","139,600,000,000",,
- Disbursed funds on behalf,- Disbursed funds on behalf,- Disbursed funds on behalf,-,"32,002,000,000",,
- Collected funds on behalf,- Collected funds on behalf,- Collected funds on behalf,-,"7,785,000,000",,
"Khai Hoan - Vung Tau Group Co.,Ltd","Khai Hoan - Vung Tau Group Co.,Ltd","Khai Hoan - Vung Tau Group Co.,Ltd","Khai Hoan - Vung Tau Group Co.,Ltd","Khai Hoan - Vung Tau Group Co.,Ltd",,
- Collect interest from business cooperation contract,- Collect interest from business cooperation contract,- Collect interest from business cooperation contract,"30,300,000,000","13,000,000,000",,
- Transfer money of business cooperation,- Transfer money of business cooperation,- Transfer money of business cooperation,-,"500,000,000,000",,
"Green Symphony Co., Ltd","Green Symphony Co., Ltd","Green Symphony Co., Ltd","Green Symphony Co., Ltd","Green Symphony Co., Ltd",,
- Disbursed funds on behalf,- Disbursed funds on behalf,- Disbursed funds on behalf,-,"1,174,000,000",,
- Collected funds on behalf,- Collected funds on behalf,- Collected funds on behalf,-,"168,000,000,000",,
- Transfer money of business cooperation,- Transfer money of business cooperation,- Transfer money of business cooperation,"312,500,000,000","440,000,000,000",,
- Receive money back from business cooperation,- Receive money back from business cooperation,- Receive money back from business cooperation,-,"800,000,000,000",,
- Collect interest from business cooperation contract,- Collect interest from business cooperation contract,- Collect interest from business cooperation contract,-,"56,000,000,000",,
"Agency Community Co., Ltd (at the time when it was still a related party)","Agency Community Co., Ltd (at the time when it was still a related party)","Agency Community Co., Ltd (at the time when it was still a related party)","Agency Community Co., Ltd (at the time when it was still a related party)","Agency Community Co., Ltd (at the time when it was still a related party)",,
- Receive money back from business cooperation,- Receive money back from business cooperation,- Receive money back from business cooperation,"4,455,000,000","327,500,000,000",,
- Collect interest from business cooperation contract,- Collect interest from business cooperation contract,- Collect interest from business cooperation contract,-,"38,000,000,000",,
