row_label_raw,row_label_full,CHỈ TIÊU,Mã số,Thuyết minh,31/12/2024,01/01/2024,numeric__Mã số,numeric__Thuyết minh,numeric__31/12/2024,numeric__01/01/2024
C - NỘ PHẢI TRẢ,C - NỘ PHẢI TRẢ,C - NỘ PHẢI TRẢ,300,,1.370.665.493.323,1.225.036.772.460,300.0,,1370665493323.0,1225036772460.0
I. Nợ ngắn hạn,I. Nợ ngắn hạn,I. Nợ ngắn hạn,310,,779.733.493.323,984.436.772.460,310.0,,779733493323.0,984436772460.0
1. Phải trả người bán ngắn hạn,1. Phải trả người bán ngắn hạn,1. Phải trả người bán ngắn hạn,311,14,22.120.418.259,65.282.526.557,311.0,14.0,22120418259.0,65282526557.0
2. Người mua trả tiền trước ngắn hạn,2. Người mua trả tiền trước ngắn hạn,2. Người mua trả tiền trước ngắn hạn,312,15,274.909.091,24.067.075.100,312.0,15.0,274909091.0,24067075100.0
3. Thuế và các khoản phải nộp Nhà nước,3. Thuế và các khoản phải nộp Nhà nước,3. Thuế và các khoản phải nộp Nhà nước,313,16,16.400.332.876,25.696.296.788,313.0,16.0,16400332876.0,25696296788.0
4. Phải trả người lao động,4. Phải trả người lao động,4. Phải trả người lao động,314,,10.565.848.186,11.965.355.002,314.0,,10565848186.0,11965355002.0
5. Chỉ phí phải trả ngắn hạn,5. Chỉ phí phải trả ngắn hạn,5. Chỉ phí phải trả ngắn hạn,315,17,34.134.056.580,52.037.112.660,315.0,17.0,34134056580.0,52037112660.0
6. Phải trả ngắn hạn khác,6. Phải trả ngắn hạn khác,6. Phải trả ngắn hạn khác,319,18,253.680.221.827,40.388.406.353,319.0,18.0,253680221827.0,40388406353.0
7. Vay và nợ thuê tài chính ngắn hạn,7. Vay và nợ thuê tài chính ngắn hạn,7. Vay và nợ thuê tài chính ngắn hạn,320,19,442.557.706.504,765.000.000.000,320.0,19.0,442557706504.0,765000000000.0
II. Nợ dài hạn,II. Nợ dài hạn,II. Nợ dài hạn,330,,590.932.000.000,240.600.000.000,330.0,,590932000000.0,240600000000.0
1. Phải trả dài hạn khác,1. Phải trả dài hạn khác,1. Phải trả dài hạn khác,337,18,475.000.000,600.000.000,337.0,18.0,475000000.0,600000000.0
2. Vay và nợ thuê tài chính dài hạn,2. Vay và nợ thuê tài chính dài hạn,2. Vay và nợ thuê tài chính dài hạn,338,19,590.457.000.000,240.000.000.000,338.0,19.0,590457000000.0,240000000000.0
D - VỐN CHỦ SỞ HỮU,D - VỐN CHỦ SỞ HỮU,D - VỐN CHỦ SỞ HỮU,400,,5.219.736.959.770,5.165.153.795.800,400.0,,5219736959770.0,5165153795800.0
I. Vốn chủ sở hữu,I. Vốn chủ sở hữu,I. Vốn chủ sở hữu,410,20,5.219.736.959.770,5.165.153.795.800,410.0,20.0,5219736959770.0,5165153795800.0
1. Vốn góp của chủ sở hữu,1. Vốn góp của chủ sở hữu,1. Vốn góp của chủ sở hữu,411,,4.494.352.050.000,4.494.352.050.000,411.0,,4494352050000.0,4494352050000.0
- Cổ phiếu phổ thông có quyền,- Cổ phiếu phổ thông có quyền,- Cổ phiếu phổ thông có quyền,411a,,4.494.352.050.000,4.494.352.050.000,,,4494352050000.0,4494352050000.0
2. Thặng dư vốn cổ phần,2. Thặng dư vốn cổ phần,2. Thặng dư vốn cổ phần,412,,13.054.455.000,13.054.455.000,412.0,,13054455000.0,13054455000.0
3. Lợi nhuận sau thuế chưa phân phối,3. Lợi nhuận sau thuế chưa phân phối,3. Lợi nhuận sau thuế chưa phân phối,421,,712.330.454.770,657.747.290.800,421.0,,712330454770.0,657747290800.0
- LNST chưa phân phối lũy kế đến cuối năm trước,- LNST chưa phân phối lũy kế đến cuối năm trước,- LNST chưa phân phối lũy kế đến cuối năm trước,421a,,657.747.290.800,632.427.114.661,,,657747290800.0,632427114661.0
- LNST chưa phân phối năm nay,- LNST chưa phân phối năm nay,- LNST chưa phân phối năm nay,421b,,54.583.163.970,25.320.176.139,,,54583163970.0,25320176139.0
TỔNG CỘNG NGUỒN VỐN,TỔNG CỘNG NGUỒN VỐN,TỔNG CỘNG NGUỒN VỐN,440,,6.590.402.453.093,6.390.190.568.260,440.0,,6590402453093.0,6390190568260.0
