row_label_raw,row_label_full,col_0,Thiết bịvăn phòng,Cộng,numeric__Thiết bịvăn phòng,numeric__Cộng
,,,VND,VND,,
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,
Tại ngày 01/01/2024,NGUYÊN GIÁ > Tại ngày 01/01/2024,Tại ngày 01/01/2024,4.098.015.063,4.098.015.063,4098015063.0,4098015063.0
Mua trong năm,NGUYÊN GIÁ > Mua trong năm,Mua trong năm,452.312.963,452.312.963,452312963.0,452312963.0
Tại ngày 31/12/2024,NGUYÊN GIÁ > Tại ngày 31/12/2024,Tại ngày 31/12/2024,4.550.328.026,4.550.328.026,4550328026.0,4550328026.0
GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,,
Tại ngày 01/01/2024,GIÁ TRỊ HAO MÒN LỦY KẾ > Tại ngày 01/01/2024,Tại ngày 01/01/2024,3.650.559.478,3.650.559.478,3650559478.0,3650559478.0
Khấu hao trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Khấu hao trong năm,Khấu hao trong năm,408.219.825,408.219.825,408219825.0,408219825.0
Tại ngày 31/12/2024,GIÁ TRỊ HAO MÒN LỦY KẾ > Tại ngày 31/12/2024,Tại ngày 31/12/2024,4.058.779.303,4.058.779.303,4058779303.0,4058779303.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,
Tại ngày 01/01/2024,GIÁ TRỊ CÒN LẠI > Tại ngày 01/01/2024,Tại ngày 01/01/2024,447.455.585,447.455.585,447455585.0,447455585.0
Tại ngày 31/12/2024,GIÁ TRỊ CÒN LẠI > Tại ngày 31/12/2024,Tại ngày 31/12/2024,491.548.723,491.548.723,491548723.0,491548723.0
Nguyên giá TSCĐ hết khấu hao còn sử dụng,GIÁ TRỊ CÒN LẠI > Nguyên giá TSCĐ hết khấu hao còn sử dụng,Nguyên giá TSCĐ hết khấu hao còn sử dụng,2.985.914.820,2.985.914.820,2985914820.0,2985914820.0
