row_label_raw,row_label_full,Contract,Credit limit,Balance at 31/12/2024,Loan term and purpose,Collateral,numeric__Credit limit,numeric__Balance at 31/12/2024,numeric__Loan term and purpose,numeric__Collateral
Saigon-Hanoi Commercial Joint Stock Bank - Dong Do Branch,Saigon-Hanoi Commercial Joint Stock Bank - Dong Do Branch,Saigon-Hanoi Commercial Joint Stock Bank - Dong Do Branch,Saigon-Hanoi Commercial Joint Stock Bank - Dong Do Branch,Saigon-Hanoi Commercial Joint Stock Bank - Dong Do Branch,Saigon-Hanoi Commercial Joint Stock Bank - Dong Do Branch,Saigon-Hanoi Commercial Joint Stock Bank - Dong Do Branch,,,,
No.01.069/2022/HDTD-NH-PN/SHB.111400 dated 23 February 2022,No.01.069/2022/HDTD-NH-PN/SHB.111400 dated 23 February 2022,No.01.069/2022/HDTD-NH-PN/SHB.111400 dated 23 February 2022,VND 302.4 billion,"VND40,068,706,504",- The loan term is 12 months from the date of disbursement- Purpose 1: Borrowing to deposit real estate brokerage contract of Pho Noi project- Purpose 2: Borrowing to buy wholesale projects- Purpose 3: Borrowing to ensure the minimum revenue according to the brokerage contract,"- Collateral for purpose 1 is 28 properties at T&T Pho Noi project under the land use right mortgage contract No. 01.069/2022/HDTC-PN/SHB.111400 dated 23/02/2022; Collateral for purpose 2 are all products intended for wholesale purchase; Collateral for purpose 3, the remainder of 28 properties for purpose 1 and other additional assets if approved",,,,
No.12.026/2022/HDDNH-PN/SHB.11140 dated 10 December 2022,No.12.026/2022/HDDNH-PN/SHB.11140 dated 10 December 2022,No.12.026/2022/HDDNH-PN/SHB.11140 dated 10 December 2022,VND 131 billion,"VND77,700,000,000",- The loan term is 12 months from the date of disbursement- Purpose 1: Loan to buy 28 properties of Millenia Long Hau project- Purpose 2: Borrowing to offset real estate in which the company owns more than 30% of the contract of 28 purchased properties,- Collateral are property rights arising from house purchase and sale contracts specified in the contract of mortgage of property rights arising from the house sale and purchase contract No. 12.026/2022/HDTC-PN/SHB.111400 dated 10 December 2022,,,,
Personal loanLoan agreements signed individually,Personal loanLoan agreements signed individually,Personal loanLoan agreements signed individually,-,"VND185,245,000,000",Loan term: 12 to 28 months. Purpose: Working capital supplementation. Interest rate: 9.5% - 11.5% per year.,No collateral.,,,,
