row_label_raw,row_label_full,col_0,Vốn góp củachủ sở hữu,Thặng dư vốncổ phần,LNSTchưa phân phối,Cộng,numeric__Vốn góp củachủ sở hữu,numeric__Thặng dư vốncổ phần,numeric__LNSTchưa phân phối,numeric__Cộng
,,,VND,VND,VND,VND,,,,
Tại ngày 01/01/2023,Tại ngày 01/01/2023,Tại ngày 01/01/2023,4.494.352.050.000,13.054.455.000,632.427.114.661,5.139.833.619.661,4494352050000.0,13054455000.0,632427114661.0,5139833619661.0
Lãi trong năm,Lãi trong năm,Lãi trong năm,-,-,25.320.176.139,25.320.176.139,,,25320176139.0,25320176139.0
Tại ngày 01/01/2024,Tại ngày 01/01/2024,Tại ngày 01/01/2024,4.494.352.050.000,13.054.455.000,657.747.290.800,5.165.153.795.800,4494352050000.0,13054455000.0,657747290800.0,5165153795800.0
Lãi trong năm,Lãi trong năm,Lãi trong năm,-,-,54.583.163.970,54.583.163.970,,,54583163970.0,54583163970.0
Tại ngày 31/12/2024,Tại ngày 31/12/2024,Tại ngày 31/12/2024,4.494.352.050.000,13.054.455.000,712.330.454.770,5.219.736.959.770,4494352050000.0,13054455000.0,712330454770.0,5219736959770.0
