row_label_raw,row_label_full,No,Type,Short name,Address,numeric__Type,numeric__Short name,numeric__Address
5.,5.,5.,Branch,My Toan 1,"1479 Nguyen Van Linh, My Toan 1 - H3, Tan Phong Ward, District 7, Ho Chi Minh City",,,
6.,6.,6.,Branch,Nguyen Huu Canh 2,"Floor 1+2, 280A4 Luong Dinh Cua, An Phu Ward, Thu Duc City, Ho Chi Minh City",,,
7.,7.,7.,Branch,Thao Dien,"193 Nguyen Hoang, An Phu Ward, District 2, Ho Chi Minh City",,,
8.,8.,8.,Branch,Sala 2,"3 Street 10, SH07-2 Sala Urban area, An Loi Dong Ward, Thu Duc City, Ho Chi Minh City",,,
9.,9.,9.,Branch,Thu Thiem 2,"Floor 1 - 1H Tran Nao, An Phu Ward, District 2, Thu Duc City, Ho Chi Minh City",,,
10.,10.,10.,Branch,Luong Dinh Cua,"Floor 3, 280A4 Luong Dinh Cua, An Phu Ward, District 2, Thu Duc City, Ho Chi Minh City",,,
11.,11.,11.,Branch,Thu Duc,"No. 68, Street No. 27, Quarter 5, Hiep Binh Chanh Ward, Thu Duc District, Ho Chi Minh City",,,
12.,12.,12.,Branch,Diamond Island,"LK3-21, Saigon Mystery Villas, Binh Trung Tay Ward, Thanh My Loi, Thu Duc city, Ho Chi Minh City",,,
13.,13.,13.,Branch,Masterise,"LK10-32 - the Global city, Do Xuan Hop street, An Phu Ward, 2 District, Thu Duc city, Ho Chi Minh City",,,
14.,14.,14.,Branch,Binh Duong New City,"Unit 01, Block D – Green Pearl Commercial Housing Area, Vo Nguyen Giap Street, Hoa Phu Ward, Thu Dau Mot City, Binh Duong province",,,
15.,15.,15.,Branch,Nam Sai Gon,"B10, Kim Son, Nguyen Huu Tho, Tan Phong Ward, 7 District, Ho Chi Minh City",,,
16.,16.,16.,Branch,Binh Thanh,"122-122A, 26 Ward, Binh Thanh District, Ho Chi Minh City",,,
17.,17.,17.,Branch,Q7,"B10, Kim Son, Nguyen Huu Tho, Tan Phong Ward, 7 District, Ho Chi Minh City",,,
