row_label_raw,row_label_full,CHỈ TIÊU,Mã số,Năm 2024,MÃU SỐ B03 - DNĐơn vị tính: VNDNăm 2023,numeric__Mã số,numeric__Năm 2024,numeric__MÃU SỐ B03 - DNĐơn vị tính: VNDNăm 2023
I. LƯU CHUYỀN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,I. LƯU CHUYỀN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,I. LƯU CHUYỀN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,I. LƯU CHUYỀN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,I. LƯU CHUYỀN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,I. LƯU CHUYỀN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,,,
1. Lợi nhuận trước thuế,I. LƯU CHUYỀN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 1. Lợi nhuận trước thuế,1. Lợi nhuận trước thuế,01,70.068.760.186,34.156.456.697,1.0,70068760186.0,34156456697.0
2. Điều chỉnh cho các khoản,2. Điều chỉnh cho các khoản,2. Điều chỉnh cho các khoản,2. Điều chỉnh cho các khoản,2. Điều chỉnh cho các khoản,2. Điều chỉnh cho các khoản,,,
- Khấu hao TSCĐ và BĐSDĐT,2. Điều chỉnh cho các khoản > - Khấu hao TSCĐ và BĐSDĐT,- Khấu hao TSCĐ và BĐSDĐT,02,545.019.825,442.784.888,2.0,545019825.0,442784888.0
"- Lãi, lỗ từ hoạt động đầu tư","2. Điều chỉnh cho các khoản > - Lãi, lỗ từ hoạt động đầu tư","- Lãi, lỗ từ hoạt động đầu tư",05,(252.287.060.270),(282.571.112.070),5.0,-252287060270.0,-282571112070.0
- Chỉ phí lãi vay,2. Điều chỉnh cho các khoản > - Chỉ phí lãi vay,- Chỉ phí lãi vay,06,133.654.374.116,120.433.059.548,6.0,133654374116.0,120433059548.0
3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,2. Điều chỉnh cho các khoản > 3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,08,(48.018.906.143),(127.538.810.937),8.0,-48018906143.0,-127538810937.0
"- Tăng, giảm các khoản phải thu","2. Điều chỉnh cho các khoản > - Tăng, giảm các khoản phải thu","- Tăng, giảm các khoản phải thu",09,(42.382.258.730),379.601.237.604,9.0,-42382258730.0,379601237604.0
"- Tăng, giảm hàng tồn kho","2. Điều chỉnh cho các khoản > - Tăng, giảm hàng tồn kho","- Tăng, giảm hàng tồn kho",10,84.416.801.757,250.831.490.250,10.0,84416801757.0,250831490250.0
"- Tăng, giảm các khoản phải trả (Không kể lãi vay phải trả, thuế thu nhập doanh nghiệp phải nộp)","2. Điều chỉnh cho các khoản > - Tăng, giảm các khoản phải trả (Không kể lãi vay phải trả, thuế thu nhập doanh nghiệp phải nộp)","- Tăng, giảm các khoản phải trả (Không kể lãi vay phải trả, thuế thu nhập doanh nghiệp phải nộp)",11,94.219.334.843,(572.894.203.202),11.0,94219334843.0,-572894203202.0
"- Tăng, giảm chỉ phí trả trước","2. Điều chỉnh cho các khoản > - Tăng, giảm chỉ phí trả trước","- Tăng, giảm chỉ phí trả trước",12,(23.329.514.310),(19.485.476.414),12.0,-23329514310.0,-19485476414.0
- Tiền lãi vay đã trả,2. Điều chỉnh cho các khoản > - Tiền lãi vay đã trả,- Tiền lãi vay đã trả,14,(120.243.966.245),(114.435.195.072),14.0,-120243966245.0,-114435195072.0
- Thuế thu nhập doanh nghiệp đã nộp,2. Điều chỉnh cho các khoản > - Thuế thu nhập doanh nghiệp đã nộp,- Thuế thu nhập doanh nghiệp đã nộp,15,(5.501.324.571),(116.886.376.866),15.0,-5501324571.0,-116886376866.0
Lưu chuyển tiền thuần từ hoạt động kinh doanh,2. Điều chỉnh cho các khoản > Lưu chuyển tiền thuần từ hoạt động kinh doanh,Lưu chuyển tiền thuần từ hoạt động kinh doanh,20,(60.839.833.399),(320.807.334.637),20.0,-60839833399.0,-320807334637.0
II. LƯU CHUYỀN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,II. LƯU CHUYỀN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,II. LƯU CHUYỀN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,II. LƯU CHUYỀN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,II. LƯU CHUYỀN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,II. LƯU CHUYỀN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,,,
"1. Tiền chỉ để mua sắm, xây dựng TSCĐ và các TSDH khác","II. LƯU CHUYỀN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > 1. Tiền chỉ để mua sắm, xây dựng TSCĐ và các TSDH khác","1. Tiền chỉ để mua sắm, xây dựng TSCĐ và các TSDH khác",21,(1.402.312.963),(273.600.000),21.0,-1402312963.0,-273600000.0
"2. Tiền chỉ cho vay, mua các công cụ nợ của đơn vị khác","II. LƯU CHUYỀN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > 2. Tiền chỉ cho vay, mua các công cụ nợ của đơn vị khác","2. Tiền chỉ cho vay, mua các công cụ nợ của đơn vị khác",23,(317.243.123.288),(860.000.000.000),23.0,-317243123288.0,-860000000000.0
