row_label_raw,row_label_full,col_0,Owner's equity,Share premium,Retained earnings,Total,numeric__Owner's equity,numeric__Share premium,numeric__Retained earnings,numeric__Total
,,,VND,VND,VND,VND,,,,
As at 01/01/2023,As at 01/01/2023,As at 01/01/2023,"4,494,352,050,000","13,054,455,000","632,427,114,661","5,139,833,619,661",,,,
Profit for the year,Profit for the year,Profit for the year,-,-,"25,320,176,139","25,320,176,139",,,,
As at 01/01/2024,As at 01/01/2024,As at 01/01/2024,"4,494,352,050,000","13,054,455,000","657,747,290,800","5,165,153,795,800",,,,
Profit for the year,Profit for the year,Profit for the year,-,-,"54,583,163,970","54,583,163,970",,,,
As at 31/12/2024,As at 31/12/2024,As at 31/12/2024,"4,494,352,050,000","13,054,455,000","712,330,454,770","5,219,736,959,770",,,,
