row_label_raw,row_label_full,col_0,ITEMS,Codes,Notes,31/12/2024,01/01/2024,numeric__ITEMS,numeric__Codes,numeric__Notes,numeric__31/12/2024,numeric__01/01/2024
C - LIABILITIES,C - LIABILITIES,C - LIABILITIES,C - LIABILITIES,300,,"1,370,665,493,323","1,225,036,772,460",,300.0,,,
I.,I.,I.,Current liabilities,310,,"779,733,493,323","984,436,772,460",,310.0,,,
1.,1.,1.,Short-term trade payable,311,14,"22,120,418,259","65,282,526,557",,311.0,14.0,,
2.,2.,2.,Short-term advances from customers,312,15,"274,909,091","24,067,075,100",,312.0,15.0,,
3.,3.,3.,Taxes and amount payable to State,313,16,"16,400,332,876","25,696,296,788",,313.0,16.0,,
4.,4.,4.,Payables to employees,314,,"10,565,848,186","11,965,355,002",,314.0,,,
5.,5.,5.,Short-term accrued expenses,315,17,"34,134,056,580","52,037,112,660",,315.0,17.0,,
6.,6.,6.,Other short-term payables,319,18,"253,680,221,827","40,388,406,353",,319.0,18.0,,
7.,7.,7.,Short-term loans and obligations under finance leases,320,19,"442,557,706,504","765,000,000,000",,320.0,19.0,,
II.,II.,II.,Long-term Liabilities,330,,"590,932,000,000","240,600,000,000",,330.0,,,
1.,1.,1.,Other long-term payables,337,18,"475,000,000","600,000,000",,337.0,18.0,,
2.,2.,2.,Long-term loans and obligations under finance leases,338,19,"590,457,000,000","240,000,000,000",,338.0,19.0,,
D - EQUITY,D - EQUITY,D - EQUITY,D - EQUITY,400,,"5,219,736,959,770","5,165,153,795,800",,400.0,,,
I.,I.,I.,Owner's equity,410,20,"5,219,736,959,770","5,165,153,795,800",,410.0,20.0,,
1.,1.,1.,Owners' contributed capital,411,,"4,494,352,050,000","4,494,352,050,000",,411.0,,,
,,,- Ordinary shares with voting rights,411a,,"4,494,352,050,000","4,494,352,050,000",,,,,
2.,2.,2.,Capital surplus,412,,"13,054,455,000","13,054,455,000",,412.0,,,
3.,3.,3.,Retained earnings,421,,"712,330,454,770","657,747,290,800",,421.0,,,
,,,- Retained earnings accumulated to the prior year end,421a,,"657,747,290,800","632,427,114,661",,,,,
,,,- Retained earnings of the current year,421b,,"54,583,163,970","25,320,176,139",,,,,
,,,TOTAL RESOURCES,440,,"6,590,402,453,093","6,390,190,568,260",,440.0,,,
