row_label_raw,row_label_full,CHỈ TIÊU,Mã số,Thuyết minh,31/12/2024,01/01/2024,numeric__Mã số,numeric__Thuyết minh,numeric__31/12/2024,numeric__01/01/2024
A - TẢI SẢN NGẮN HẠN,A - TẢI SẢN NGẮN HẠN,A - TẢI SẢN NGẮN HẠN,100,,1.725.428.473.633,1.859.789.319.830,100.0,,1725428473633.0,1859789319830.0
I. Tiền và các khoản tương đương tiền,I. Tiền và các khoản tương đương tiền,I. Tiền và các khoản tương đương tiền,110,,106.980.526.613,50.140.229.335,110.0,,106980526613.0,50140229335.0
1. Tiền,1. Tiền,1. Tiền,111,5,106.980.526.613,50.140.229.335,111.0,5.0,106980526613.0,50140229335.0
II. Đầu tư tài chính ngắn hạn,II. Đầu tư tài chính ngắn hạn,II. Đầu tư tài chính ngắn hạn,120,,21.143.123.288,20.000.000.000,120.0,,21143123288.0,20000000000.0
1. Đầu tư nấm giữ đến ngày đáo hạn,1. Đầu tư nấm giữ đến ngày đáo hạn,1. Đầu tư nấm giữ đến ngày đáo hạn,123,6,21.143.123.288,20.000.000.000,123.0,6.0,21143123288.0,20000000000.0
III. Các khoản phải thu ngắn hạn,III. Các khoản phải thu ngắn hạn,III. Các khoản phải thu ngắn hạn,130,,1.455.839.834.453,1.552.204.070.102,130.0,,1455839834453.0,1552204070102.0
1. Phải thu ngắn hạn của khách hàng,1. Phải thu ngắn hạn của khách hàng,1. Phải thu ngắn hạn của khách hàng,131,7,202.613.227.368,242.599.494.181,131.0,7.0,202613227368.0,242599494181.0
2. Trả trước cho người bán ngắn hạn,2. Trả trước cho người bán ngắn hạn,2. Trả trước cho người bán ngắn hạn,132,8,297.975.537.324,301.336.210.931,132.0,8.0,297975537324.0,301336210931.0
3. Phải thu ngắn hạn khác,3. Phải thu ngắn hạn khác,3. Phải thu ngắn hạn khác,136,9,955.251.069.761,1.008.268.364.990,136.0,9.0,955251069761.0,1008268364990.0
IV. Hàng tồn kho,IV. Hàng tồn kho,IV. Hàng tồn kho,140,10,124.917.035.965,210.627.541.427,140.0,10.0,124917035965.0,210627541427.0
1. Hàng tồn kho,1. Hàng tồn kho,1. Hàng tồn kho,141,,124.917.035.965,210.627.541.427,141.0,,124917035965.0,210627541427.0
V. Tài sản ngắn hạn khác,V. Tài sản ngắn hạn khác,V. Tài sản ngắn hạn khác,150,,16.547.953.314,26.817.478.966,150.0,,16547953314.0,26817478966.0
1. Chi phí trả trước ngắn hạn,1. Chi phí trả trước ngắn hạn,1. Chi phí trả trước ngắn hạn,151,11,6.014.859.094,1.554.472.931,151.0,11.0,6014859094.0,1554472931.0
2. Thuế GTGT được khấu trừ,2. Thuế GTGT được khấu trừ,2. Thuế GTGT được khấu trừ,152,,9.321.518.600,25.263.006.035,152.0,,9321518600.0,25263006035.0
3. Thuế và các khoản khác phải thu Nhà nước,3. Thuế và các khoản khác phải thu Nhà nước,3. Thuế và các khoản khác phải thu Nhà nước,153,16,1.211.575.620,-,153.0,16.0,1211575620.0,
B - TẢI SẢN DÀI HẠN,B - TẢI SẢN DÀI HẠN,B - TẢI SẢN DÀI HẠN,200,,4.864.973.979.460,4.530.401.248.430,200.0,,4864973979460.0,4530401248430.0
I. Các khoản phải thu dài hạn,I. Các khoản phải thu dài hạn,I. Các khoản phải thu dài hạn,210,,4.601.866.329.350,4.288.313.723.310,210.0,,4601866329350.0,4288313723310.0
1. Phải thu về cho vay dài hạn,1. Phải thu về cho vay dài hạn,1. Phải thu về cho vay dài hạn,215,,-,490.000.000.000,215.0,,,490000000000.0
2. Phải thu dài hạn khác,2. Phải thu dài hạn khác,2. Phải thu dài hạn khác,216,9,4.601.866.329.350,3.798.313.723.310,216.0,9.0,4601866329350.0,3798313723310.0
II. Tài sản cố định,II. Tài sản cố định,II. Tài sản cố định,220,,556.263.875,648.970.737,220.0,,556263875.0,648970737.0
