row_label_raw,row_label_full,STT,Loại hình,Tên rút gọn,Địa chỉ,numeric__Loại hình,numeric__Tên rút gọn,numeric__Địa chỉ
6.,6.,6.,Chỉ nhánh,Nguyễn Hữu Cảnh 2,"Lầu 1+2, số 280A4 Lương Định Của, P. An Phú, Quận 2, Tp. Thủ Đức, Tp. Hồ Chí Minh",,,
7.,7.,7.,Chỉ nhánh,Thảo Điền,"Số 193 Nguyễn Hoàng, Phường An Phú, Quận 2, Tp. Hồ Chí Minh",,,
8.,8.,8.,Chỉ nhánh,Sala 2,"Số 3 Dương số 10, SH07-2 Khu đô thị Sala - Đại Quang Minh, Phường An Lợi, Tp. Thủ Đức, Tp. Hồ Chí Minh",,,
9.,9.,9.,Chỉ nhánh,Thủ Thiêm 2,"Lầu 1 Số 1H Trần Não, P. An Phú, Quận 2, TP. Thủ Đức, Tp. Hồ Chí Minh",,,
10.,10.,10.,Chỉ nhánh,Lương Định Của,"Lầu 3 ,280A4 Lương Định Của, P. An Phú, Quận 2, TP. Thủ Đức, Tp. Hồ Chí Minh",,,
11.,11.,11.,Chỉ nhánh,Thủ Đức,"Số 68 Đường Số 27, KP5, Phường Hiệp Bình Chánh, Thủ Đức, Tp. Hồ Chí Minh",,,
12.,12.,12.,Chỉ nhánh,Diamond Island,"LK3-21, Saigon Mystery Villas, phường Bình Trung Tây, Thạnh Mỹ Lợi, Tp. Thủ Đức, TP. Hồ Chí Minh",,,
13.,13.,13.,Chỉ nhánh,Masterise,"Căn LK10-32- the Global city, đường Đỗ Xuân Hợp, phường An Phú, Quận 2, Tp. Thủ Đức, TP. Hồ Chí Minh",,,
14.,14.,14.,Chỉ nhánh,Thành phố mới Bình Dương,"Căn 01, Dây D - Khu nhà ở thương mại Green Pearl, Đường Võ Nguyễn Giáp, phường Hòa Phú, Tp. Thủ Dầu Một, tỉnh Bình Dương.",,,
15.,15.,15.,Chỉ nhánh,Nam Sài Gòn,"B10, Khu dân cư Kim Sơn, Nguyễn Hữu Thọ, Phường Tân Phong, Quận 7, Tp. Hồ Chí Minh",,,
16.,16.,16.,Chỉ nhánh,Bình Thạnh,"122-122A, phường 26, quận Bình Thạnh, Tp. Hồ Chí Minh",,,
17.,17.,17.,Chỉ nhánh,Q7,"B10, Khu dân cư Kim Sơn, Nguyễn Hữu Thọ, Phường Tân Phong, Quận 7, Tp. Hồ Chí Minh",,,
