row_label_raw,row_label_full,col_0,Nâng cấptài sản thuêVND,Dụng cụvăn phòngVND,Máy móc vàthiết bịVND,Phương tiệnvận chuyểnVND,TổngVND,numeric__Nâng cấptài sản thuêVND,numeric__Dụng cụvăn phòngVND,numeric__Máy móc vàthiết bịVND,numeric__Phương tiệnvận chuyểnVND,numeric__TổngVND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,52.666.866.594,24.872.026.185,3.618.331.741,6.269.702.428,87.426.926.948,52666866594.0,24872026185.0,3618331741.0,6269702428.0,87426926948.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,-,61.000.000,168.500.000,-,229.500.000,,61000000.0,168500000.0,,229500000.0
Chuyển từ chỉ phí xây dựng cơ bản dở dang,Nguyên giá > Chuyển từ chỉ phí xây dựng cơ bản dở dang,Chuyển từ chỉ phí xây dựng cơ bản dở dang,-,-,325.000.000,-,325.000.000,,,325000000.0,,325000000.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,-,(221.130.011),(86.872.000),(819.284.000),(1.127.286.011),,-221130011.0,-86872000.0,-819284000.0,-1127286011.0
Xóa sổ,Nguyên giá > Xóa sổ,Xóa sổ,-,(40.000.000),(159.335.552),-,(199.335.552),,-40000000.0,-159335552.0,,-199335552.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,52.666.866.594,24.671.896.174,3.865.624.189,5.450.418.428,86.654.805.385,52666866594.0,24671896174.0,3865624189.0,5450418428.0,86654805385.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,40.715.129.350,15.023.882.076,3.357.244.555,5.973.223.850,65.069.479.831,40715129350.0,15023882076.0,3357244555.0,5973223850.0,65069479831.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,10.451.709.071,2.458.968.235,131.608.442,130.895.604,13.173.181.352,10451709071.0,2458968235.0,131608442.0,130895604.0,13173181352.0
Thanh lý,Giá trị hao mòn lũy kế > Thanh lý,Thanh lý,-,(221.130.011),(79.133.903),(792.450.516),(1.092.714.430),,-221130011.0,-79133903.0,-792450516.0,-1092714430.0
Xóa sổ,Giá trị hao mòn lũy kế > Xóa sổ,Xóa sổ,-,(40.000.000),(159.335.552),-,(199.335.552),,-40000000.0,-159335552.0,,-199335552.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,51.166.838.421,17.221.720.300,3.250.383.542,5.311.668.938,76.950.611.201,51166838421.0,17221720300.0,3250383542.0,5311668938.0,76950611201.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,11.951.737.244,9.848.144.109,261.087.186,296.478.578,22.357.447.117,11951737244.0,9848144109.0,261087186.0,296478578.0,22357447117.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,1.500.028.173,7.450.175.874,615.240.647,138.749.490,9.704.194.184,1500028173.0,7450175874.0,615240647.0,138749490.0,9704194184.0
