row_label_raw,row_label_full,col_0,Vốn cổ phần VND,Thặng dư vốn cổ phần VND,Cổ phiếu quỹ VND,Lợi nhuận sau thuế chưa phân phối VND,Tổng VND,numeric__Vốn cổ phần VND,numeric__Thặng dư vốn cổ phần VND,numeric__Cổ phiếu quỹ VND,numeric__Lợi nhuận sau thuế chưa phân phối VND,numeric__Tổng VND
Số dư tại ngày 1 tháng 1 năm 2019,Số dư tại ngày 1 tháng 1 năm 2019,Số dư tại ngày 1 tháng 1 năm 2019,6.279.291.230.000,4.292.501.204.992,(1.640.252.631.255),3.429.441.848.410,12.360.981.652.147,6279291230000.0,4292501204992.0,-1640252631255.0,3429441848410.0,12360981652147.0
Phát hành vốn cổ phần (Thuyết minh 21),Phát hành vốn cổ phần (Thuyết minh 21),Phát hành vốn cổ phần (Thuyết minh 21),30.493.250.000,182.959.500.000,-,-,213.452.750.000,30493250000.0,182959500000.0,,,213452750000.0
Phát hành cổ phiếu thường (Thuyết minh 21),Phát hành cổ phiếu thường (Thuyết minh 21),Phát hành cổ phiếu thường (Thuyết minh 21),919.461.560.000,(919.461.560.000),-,-,-,919461560000.0,-919461560000.0,,,
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,3.992.842.678.683,3.992.842.678.683,,,,3992842678683.0,3992842678683.0
Cổ tức (Thuyết minh 22),Cổ tức (Thuyết minh 22),Cổ tức (Thuyết minh 22),-,-,-,(2.744.681.053.500),(2.744.681.053.500),,,,-2744681053500.0,-2744681053500.0
Số dư tại ngày 1 tháng 1 năm 2020,Số dư tại ngày 1 tháng 1 năm 2020,Số dư tại ngày 1 tháng 1 năm 2020,7.229.246.040.000,3.555.999.144.992,(1.640.252.631.255),4.677.603.473.593,13.822.596.027.330,7229246040000.0,3555999144992.0,-1640252631255.0,4677603473593.0,13822596027330.0
Phát hành vốn cổ phần (Thuyết minh 21),Phát hành vốn cổ phần (Thuyết minh 21),Phát hành vốn cổ phần (Thuyết minh 21),38.692.140.000,154.768.560.000,-,-,193.460.700.000,38692140000.0,154768560000.0,,,193460700000.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,4.532.733.060.657,4.532.733.060.657,,,,4532733060657.0,4532733060657.0
Cổ tức (Thuyết minh 22),Cổ tức (Thuyết minh 22),Cổ tức (Thuyết minh 22),-,-,-,(3.172.160.718.000),(3.172.160.718.000),,,,-3172160718000.0,-3172160718000.0
Số dư tại ngày 31 tháng 12 năm 2020,Số dư tại ngày 31 tháng 12 năm 2020,Số dư tại ngày 31 tháng 12 năm 2020,7.267.938.180.000,3.710.767.704.992,(1.640.252.631.255),6.038.175.816.250,15.376.629.069.987,7267938180000.0,3710767704992.0,-1640252631255.0,6038175816250.0,15376629069987.0
