row_label_raw,row_label_full,Khoản mục,Quyền sử dụng đất có thời hạn,Phần mềm máy vi tính,TSCĐ vô hình khác,Tổng cộng,numeric__Quyền sử dụng đất có thời hạn,numeric__Phần mềm máy vi tính,numeric__TSCĐ vô hình khác,numeric__Tổng cộng
Nguyên giá TSCĐ vô hình,Nguyên giá TSCĐ vô hình,Nguyên giá TSCĐ vô hình,Nguyên giá TSCĐ vô hình,Nguyên giá TSCĐ vô hình,Nguyên giá TSCĐ vô hình,Nguyên giá TSCĐ vô hình,,,,
Số dư đầu năm,Nguyên giá TSCĐ vô hình > Số dư đầu năm,Số dư đầu năm,913.439,33.861,1.140,948.440,913439.0,33861.0,1140.0,948440.0
- Mua trong năm,Nguyên giá TSCĐ vô hình > - Mua trong năm,- Mua trong năm,600,11.177,189,11.966,600.0,11177.0,189.0,11966.0
- Giám khác,Nguyên giá TSCĐ vô hình > - Giám khác,- Giám khác,-,-,(129),(129),,,-129.0,-129.0
Số dư cuối năm,Nguyên giá TSCĐ vô hình > Số dư cuối năm,Số dư cuối năm,914.039,45.038,1.200,960.277,914039.0,45038.0,1200.0,960277.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,151,10.617,282,11.050,151.0,10617.0,282.0,11050.0
- Khấu hao trong năm,Giá trị hao mòn lũy kế > - Khấu hao trong năm,- Khấu hao trong năm,38,4.130,129,4.297,38.0,4130.0,129.0,4297.0
- Giám khác,Giá trị hao mòn lũy kế > - Giám khác,- Giám khác,-,-,(36),(36),,,-36.0,-36.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,189,14.747,375,15.311,189.0,14747.0,375.0,15311.0
Giá trị còn lại của TSCĐ vô hình,Giá trị còn lại của TSCĐ vô hình,Giá trị còn lại của TSCĐ vô hình,Giá trị còn lại của TSCĐ vô hình,Giá trị còn lại của TSCĐ vô hình,Giá trị còn lại của TSCĐ vô hình,Giá trị còn lại của TSCĐ vô hình,,,,
Số dư đầu năm,Giá trị còn lại của TSCĐ vô hình > Số dư đầu năm,Số dư đầu năm,913.288,23.244,858,937.390,913288.0,23244.0,858.0,937390.0
Số dư cuối năm,Giá trị còn lại của TSCĐ vô hình > Số dư cuối năm,Số dư cuối năm,913.850,30.291,825,944.966,913850.0,30291.0,825.0,944966.0
