row_label_raw,row_label_full,col_0,Hoạt động huy động và tín dụng,Hoạt động kinh doanh tiền tệ và đầu tư chứng khoán,Hoạt động khác,Tổng cộng toàn ngân hàng,numeric__Hoạt động huy động và tín dụng,numeric__Hoạt động kinh doanh tiền tệ và đầu tư chứng khoán,numeric__Hoạt động khác,numeric__Tổng cộng toàn ngân hàng
Thu nhập,Thu nhập,Thu nhập,140.867,1.200.854,199.372,1.541.093,140867.0,1200854.0,199372.0,1541093.0
Chi phí,Chi phí,Chi phí,140.974,605.105,67.188,813.267,140974.0,605105.0,67188.0,813267.0
Thu nhập thuần,Thu nhập thuần,Thu nhập thuần,(107),595.749,132.185,2.354.360,-107.0,595749.0,132185.0,2354360.0
Tải sản bộ phận,Tải sản bộ phận,Tải sản bộ phận,36.580.138,20.018.503,-,56.598.641,36580138.0,20018503.0,,56598641.0
Tải sản không phân bổ,Tải sản không phân bổ,Tải sản không phân bổ,,,,69.048.248,,,,69048248.0
Tổng tài sản,Tổng tài sản,Tổng tài sản,,,,125.646.890,,,,125646890.0
Nợ phải trả bộ phận,Nợ phải trả bộ phận,Nợ phải trả bộ phận,63.649.432,-,-,63.649.432,63649432.0,,,63649432.0
Nợ phải trả không phân bổ,Nợ phải trả không phân bổ,Nợ phải trả không phân bổ,,,,65.822.079,,,,65822079.0
Tổng nợ phải trả,Tổng nợ phải trả,Tổng nợ phải trả,,,,129.471.511,,,,129471511.0
