row_label_raw,row_label_full,Hội đồng quản trị > Bà TRẦN HẢI ANH > Ông VŨ HỒNG NAM > Bà NGUYỄN THỊ MAI > Bà ĐẢNG THỊ XUÂN HỒNG > Ông LÊ XUÂN NGHĨA > Ông NGUYỄN TUÂN HẢI,Chủ tịch > Thành viên thường trực > Thành viên độc lập > Thành viên,Ngày bổ nhiệm > 12/09/2016 > 24/04/2015 > 12/09/2016 > 24/04/2015,Ngày miễn nhiệm > 12/09/2016 > 26/04/2016,numeric__Chủ tịch > Thành viên thường trực > Thành viên độc lập > Thành viên,numeric__Ngày bổ nhiệm > 12/09/2016 > 24/04/2015 > 12/09/2016 > 24/04/2015,numeric__Ngày miễn nhiệm > 12/09/2016 > 26/04/2016
Ban kiểm soát,Ban kiểm soát,Ban kiểm soát,Ban kiểm soát,Ban kiểm soát,Ban kiểm soát,,,
Bà DƯƠNG THỊ LỆ HÀ,Bà DƯƠNG THỊ LỆ HÀ,Bà DƯƠNG THỊ LỆ HÀ,Trường ban,24/04/2015,,,,
Bà VŨ KIM PHƯỢNG,Bà VŨ KIM PHƯỢNG,Bà VŨ KIM PHƯỢNG,Phó ban,24/04/2015,,,,
Ông LÊ TRỌNG HIỂU,Ông LÊ TRỌNG HIỂU,Ông LÊ TRỌNG HIỂU,Thành viên,24/04/2015,,,,
Ban Tổng Giám đốc và Kế toán trưởng,Ban Tổng Giám đốc và Kế toán trưởng,Ban Tổng Giám đốc và Kế toán trưởng,Ban Tổng Giám đốc và Kế toán trưởng,Ban Tổng Giám đốc và Kế toán trưởng,Ban Tổng Giám đốc và Kế toán trưởng,,,
Ông ĐẢO TRỌNG KHANH,Ông ĐẢO TRỌNG KHANH,Ông ĐẢO TRỌNG KHANH,Tổng Giám đốc,11/12/2015,01/09/2016,,,
Ông VŨ MẠNH TIẾN,Ông VŨ MẠNH TIẾN,Ông VŨ MẠNH TIẾN,Phó Tổng giám đốc thường trực,11/11/2013,,,,
Ông NGUYỄN GIANG NAM,Ông NGUYỄN GIANG NAM,Ông NGUYỄN GIANG NAM,Phó Tổng giám đốc,20/06/2006,23/07/2016,,,
Bà NGUYỄN THỊ MAI,Bà NGUYỄN THỊ MAI,Bà NGUYỄN THỊ MAI,Phó Tổng giám đốc,06/02/2013,,,,
Ông TẠ NGỌC ĐA,Ông TẠ NGỌC ĐA,Ông TẠ NGỌC ĐA,Phó Tổng giám đốc,10/10/2015,,,,
Ông ĐẢNG MINH HẢI,Ông ĐẢNG MINH HẢI,Ông ĐẢNG MINH HẢI,Phó Tổng giám đốc,25/05/2016,,,,
Ông LÊ HỒNG PHƯƠNG,Ông LÊ HỒNG PHƯƠNG,Ông LÊ HỒNG PHƯƠNG,Phó Tổng giám đốc,18/06/2016,,,,
Bà ĐỒ THỊ THANH HƯỜNG,Bà ĐỒ THỊ THANH HƯỜNG,Bà ĐỒ THỊ THANH HƯỜNG,Kế toán trưởng,01/08/2016,,,,
