row_label_raw,row_label_full,Tên,31/12/2016,31/12/2016_1,31/12/2016_2,01/01/2016,01/01/2016_1,01/01/2016_2,numeric__31/12/2016,numeric__31/12/2016_1,numeric__31/12/2016_2,numeric__01/01/2016,numeric__01/01/2016_1,numeric__01/01/2016_2
Tên,Tên,Tên,Giá gốc,Dự phòng,Tỷ lệ phần vốn (%),Giá gốc,Dự phòng,Tỷ lệ phần vốn (%),,,,,,
Đầu tư vào công ty con,Tên > Đầu tư vào công ty con,Đầu tư vào công ty con,50.000,-,,50.000,-,,50000.0,,,50000.0,,
Công ty TNHH Quản lý và khai thác TS,Tên > Công ty TNHH Quản lý và khai thác TS,Công ty TNHH Quản lý và khai thác TS,50.000,-,"100,00%",50.000,-,"100,00%",50000.0,,1.0,50000.0,,1.0
Đầu tư dài hạn khác,Tên > Đầu tư dài hạn khác,Đầu tư dài hạn khác,869.600,(6.918),,873.967,(3.918),,869600.0,-6918.0,,873967.0,-3918.0,
Công ty CP khoáng sản Sài Gòn - Quy Nhơn,Tên > Công ty CP khoáng sản Sài Gòn - Quy Nhơn,Công ty CP khoáng sản Sài Gòn - Quy Nhơn,273.700,-,"3,18%",273.700,-,"3,18%",273700.0,,0.0318,273700.0,,0.0318
Công ty CP ĐT Sài Gòn (SGI),Tên > Công ty CP ĐT Sài Gòn (SGI),Công ty CP ĐT Sài Gòn (SGI),338.200,(3.000),"11,00%",338.200,-,"11,00%",338200.0,-3000.0,0.11,338200.0,,0.11
Quỹ CK Y tế Bản Việt,Tên > Quỹ CK Y tế Bản Việt,Quỹ CK Y tế Bản Việt,-,-,-,4.367,-,"3,00%",,,,4367.0,,0.03
Công ty CP Chứng khoán Navibank,Tên > Công ty CP Chứng khoán Navibank,Công ty CP Chứng khoán Navibank,17.700,(3.918),"10,99%",17.700,(3.918),"10,99%",17700.0,-3918.0,0.1099,17700.0,-3918.0,0.1099
Công ty CP Đỗ Thị Du Lịch Cần Giờ,Tên > Công ty CP Đỗ Thị Du Lịch Cần Giờ,Công ty CP Đỗ Thị Du Lịch Cần Giờ,150.000,-,"10,00%",150.000,-,"10,00%",150000.0,,0.1,150000.0,,0.1
Công ty CP Đầu tư Phát triển nhà máy điện Sài Gòn - Bình Thuận,Tên > Công ty CP Đầu tư Phát triển nhà máy điện Sài Gòn - Bình Thuận,Công ty CP Đầu tư Phát triển nhà máy điện Sài Gòn - Bình Thuận,90.000,-,"9,00%",90.000,-,"9,00%",90000.0,,0.09,90000.0,,0.09
Tổng cộng,Tên > Tổng cộng,Tổng cộng,919.600,(6.918),,923.967,(3.918),,919600.0,-6918.0,,923967.0,-3918.0,
