row_label_raw,row_label_full,Chỉ tiêu,Số dư đầu kỳ,Phát sinh trong kỳ > Số phải nộp,Phát sinh trong kỳ > Số đã nộp,Số dư cuối kỳ,numeric__Số dư đầu kỳ,numeric__Phát sinh trong kỳ > Số phải nộp,numeric__Phát sinh trong kỳ > Số đã nộp,numeric__Số dư cuối kỳ
1. Thuế GTGT,1. Thuế GTGT,1. Thuế GTGT,(50),1.384,1.103,231,-50.0,1384.0,1103.0,231.0
2. Thuế TNDN,2. Thuế TNDN,2. Thuế TNDN,(30.625),2.445,-,(28.180),-30625.0,2445.0,,-28180.0
3. Các loại thuế khác,3. Các loại thuế khác,3. Các loại thuế khác,430,10.929,10.908,450,430.0,10929.0,10908.0,450.0
Tổng cộng,Tổng cộng,Tổng cộng,(30.245),14.758,12.011,(27.499),-30245.0,14758.0,12011.0,-27499.0
