row_label_raw,row_label_full,Năm tài chính kết thúc ngày 31 tháng 12 năm 2016 > 3.2. Cho vay các tổ chức tin dụng khác,Năm tài chính kết thúc ngày 31 tháng 12 năm 2016 > 3.2. Cho vay các tổ chức tin dụng khác_1,Đơn vị tính: Triệu đồng Việt Nam > 31/12/2016,Đơn vị tính: Triệu đồng Việt Nam > 01/01/2016,numeric__Năm tài chính kết thúc ngày 31 tháng 12 năm 2016 > 3.2. Cho vay các tổ chức tin dụng khác_1,numeric__Đơn vị tính: Triệu đồng Việt Nam > 31/12/2016,numeric__Đơn vị tính: Triệu đồng Việt Nam > 01/01/2016
Cho vay ngắn hạn,Cho vay ngắn hạn,Cho vay ngắn hạn,Cho vay ngắn hạn,2.350.323,385.000,,2350323.0,385000.0
Bằng VND (*),Bằng VND (*),Bằng VND (*),Bằng VND (*),2.184.131,385.000,,2184131.0,385000.0
Bằng ngoại hối,Bằng ngoại hối,Bằng ngoại hối,Bằng ngoại hối,166.192,,,166192.0,
Dự phòng rủi ro cho vay các TCTD khác,Dự phòng rủi ro cho vay các TCTD khác,Dự phòng rủi ro cho vay các TCTD khác,Dự phòng rủi ro cho vay các TCTD khác,,,,,
Cộng,Dự phòng rủi ro cho vay các TCTD khác > Cộng,Cộng,Cộng,2.350.323,385.000,,2350323.0,385000.0
Tổng tiền gửi và cho vay các TCTD khác,Dự phòng rủi ro cho vay các TCTD khác > Tổng tiền gửi và cho vay các TCTD khác,Tổng tiền gửi và cho vay các TCTD khác,Tổng tiền gửi và cho vay các TCTD khác,11.518.231,6.421.902,,11518231.0,6421902.0
(*) Chi tiết các khoản cho vay các tổ chức tin dụng như sau:,(*) Chi tiết các khoản cho vay các tổ chức tin dụng như sau:,(*) Chi tiết các khoản cho vay các tổ chức tin dụng như sau:,(*) Chi tiết các khoản cho vay các tổ chức tin dụng như sau:,Số tiền,Ngày đáo hạn,,,
Ngân hàng TMCP An Bình,(*) Chi tiết các khoản cho vay các tổ chức tin dụng như sau: > Ngân hàng TMCP An Bình,Ngân hàng TMCP An Bình,Ngân hàng TMCP An Bình,145.000,30/06/2017,,145000.0,
Ngân hàng TMCP An Bình,(*) Chi tiết các khoản cho vay các tổ chức tin dụng như sau: > Ngân hàng TMCP An Bình,Ngân hàng TMCP An Bình,Ngân hàng TMCP An Bình,40.000,07/06/2017,,40000.0,
Ngân hàng TMCP Tiền Phong,(*) Chi tiết các khoản cho vay các tổ chức tin dụng như sau: > Ngân hàng TMCP Tiền Phong,Ngân hàng TMCP Tiền Phong,Ngân hàng TMCP Tiền Phong,350.000,13/02/2017,,350000.0,
