row_label_raw,row_label_full,col_0,Thiết bịvăn phòngVND,numeric__Thiết bịvăn phòngVND
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,
Tại ngày 01/01/2019,NGUYÊN GIÁ > Tại ngày 01/01/2019,Tại ngày 01/01/2019,2.985.914.820,2985914820.0
Tại ngày 31/12/2019,NGUYÊN GIÁ > Tại ngày 31/12/2019,Tại ngày 31/12/2019,2.985.914.820,2985914820.0
GIÁ TRỊ HAO MÔN LỦY KỀ,GIÁ TRỊ HAO MÔN LỦY KỀ,GIÁ TRỊ HAO MÔN LỦY KỀ,GIÁ TRỊ HAO MÔN LỦY KỀ,
Tại ngày 01/01/2019,GIÁ TRỊ HAO MÔN LỦY KỀ > Tại ngày 01/01/2019,Tại ngày 01/01/2019,2.502.682.740,2502682740.0
Khấu hao trong năm,GIÁ TRỊ HAO MÔN LỦY KỀ > Khấu hao trong năm,Khấu hao trong năm,471.950.778,471950778.0
Tại ngày 31/12/2019,GIÁ TRỊ HAO MÔN LỦY KỀ > Tại ngày 31/12/2019,Tại ngày 31/12/2019,2.974.633.518,2974633518.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,
Tại ngày 01/01/2019,GIÁ TRỊ CÒN LẠI > Tại ngày 01/01/2019,Tại ngày 01/01/2019,483.232.080,483232080.0
Tại ngày 31/12/2019,GIÁ TRỊ CÒN LẠI > Tại ngày 31/12/2019,Tại ngày 31/12/2019,11.281.302,11281302.0
