row_label_raw,row_label_full,col_0,31/12/2019 > Tỷ lệ,31/12/2019 > Giá trị VND,01/01/2019 > Tỷ lệ,01/01/2019 > Giá trị VND,numeric__31/12/2019 > Tỷ lệ,numeric__31/12/2019 > Giá trị VND,numeric__01/01/2019 > Tỷ lệ,numeric__01/01/2019 > Giá trị VND
Công ty TNHH Tập đoàn Khải Hoàn - Vũng Tàu,Công ty TNHH Tập đoàn Khải Hoàn - Vũng Tàu,Công ty TNHH Tập đoàn Khải Hoàn - Vũng Tàu,"33,04%",396.480.000.000,"33,04%",396.480.000.000,0.33039999999999997,396480000000.0,0.33039999999999997,396480000000.0
Ông Nguyễn Khải Hoàn,Ông Nguyễn Khải Hoàn,Ông Nguyễn Khải Hoàn,"59,13%",709.520.000.000,"59,13%",709.520.000.000,0.5913,709520000000.0,0.5913,709520000000.0
Bà Trần Thị Thu Hương,Bà Trần Thị Thu Hương,Bà Trần Thị Thu Hương,"4,50%",54.000.000.000,"4,50%",54.000.000.000,0.045,54000000000.0,0.045,54000000000.0
Ông Nguyễn Thế Khoa,Ông Nguyễn Thế Khoa,Ông Nguyễn Thế Khoa,"1,67%",20.000.000.000,"1,67%",20.000.000.000,0.0167,20000000000.0,0.0167,20000000000.0
Bà Nguyễn Thị Lệ Thúy,Bà Nguyễn Thị Lệ Thúy,Bà Nguyễn Thị Lệ Thúy,"1,67%",20.000.000.000,"1,67%",20.000.000.000,0.0167,20000000000.0,0.0167,20000000000.0
Cộng,Cộng,Cộng,100%,1.200.000.000.000,100%,1.200.000.000.000,1.0,1200000000000.0,1.0,1200000000000.0
