row_label_raw,row_label_full,col_0,31/12/2019 > Giá trị VND,31/12/2019 > Lãi suất %/năm,31/12/2019 > Kỳ hạn Năm,01/01/2019 > Giá trị VND,01/01/2019 > Lãi suất %/năm,01/01/2019 > Kỳ hạn Năm,numeric__31/12/2019 > Giá trị VND,numeric__31/12/2019 > Lãi suất %/năm,numeric__31/12/2019 > Kỳ hạn Năm,numeric__01/01/2019 > Giá trị VND,numeric__01/01/2019 > Lãi suất %/năm,numeric__01/01/2019 > Kỳ hạn Năm
Trái phiếu phát hành theo mệnh giá,Trái phiếu phát hành theo mệnh giá,Trái phiếu phát hành theo mệnh giá,18.200.000.000,11%,3,-,-,-,18200000000.0,0.11,3.0,,,
Cộng,Cộng,Cộng,18.200.000.000,11%,3,-,-,-,18200000000.0,0.11,3.0,,,
