row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúc",Cộng,"numeric__Nhà cửa,vật kiến trúc",numeric__Cộng
,,,VND,VND,,
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,
Số dư đầu năm,Số dư đầu năm,Số dư đầu năm,-,-,,
- Tăng khác (*),Số dư đầu năm > - Tăng khác (*),- Tăng khác (*),50.952.499.193,50.952.499.193,50952499193.0,50952499193.0
Số dư cuối năm,Số dư đầu năm > Số dư cuối năm,Số dư cuối năm,50.952.499.193,50.952.499.193,50952499193.0,50952499193.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,
Số tăng trong năm,Giá trị hao mòn lũy kế > Số tăng trong năm,Số tăng trong năm,7.988.315.568,7.988.315.568,7988315568.0,7988315568.0
- Khấu hao trong năm,Giá trị hao mòn lũy kế > - Khấu hao trong năm,- Khấu hao trong năm,315.988.895,315.988.895,315988895.0,315988895.0
- Tăng khác (*),Giá trị hao mòn lũy kế > - Tăng khác (*),- Tăng khác (*),7.672.326.673,7.672.326.673,7672326673.0,7672326673.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,7.988.315.568,7.988.315.568,7988315568.0,7988315568.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,
Tại ngày đầu năm,Tại ngày đầu năm,Tại ngày đầu năm,-,-,,
Tại ngày cuối năm,Tại ngày đầu năm > Tại ngày cuối năm,Tại ngày cuối năm,42.964.183.625,42.964.183.625,42964183625.0,42964183625.0
