row_label_raw,row_label_full,Ông: Mai Hữu Đạt > Ông: Lê Quang Thụ > Ông: Nguyễn Thành Trung > Ông: Hà Trọng Nam,Chủ tịch > Phó Chủ tịch,(Bổ nhiệm ngày 24 tháng 05 năm 2019) > (Miễn nhiệm ngày 20 tháng 05 năm 2019) > (Miễn nhiệm ngày 20 tháng 5 năm 2019; Bổ nhiệm ngày 01 tháng 06 năm 2019) > (Miễn nhiệm ngày 15 tháng 08 năm 2019),numeric__Chủ tịch > Phó Chủ tịch,numeric__(Bổ nhiệm ngày 24 tháng 05 năm 2019) > (Miễn nhiệm ngày 20 tháng 05 năm 2019) > (Miễn nhiệm ngày 20 tháng 5 năm 2019; Bổ nhiệm ngày 01 tháng 06 năm 2019) > (Miễn nhiệm ngày 15 tháng 08 năm 2019)
Bà: Nguyễn Thị Lan Hương,Bà: Nguyễn Thị Lan Hương,Bà: Nguyễn Thị Lan Hương,Thành viên,,,
Bà: Nguyễn Mai Phương,Bà: Nguyễn Mai Phương,Bà: Nguyễn Mai Phương,Thành viên,(Bổ nhiệm ngày 20 tháng 05 năm 2019),,
Ông: Bùi Anh Sang,Ông: Bùi Anh Sang,Ông: Bùi Anh Sang,Thành viên,(Bổ nhiệm ngày 20 tháng 05 năm 2019),,
Bà: Nguyễn Thị Dung,Bà: Nguyễn Thị Dung,Bà: Nguyễn Thị Dung,Thành viên,(Miễn nhiệm ngày 20 tháng 05 năm 2019),,
Bà: Hoàng Thị Phương Lan,Bà: Hoàng Thị Phương Lan,Bà: Hoàng Thị Phương Lan,Thành viên độc lập,(Miễn nhiệm ngày 20 tháng 05 năm 2019),,
Ông: Nguyễn Giang Nam,Ông: Nguyễn Giang Nam,Ông: Nguyễn Giang Nam,Thành viên độc lập,(Bổ nhiệm ngày 15 tháng 08 năm 2018; Miễn nhiệm ngày 20 tháng 05 năm 2019),,
