row_label_raw,row_label_full,Mã số,CHỈ TIÊU,Thuyết minh,Năm 2019 > VND,Năm 2018 Đã điều chỉnh > VND,numeric__CHỈ TIÊU,numeric__Thuyết minh,numeric__Năm 2019 > VND,numeric__Năm 2018 Đã điều chỉnh > VND
,,,I. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG KINH DOANH,I. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG KINH DOANH,I. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG KINH DOANH,I. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG KINH DOANH,,,,
01,01,01,1. Lợi nhuận trước thuế,,124.782.878.697,86.920.035.040,,,124782878697.0,86920035040.0
,,,2. Điều chỉnh cho các khoản,,125.270.582.360,267.133.170.229,,,125270582360.0,267133170229.0
02,02,02,- Khấu hao tài sản cố định và bắt động sản đầu tư,,113.282.684.113,111.174.543.877,,,113282684113.0,111174543877.0
03,03,03,- Các khoản dự phòng,,1.506.669.440,138.592.520.726,,,1506669440.0,138592520726.0
04,04,04,"- Lãi, lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ",,22.301.712,(70.297.287),,,22301712.0,-70297287.0
05,05,05,"- Lãi, lỗ từ hoạt động đầu tư",,(67.135.792.612),(69.093.087.038),,,-67135792612.0,-69093087038.0
06,06,06,- Chi phí lãi vay,,77.594.719.707,86.529.489.951,,,77594719707.0,86529489951.0
08,08,08,3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,,250.053.461.057,354.053.205.270,,,250053461057.0,354053205270.0
09,09,09,"- Tăng, giảm các khoản phải thu",,71.604.921.726,208.554.627.144,,,71604921726.0,208554627144.0
10,10,10,"- Tăng, giảm hàng tồn kho",,(10.212.346.453),8.245.418.891,,,-10212346453.0,8245418891.0
11,11,11,"- Tăng, giảm các khoản phải trả (không kể lãi vay phải trả, thuế thu nhập doanh nghiệp phải nộp)",,(188.326.575.784),(333.938.049.000),,,-188326575784.0,-333938049000.0
12,12,12,"- Tăng, giảm chi phí trả trước",,15.247.757.540,(16.545.083.475),,,15247757540.0,-16545083475.0
14,14,14,- Tiền lãi vay đã trả,,(10.513.971.682),(30.021.156.618),,,-10513971682.0,-30021156618.0
15,15,15,- Thuế thu nhập doanh nghiệp đã nộp,,(42.713.867.221),(39.988.704.961),,,-42713867221.0,-39988704961.0
17,17,17,- Tiền chỉ khác cho hoạt động kinh doanh,,(5.609.403.367),(6.388.705.387),,,-5609403367.0,-6388705387.0
20,20,20,Lưu chuyển tiền thuần từ hoạt động kinh doanh,,79.529.975.816,143.971.551.864,,,79529975816.0,143971551864.0
,,,II. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ,II. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ,II. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ,II. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ,,,,
21,21,21,"1. Tiền chỉ để mua sắm, xây dựng tài sản cố định và các tài sản dài hạn khác",,(27.146.790.517),(21.885.619.063),,,-27146790517.0,-21885619063.0
22,22,22,"2. Tiền thu từ thanh lý, nhượng bán tài sản cố định và các tài sản dài hạn khác",,1.065.521.191,768.725.252,,,1065521191.0,768725252.0
23,23,23,"3. Tiền chỉ cho vay, mua các công cụ nợ của đơn vị khác",,(263.264.333.248),(126.506.945.205),,,-263264333248.0,-126506945205.0
24,24,24,"4. Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác",,278.927.987.677,40.928.789.896,,,278927987677.0,40928789896.0
25,25,25,5. Tiền chỉ đầu tư góp vốn vào đơn vị khác,,(118.333.911.600),-,,,-118333911600.0,
26,26,26,6. Tiền thu hồi đầu tư góp vốn vào đơn vị khác,,122.867.590.494,292.500.000.000,,,122867590494.0,292500000000.0
27,27,27,"7. Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia",,26.954.229.196,22.805.563.055,,,26954229196.0,22805563055.0
30,30,30,Lưu chuyển tiền thuần từ hoạt động đầu tư,,21.070.293.192,208.610.513.935,,,21070293192.0,208610513935.0
,,,III. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,,,,
31,31,31,"1. Tiền thu từ phát hành cổ phiếu, nhận vốn góp của chủ chủ sở hữu",,17.800.000,-,,,17800000.0,
34,34,34,2. Tiền trải nợ gốc vay,,(219.702.193.389),(390.305.909.050),,,-219702193389.0,-390305909050.0
36,36,36,"3. Cổ tức, lợi nhuận đã trả cho chủ sở hữu",,(23.050.265.674),(12.819.260.800),,,-23050265674.0,-12819260800.0
40,40,40,Lưu chuyển tiền thuần từ hoạt động tài chính,,(242.734.659.063),(403.116.169.850),,,-242734659063.0,-403116169850.0
