row_label_raw,row_label_full,col_0,Mã số,Điều chỉnh lại > VND,Đã trình bày trên báo cáo năm trước > VND,numeric__Mã số,numeric__Điều chỉnh lại > VND,numeric__Đã trình bày trên báo cáo năm trước > VND
a/ Băng cân đối kế toán hợp nhất,a/ Băng cân đối kế toán hợp nhất,a/ Băng cân đối kế toán hợp nhất,a/ Băng cân đối kế toán hợp nhất,a/ Băng cân đối kế toán hợp nhất,a/ Băng cân đối kế toán hợp nhất,,,
Dự phòng phải thu ngắn hạn khó đòi,a/ Băng cân đối kế toán hợp nhất > Dự phòng phải thu ngắn hạn khó đòi,Dự phòng phải thu ngắn hạn khó đòi,137,(4.038.910.994.080),(4.035.760.421.101),137.0,-4038910994080.0,-4035760421101.0
Thuế và các khoản phải nộp Nhà nước,a/ Băng cân đối kế toán hợp nhất > Thuế và các khoản phải nộp Nhà nước,Thuế và các khoản phải nộp Nhà nước,313,180.952.990.096,178.475.633.004,313.0,180952990096.0,178475633004.0
Chi phí phải trả,a/ Băng cân đối kế toán hợp nhất > Chi phí phải trả,Chi phí phải trả,315,195.553.722.488,190.796.456.151,315.0,195553722488.0,190796456151.0
Lợi nhuận sau thuế chưa phân phối,a/ Băng cân đối kế toán hợp nhất > Lợi nhuận sau thuế chưa phân phối,Lợi nhuận sau thuế chưa phân phối,421,(2.869.182.617.207),(2.860.994.436.935),421.0,-2869182617207.0,-2860994436935.0
Lợi ích cổ đông không kiểm soát,a/ Băng cân đối kế toán hợp nhất > Lợi ích cổ đông không kiểm soát,Lợi ích cổ đông không kiểm soát,429,607.443.771.731,609.640.787.867,429.0,607443771731.0,609640787867.0
b/ Báo cáo kết quả hoạt động kinh doanh hợp nhất,b/ Báo cáo kết quả hoạt động kinh doanh hợp nhất,b/ Báo cáo kết quả hoạt động kinh doanh hợp nhất,b/ Báo cáo kết quả hoạt động kinh doanh hợp nhất,b/ Báo cáo kết quả hoạt động kinh doanh hợp nhất,b/ Báo cáo kết quả hoạt động kinh doanh hợp nhất,,,
Chi phí bán hàng,b/ Báo cáo kết quả hoạt động kinh doanh hợp nhất > Chi phí bán hàng,Chi phí bán hàng,25,148.611.455.277,148.470.881.999,25.0,148611455277.0,148470881999.0
Chi phí quản lý doanh nghiệp,b/ Báo cáo kết quả hoạt động kinh doanh hợp nhất > Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,26,289.344.819.615,288.093.594.031,26.0,289344819615.0,288093594031.0
Chi phí khác,b/ Báo cáo kết quả hoạt động kinh doanh hợp nhất > Chi phí khác,Chi phí khác,36,17.211.147.604,16.551.087.274,36.0,17211147604.0,16551087274.0
Lợi nhuận kế toán trước thuế,b/ Báo cáo kết quả hoạt động kinh doanh hợp nhất > Lợi nhuận kế toán trước thuế,Lợi nhuận kế toán trước thuế,50,86.920.035.040,88.971.894.232,50.0,86920035040.0,88971894232.0
Lợi nhuận sau thuế thu nhập doanh nghiệp,b/ Báo cáo kết quả hoạt động kinh doanh hợp nhất > Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,60,46.272.851.332,48.324.710.524,60.0,46272851332.0,48324710524.0
Lợi nhuận sau thuế của Công ty mẹ,b/ Báo cáo kết quả hoạt động kinh doanh hợp nhất > Lợi nhuận sau thuế của Công ty mẹ,Lợi nhuận sau thuế của Công ty mẹ,61,24.676.908.332,26.013.560.548,61.0,24676908332.0,26013560548.0
Lợi nhuận sau thuế của cổ đông không kiểm soát,b/ Báo cáo kết quả hoạt động kinh doanh hợp nhất > Lợi nhuận sau thuế của cổ đông không kiểm soát,Lợi nhuận sau thuế của cổ đông không kiểm soát,62,21.595.943.000,22.311.149.976,62.0,21595943000.0,22311149976.0
c/ Báo cáo lưu chuyển tiền tệ hợp nhất,c/ Báo cáo lưu chuyển tiền tệ hợp nhất,c/ Báo cáo lưu chuyển tiền tệ hợp nhất,c/ Báo cáo lưu chuyển tiền tệ hợp nhất,c/ Báo cáo lưu chuyển tiền tệ hợp nhất,c/ Báo cáo lưu chuyển tiền tệ hợp nhất,,,
Lợi nhuận trước thuế,c/ Báo cáo lưu chuyển tiền tệ hợp nhất > Lợi nhuận trước thuế,Lợi nhuận trước thuế,01,86.920.035.040,88.971.894.232,1.0,86920035040.0,88971894232.0
Các khoản dự phòng,c/ Báo cáo lưu chuyển tiền tệ hợp nhất > Các khoản dự phòng,Các khoản dự phòng,03,138.592.520.726,137.341.295.141,3.0,138592520726.0,137341295141.0
"Tăng, giảm các khoản phải trả (không kể lãi vay","c/ Báo cáo lưu chuyển tiền tệ hợp nhất > Tăng, giảm các khoản phải trả (không kể lãi vay","Tăng, giảm các khoản phải trả (không kể lãi vay",11,(333.938.049.000),(334.738.682.607),11.0,-333938049000.0,-334738682607.0
"Phải trả, thuế thu nhập doanh nghiệp phải nộp)","Phải trả, thuế thu nhập doanh nghiệp phải nộp)","Phải trả, thuế thu nhập doanh nghiệp phải nộp)",,,,,,
