row_label_raw,row_label_full,Mã số,NGUỒN VỐN,Thuyết minh,31/12/2019 > VND,01/01/2019 Đã điều chỉnh > VND,numeric__NGUỒN VỐN,numeric__Thuyết minh,numeric__31/12/2019 > VND,numeric__01/01/2019 Đã điều chỉnh > VND
400,400,400,D. VỐN CHỦ SỞ HỮU,,760.795.041.557,864.379.426.813,,,760795041557.0,864379426813.0
410,410,410,I. Vốn chủ sở hữu,25,760.795.041.557,864.379.426.813,,25.0,760795041557.0,864379426813.0
411,411,411,1. Vốn góp của chủ sở hữu,,3.000.000.000.000,3.000.000.000.000,,,3000000000000.0,3000000000000.0
411a,411a,411a,Cổ phiếu phố thông có quyền biểu quyết,,3.000.000.000.000,3.000.000.000.000,,,3000000000000.0,3000000000000.0
414,414,414,2. Vốn khác của chủ sở hữu,,1.286.825.482,1.286.825.482,,,1286825482.0,1286825482.0
415,415,415,3. Cổ phiếu quỹ,,(10.000),(10.000),,,-10000.0,-10000.0
418,418,418,4. Quỹ đầu tư phát triển,,110.830.404.280,110.486.383.968,,,110830404280.0,110486383968.0
420,420,420,5. Quỹ khác thuộc vốn chủ sở hữu,,14.345.072.839,14.345.072.839,,,14345072839.0,14345072839.0
421,421,421,6. Lợi nhuận sau thuế chưa phân phối,,(2.843.054.810.652),(2.869.182.617.207),,,-2843054810652.0,-2869182617207.0
421a,421a,421a,LNST chưa phân phối lũy kế đến cuối năm trước,,(2.917.679.776.590),(2.893.859.525.539),,,-2917679776590.0,-2893859525539.0
421b,421b,421b,LNST chưa phân phối năm nay,,74.624.965.938,24.676.908.332,,,74624965938.0,24676908332.0
429,429,429,7. Lợi ích cổ đông không kiểm soát,,477.387.559.608,607.443.771.731,,,477387559608.0,607443771731.0
440,440,440,TỔNG CỘNG NGUỒN VỐN,,4.263.863.737.590,4.711.784.113.568,,,4263863737590.0,4711784113568.0
