row_label_raw,row_label_full,col_0,31/12/2019,01/01/2019Đã điều chỉnh,numeric__31/12/2019,numeric__01/01/2019Đã điều chỉnh
,,,VND,VND,,
a) Chi phí phải trả ngắn hạn,a) Chi phí phải trả ngắn hạn,a) Chi phí phải trả ngắn hạn,a) Chi phí phải trả ngắn hạn,a) Chi phí phải trả ngắn hạn,,
- Chi phí lãi vay,a) Chi phí phải trả ngắn hạn > - Chi phí lãi vay,- Chi phí lãi vay,-,258.333.333,,258333333.0
- Trích trước giá vốn hợp đồng xây dựng,a) Chi phí phải trả ngắn hạn > - Trích trước giá vốn hợp đồng xây dựng,- Trích trước giá vốn hợp đồng xây dựng,4.645.011.027,5.289.991.328,4645011027.0,5289991328.0
- Trích trước chi phí Công trình Khách sạn StarCity Nha Trang (*),a) Chi phí phải trả ngắn hạn > - Trích trước chi phí Công trình Khách sạn StarCity Nha Trang (*),- Trích trước chi phí Công trình Khách sạn StarCity Nha Trang (*),151.923.948.430,155.824.737.203,151923948430.0,155824737203.0
- Chi phí phải trả khác,a) Chi phí phải trả ngắn hạn > - Chi phí phải trả khác,- Chi phí phải trả khác,33.486.235.272,34.180.660.624,33486235272.0,34180660624.0
,,,190.055.194.729,195.553.722.488,190055194729.0,195553722488.0
b) Chi phí phải trả dài hạn,b) Chi phí phải trả dài hạn,b) Chi phí phải trả dài hạn,b) Chi phí phải trả dài hạn,b) Chi phí phải trả dài hạn,,
- Chi phí lãi vay phải trả Ngân hàng TMCP Quốc Dân(chi tiết tại Thuyết minh số \( 17^{(1)} \)),b) Chi phí phải trả dài hạn > - Chi phí lãi vay phải trả Ngân hàng TMCP Quốc Dân(chi tiết tại Thuyết minh số \( 17^{(1)} \)),- Chi phí lãi vay phải trả Ngân hàng TMCP Quốc Dân(chi tiết tại Thuyết minh số \( 17^{(1)} \)),37.397.910.222,37.397.910.222,37397910222.0,37397910222.0
,,,37.397.910.222,37.397.910.222,37397910222.0,37397910222.0
