row_label_raw,row_label_full,col_0,Số phải thuđầu nămĐã điều chỉnh,Số phải nộpđầu năm,Số phải nộptrong năm,Số đã thực nộptrong năm,Giảm khác (*),Số phải thucuối năm,Số phải nộpcuối năm,numeric__Số phải thuđầu nămĐã điều chỉnh,numeric__Số phải nộpđầu năm,numeric__Số phải nộptrong năm,numeric__Số đã thực nộptrong năm,numeric__Giảm khác (*),numeric__Số phải thucuối năm,numeric__Số phải nộpcuối năm
,,,VND,VND,VND,VND,VND,VND,VND,,,,,,,
- Thuế giá trị gia tăng,- Thuế giá trị gia tăng,- Thuế giá trị gia tăng,-,10.566.441.409,72.727.636.119,82.541.376.251,(57.067.941),2.164.813.146,2.860.446.482,,10566441409.0,72727636119.0,82541376251.0,-57067941.0,2164813146.0,2860446482.0
- Thuế tiêu thụ đặc biệt,- Thuế tiêu thụ đặc biệt,- Thuế tiêu thụ đặc biệt,-,511.425.140,1.722.544.257,2.092.050.125,-,-,141.919.272,,511425140.0,1722544257.0,2092050125.0,,,141919272.0
"- Thuế xuất, nhập khẩu","- Thuế xuất, nhập khẩu","- Thuế xuất, nhập khẩu",-,-,23.255.509,23.255.509,-,-,-,,,23255509.0,23255509.0,,,
- Thuế thu nhập doanh nghiệp,- Thuế thu nhập doanh nghiệp,- Thuế thu nhập doanh nghiệp,10.008.014.340,6.129.742.770,42.264.799.336,42.713.867.221,-,9.896.267.396,5.568.927.941,10008014340.0,6129742770.0,42264799336.0,42713867221.0,,9896267396.0,5568927941.0
- Thuế thu nhập cá nhân,- Thuế thu nhập cá nhân,- Thuế thu nhập cá nhân,28.847.723,1.864.317.519,12.492.534.839,12.420.468.215,(6.366.984),28.847.723,1.930.017.159,28847723.0,1864317519.0,12492534839.0,12420468215.0,-6366984.0,28847723.0,1930017159.0
- Thuế nhà đất và tiền thuê đất,- Thuế nhà đất và tiền thuê đất,- Thuế nhà đất và tiền thuê đất,-,103.053.529.080,3.654.062.292,3.654.062.292,-,-,103.053.529.080,,103053529080.0,3654062292.0,3654062292.0,,,103053529080.0
- Các loại thuế khác,- Các loại thuế khác,- Các loại thuế khác,-,58.482.455.983,12.975.959.593,3.510.156.891,-,-,67.948.258.685,,58482455983.0,12975959593.0,3510156891.0,,,67948258685.0
"- Các khoản phí, lệ phí và các khoản phàinộp khác","- Các khoản phí, lệ phí và các khoản phàinộp khác","- Các khoản phí, lệ phí và các khoản phàinộp khác",-,345.078.195,378.699.623,412.930.645,-,-,310.847.173,,345078195.0,378699623.0,412930645.0,,,310847173.0
,,,10.036.862.063,180.952.990.096,146.239.491.568,147.368.167.149,(63.434.925),12.089.928.265,181.813.945.792,10036862063.0,180952990096.0,146239491568.0,147368167149.0,-63434925.0,12089928265.0,181813945792.0
