row_label_raw,row_label_full,Ông: Lò Hồng Hiệp,Tổng giám đốc,(Bồ nhiệm ngày 01 tháng 06 năm 2019),numeric__Tổng giám đốc,numeric__(Bồ nhiệm ngày 01 tháng 06 năm 2019)
Bà: Nguyễn Thị Dung,Bà: Nguyễn Thị Dung,Bà: Nguyễn Thị Dung,Phó Tổng giám đốc,,,
Ông: Lê Huy Giang,Ông: Lê Huy Giang,Ông: Lê Huy Giang,Phó Tổng giám đốc,(Miễn nhiệm ngày 23 tháng 12 năm 2019),,
Ông: Nguyễn Quang Thành,Ông: Nguyễn Quang Thành,Ông: Nguyễn Quang Thành,Phó Tổng giám đốc,(Bồ nhiệm ngày 03 tháng 01 năm 2020),,
